date,value
2018-01-02,10820500
2018-01-12,9553500
2018-01-22,8338600
2018-02-11,5718400
2018-02-16,5956000
2018-03-03,5467700
2018-03-13,5872600
2018-04-07,3687500
2018-04-12,3216000
2018-04-22,4178200
2018-04-27,3526200
2018-05-07,3589500
2018-06-11,2552600
2018-09-24,38371000
2018-10-14,46172600
2018-10-24,46137800
2018-11-23,43686500
2018-11-28,43074700
2018-12-03,40247100
2018-12-08,40139100
2018-12-13,39464100
2018-12-18,38119800
2018-12-23,36715800
2018-12-28,37133900
2019-01-07,32925700
2019-01-17,32209600
2019-01-22,32145200
2019-01-27,31140100
2019-02-01,30049200
2019-02-06,29645300
2019-02-11,28498000
2019-02-16,25678500
2019-02-21,19669900
2019-02-26,27120200
2019-03-03,25641900
2019-03-08,24725700
2019-04-07,18262600
2019-04-17,18569900
2019-06-21,9174800
2019-09-29,39079400
2019-10-04,35050800
2019-10-29,41844900
2019-11-08,39756400
2019-11-18,37905600
2019-11-23,41273700
2019-11-28,38642600
2019-12-03,38181300
2019-12-13,38288600
2019-12-18,37664000
2019-12-23,36783700
2019-12-28,36972600
2020-01-02,35569000
2020-01-07,35430500
2020-01-12,34444400
2020-01-17,35505700
2020-01-27,35149400
2020-02-01,34140400
2020-02-06,33113600
2020-02-16,32841600
2020-02-21,32584100
2020-02-26,32930100
2020-03-07,31049000
2020-03-22,28112000
2020-04-06,25667300
2020-05-01,17791000
2020-05-21,15428400
2020-10-08,46263800
2020-10-13,43224500
2020-10-28,46380900
2020-11-07,44030000
2020-11-22,39771900
2020-11-27,37503500
2020-12-02,36443500
2020-12-12,34694200
2020-12-27,31401000
