date,value
2018-01-03,1863552.9654804214
2018-01-15,1890619.2853258466
2018-01-27,1797510.082668229
2018-02-08,1705025.3734859684
2018-02-20,1484561.1923896829
2018-03-04,1349411.1648390878
2018-03-16,1191264.4537413768
2018-03-28,970087.6104079885
2018-04-09,661351.6330217104
2018-04-21,662630.1630219442
2018-05-03,535637.2157022251
2018-05-15,349382.2670783412
2018-05-27,441547.59944968263
2018-06-08,413981.9192413575
2018-06-20,394524.96897588414
2018-07-02,2716147.554709488
2018-07-14,3015914.9116465105
2018-07-26,5720420.910225854
2018-08-19,2651541.324540811
2018-08-31,2841634.841274722
2018-09-12,2493290.3538325317
2018-09-24,2316387.3335080533
2018-10-06,2276207.1566082365
2018-10-18,1565068.8162659307
2018-10-30,2082487.1875009066
2018-11-11,1978914.9133857046
2018-11-23,1956346.7919288974
2018-12-05,1944085.140192576
2018-12-17,1999918.8937883163
2018-12-29,1993609.578266387
2019-01-10,1990863.3860409132
2019-01-22,1980599.576191131
2019-02-03,1976319.1293305985
2019-02-15,2119910.010584453
2019-02-27,1924345.982133565
2019-03-11,1875558.347247245
2019-03-23,1651258.3141023365
2019-04-04,1398086.56467637
2019-04-16,1221509.90176932
2019-04-28,828147.5774288833
2019-05-22,687301.5775529558
2019-08-14,4221056.898110528
2019-08-26,3727873.27058156
2019-09-07,2731420.8182103448
2019-09-19,2539109.5113459327
2019-10-01,2398420.4522073106
2019-10-13,2313199.43698064
2019-10-25,2140771.488743918
2019-11-06,2010656.9977785891
2019-11-18,1979160.5487311406
2019-11-30,2001824.220031412
2019-12-12,2016178.503941746
2019-12-24,1983198.1691195688
2020-01-05,2048181.196029335
2020-01-17,2103996.2456785534
2020-01-29,1951674.4597067023
2020-02-10,2042758.6098110196
2020-02-22,2091495.987048157
2020-03-05,1957428.5003188942
2020-03-17,1874977.6559422526
2020-03-29,1529141.7173393401
2020-04-10,1500284.881309817
2020-04-22,1400269.9341126818
2020-05-04,1332484.9589352196
2020-05-16,1133663.2889946918
2020-05-28,530156.63156849
2020-06-09,1547425.4402901204
2020-07-03,2264856.0332913594
2020-07-15,3913976.0280393194
2020-08-08,3754989.712914302
2020-08-20,3102648.936577347
2020-09-01,2576449.596089055
2020-09-13,2553757.710955155
2020-09-25,2510927.5813252446
2020-10-07,2369112.6078377264
2020-10-19,2404876.1119901887
2020-10-31,2142414.1510041086
2020-11-12,2102042.885307675
2020-11-24,2105226.6046970463
2020-12-06,2046682.1311271368
2020-12-18,2056686.2639954402
2020-12-30,2115408.929987616
