date,value
2018-01-02,49581100
2018-01-05,49581500
2018-01-10,46339100
2018-01-12,49491800
2018-01-15,45972400
2018-01-17,48890700
2018-01-20,45925900
2018-01-22,48475500
2018-01-25,45634200
2018-01-27,48453100
2018-02-01,48202500
2018-02-04,45364900
2018-02-06,47502000
2018-02-09,47473000
2018-02-11,47073100
2018-02-14,45079100
2018-02-16,46895300
2018-02-19,44539000
2018-02-21,46611200
2018-03-03,46335200
2018-03-06,44192000
2018-03-08,45981100
2018-03-11,44093500
2018-03-13,45941100
2018-03-18,45186700
2018-04-07,44854300
2018-04-12,43686300
2018-04-17,42850000
2018-04-20,42588700
2018-04-22,41976700
2018-04-27,41163300
2018-05-05,40666400
2018-05-07,40486100
2018-05-25,40519700
2018-06-01,40529200
2018-06-26,46008600
2018-06-29,45856200
2018-07-01,48192300
2018-07-04,48776600
2018-07-09,49819200
2018-07-11,52487900
2018-07-14,52211000
2018-07-16,54138700
2018-07-21,55267800
2018-08-30,61599600
2018-09-24,58730600
2018-09-27,57312200
2018-09-29,58884100
2018-10-02,58511400
2018-10-04,57095000
2018-10-14,55915400
2018-10-19,55522600
2018-10-22,55499700
2018-10-24,54911700
2018-10-29,54503100
2018-11-01,53872300
2018-11-03,54286600
2018-11-06,52702900
2018-11-08,54059900
2018-11-11,53458000
2018-11-16,51956000
2018-11-18,53159100
2018-11-23,52275900
2018-11-26,52285400
2018-11-28,52827400
2018-12-01,52994100
2018-12-03,52427100
2018-12-06,51585400
2018-12-08,51812200
2018-12-11,48824600
2018-12-13,51511000
2018-12-16,48851100
2018-12-18,51177900
2018-12-21,48448900
2018-12-23,50704300
2018-12-26,48152500
2018-12-28,50649700
2019-01-07,50073600
2019-01-12,50073600
2019-01-15,49631900
2019-01-17,49397700
2019-01-20,46014800
2019-01-22,49112700
2019-01-25,46457100
2019-01-27,48683300
2019-01-30,46301000
2019-02-01,48419600
2019-02-04,45732700
2019-02-06,48031400
2019-02-11,47963900
2019-02-14,47737400
2019-02-16,47735100
2019-02-19,45168300
2019-02-21,45168300
2019-02-26,44867300
2019-03-01,44532400
2019-03-03,46782100
2019-03-06,43478100
2019-03-08,46016100
2019-03-11,45855900
2019-03-13,45761300
2019-03-16,45633100
2019-03-18,45536300
2019-03-21,45566400
2019-03-23,45338000
2019-03-26,44933000
2019-03-28,45232300
2019-04-07,47747000
2019-04-10,47018800
2019-04-15,44266900
2019-04-17,44987900
2019-04-20,44211800
2019-04-22,45128500
2019-04-25,45127400
2019-04-30,40674500
2019-05-02,40726800
2019-05-12,40009600
2019-05-17,40101600
2019-05-27,39787800
2019-05-30,39479500
2019-06-04,38659200
2019-06-24,38660200
2019-06-26,38891300
2019-06-29,38994900
2019-07-01,38475600
2019-07-06,38821500
2019-07-09,39323200
2019-09-14,55655300
2019-09-17,55550100
2019-09-19,55550100
2019-09-22,54983700
2019-09-24,55424000
2019-09-29,55163900
2019-10-04,56461500
2019-10-07,55964700
2019-10-09,56801900
2019-10-14,56617900
2019-10-17,56537400
2019-10-19,56159100
2019-10-22,55372900
2019-10-24,54908000
2019-10-27,54213700
2019-10-29,53900000
2019-11-01,53888100
2019-11-03,54034200
2019-11-06,54062700
2019-11-08,53608000
2019-11-13,53850500
2019-11-16,51809400
2019-11-18,52845000
2019-11-21,52693900
2019-11-23,52419100
2019-11-26,52391500
2019-11-28,52221700
2019-12-01,52138000
2019-12-03,51824300
2019-12-08,51736400
2019-12-11,50960600
2019-12-13,51877800
2019-12-16,50631400
2019-12-18,51449400
2019-12-21,50774300
2019-12-23,50796300
2019-12-26,49401200
2019-12-28,50663700
2020-01-02,49604100
2020-01-05,49617300
2020-01-07,49645000
2020-01-10,49645100
2020-01-12,49412500
2020-01-15,49019900
2020-01-17,49392600
2020-01-20,48936500
2020-01-22,48808000
2020-01-25,47857500
2020-01-27,48846600
2020-01-30,47568000
2020-02-01,48401900
2020-02-04,47341100
2020-02-06,47948200
2020-02-09,46155800
2020-02-14,46208600
2020-02-16,47494900
2020-02-21,47147200
2020-02-24,46194900
2020-02-26,46818900
2020-02-29,45283900
2020-03-02,46169900
2020-03-05,44843500
2020-03-07,45699500
2020-03-10,45728800
2020-03-12,45728800
2020-03-15,44520200
2020-03-17,45748700
2020-04-06,43638500
2020-04-09,43066700
2020-04-11,43066700
2020-04-14,42237300
2020-04-16,43332100
2020-05-01,40958400
2020-05-04,40884100
2020-05-06,42297300
2020-05-09,41962700
2020-05-11,41258300
2020-05-14,41734700
2020-05-16,41856400
2020-05-21,38778700
2020-05-24,38236600
2020-05-26,39631300
2020-09-23,61182300
2020-09-28,59891500
2020-10-03,58262800
2020-10-06,57111900
2020-10-08,57019400
2020-10-13,56742100
2020-10-16,56719600
2020-10-18,56397700
2020-10-21,56087700
2020-10-23,55346600
2020-10-26,55785900
2020-10-28,54752600
2020-10-31,54473900
2020-11-02,54432900
2020-11-07,54369500
2020-11-10,54343100
2020-11-12,53678500
2020-11-15,53108400
2020-11-17,52765900
2020-11-20,51516600
2020-11-22,52312900
2020-11-25,51328800
2020-11-27,52281100
2020-11-30,51014800
2020-12-02,51784700
2020-12-05,49918000
2020-12-07,51758100
2020-12-10,49390300
2020-12-12,51318200
2020-12-15,48523200
2020-12-17,48903600
2020-12-20,49263900
2020-12-27,48579900
2020-12-30,48143500
