date,value
2018-01-03,47190600
2018-01-10,47190600
2018-01-15,45632300
2018-01-22,45632300
2018-01-27,44833600
2018-02-03,44833600
2018-02-08,43933900
2018-02-15,43933900
2018-02-20,42519900
2018-02-27,42519900
2018-03-04,41921500
2018-03-11,41921500
2018-03-16,40285300
2018-03-23,40285300
2018-03-28,38906200
2018-04-04,38906200
2018-04-09,37513800
2018-04-16,37513800
2018-04-21,36418100
2018-04-28,36418100
2018-05-03,34293000
2018-05-10,34293000
2018-05-15,35074500
2018-05-27,37435900
2018-06-03,37435900
2018-06-08,38604100
2018-06-15,38604100
2018-06-20,41713000
2018-07-02,46981300
2018-07-09,46981300
2018-07-14,51576300
2018-07-20,51576300
2018-07-21,51595200
2018-07-26,55758700
2018-08-01,55757800
2018-08-02,55757800
2018-08-19,55594600
2018-08-25,55593100
2018-08-26,55596000
2018-08-31,56138000
2018-09-06,56134300
2018-09-12,55480900
2018-09-18,55480900
2018-09-19,55483800
2018-09-24,55644000
2018-09-30,55640400
2018-10-01,55641600
2018-10-06,55281700
2018-10-12,55278100
2018-10-13,55278500
2018-10-18,54638400
2018-10-24,54629300
2018-10-25,54629300
2018-10-30,53458500
2018-11-05,53458500
2018-11-06,53458500
2018-11-11,51922200
2018-11-17,51922200
2018-11-18,51922200
2018-11-23,51003800
2018-11-29,51003800
2018-11-30,51003800
2018-12-05,49954000
2018-12-11,49954000
2018-12-12,49954000
2018-12-17,48905400
2018-12-23,48905400
2018-12-24,48905400
2018-12-29,47717200
2019-01-10,46699000
2019-01-16,46699000
2019-01-17,46699000
2019-01-22,45780200
2019-01-28,45780200
2019-01-29,45780200
2019-02-03,44903100
2019-02-09,44903100
2019-02-10,44903100
2019-02-15,44325100
2019-02-21,44325100
2019-02-22,44325100
2019-02-27,42650200
2019-03-05,42650200
2019-03-06,42650200
2019-03-11,41791700
2019-03-17,41791700
2019-03-18,41791700
2019-03-23,40727800
2019-03-29,40727800
2019-03-30,40727800
2019-04-04,39092800
2019-04-10,39092800
2019-04-11,39092800
2019-04-16,38216600
2019-04-22,38216600
2019-04-23,38216600
2019-04-28,36313200
2019-05-04,36313200
2019-05-05,36313200
2019-05-22,32087300
2019-05-28,32087300
2019-05-29,32087300
2019-08-14,53697900
2019-08-20,53677500
2019-08-21,53690100
2019-08-26,53335100
2019-09-01,53327400
2019-09-02,53336400
2019-09-07,54026100
2019-09-13,54018800
2019-09-14,54022000
2019-09-19,54012800
2019-09-25,54009800
2019-09-26,54011400
2019-10-01,53542800
2019-10-07,53535800
2019-10-08,53540600
2019-10-13,54014100
2019-10-19,54011100
2019-10-20,54011700
2019-10-25,53406100
2019-10-31,53400400
2019-11-01,53400400
2019-11-06,52461300
2019-11-12,52461300
2019-11-13,52461300
2019-11-18,51623600
2019-11-24,51623600
2019-11-25,51623600
2019-11-30,50259400
2019-12-06,50259400
2019-12-07,50259400
2019-12-12,49144200
2019-12-18,49144200
2019-12-19,49144200
2019-12-24,48646500
2019-12-30,48646500
2020-01-05,47779200
2020-01-11,47779200
2020-01-12,47779200
2020-01-17,46770600
2020-01-23,46770600
2020-01-24,46770600
2020-01-29,45834000
2020-02-04,45834000
2020-02-05,45834000
2020-02-10,42397800
2020-02-16,42397800
2020-02-17,42397800
2020-02-22,43220500
2020-02-28,43220500
2020-02-29,43220500
2020-03-05,42036100
2020-03-11,42036100
2020-03-12,42036100
2020-03-17,40578900
2020-03-23,40578900
2020-03-24,40578900
2020-03-29,39117900
2020-04-04,39117900
2020-04-05,39117900
2020-04-10,37228900
2020-04-16,37228900
2020-04-17,37228900
2020-04-22,35455600
2020-04-28,35455600
2020-04-29,35455600
2020-05-04,36035600
2020-05-10,36035600
2020-05-11,36035600
2020-05-16,32150200
2020-05-22,32150200
2020-05-23,32150200
2020-05-28,31265800
2020-06-03,31265800
2020-06-04,31265800
2020-06-09,30297000
2020-06-15,30297000
2020-06-16,30297000
2020-07-03,35588400
2020-07-09,35588100
2020-07-10,35588100
2020-07-15,53476700
2020-07-21,53476700
2020-07-22,53477500
2020-08-08,57207700
2020-08-14,57206700
2020-08-15,57215600
2020-08-20,57795600
2020-08-26,57790800
2020-08-27,57799400
2020-09-01,57472800
2020-09-07,57461200
2020-09-08,57466400
2020-09-13,58743800
2020-09-19,58739000
2020-09-20,58740700
2020-09-25,57372000
2020-10-01,57368100
2020-10-02,57370700
2020-10-07,56321200
2020-10-13,56316500
2020-10-14,56316900
2020-10-19,54952600
2020-10-25,54947800
2020-10-26,54947800
2020-10-31,53223300
2020-11-06,53223300
2020-11-07,53223300
2020-11-12,51915600
2020-11-18,51915600
2020-11-19,51915600
2020-11-24,50213900
2020-11-30,50213900
2020-12-01,50213900
2020-12-06,49103500
2020-12-12,49103500
2020-12-13,49103500
2020-12-18,47830800
2020-12-24,47830800
2020-12-25,47830800
2020-12-30,46894600
