date,value
2018-01-02,102823641.44690506
2018-01-12,101693898.29263598
2018-01-17,100162862.15792191
2018-01-22,99275284.38179933
2018-02-01,97353392.35371427
2018-02-06,95507492.39518392
2018-02-11,95543501.59114306
2018-02-16,94690652.8517006
2018-03-03,94119217.88523299
2018-03-08,89872022.16745645
2018-04-07,85577250.39395888
2018-04-12,82528777.61822751
2018-04-22,78485337.37841573
2018-04-27,76911348.65859874
2018-06-26,92218952.99087194
2018-07-01,102781420.20459886
2018-07-11,110832970.49484369
2018-09-24,125440138.32932124
2018-10-14,122648415.79512203
2018-10-19,116866604.48014037
2018-10-24,117639865.93450564
2018-11-03,114501155.40232053
2018-11-08,117344719.14728689
2018-11-23,113721956.18767378
2018-11-28,112947477.41053754
2018-12-03,109160610.02319658
2018-12-08,109918776.46915892
2018-12-13,109535674.7941646
2018-12-18,106936434.0090994
2018-12-23,105621084.91469713
2018-12-28,107598411.97797027
2019-01-07,102971008.38438325
2019-01-17,100707225.49038725
2019-01-22,101682557.58407119
2019-01-27,99928866.13678086
2019-02-01,99019430.90895446
2019-02-06,97887419.17968611
2019-02-11,96249301.9569168
2019-02-26,95336286.29030643
2019-03-03,93581719.07244265
2019-03-08,91286725.50370237
2019-03-13,91523554.26152071
2019-03-18,90179613.37968497
2019-04-07,87385081.65447439
2019-04-17,89770616.72736101
2019-04-22,77498969.56042959
2019-05-12,74877906.74831918
2019-05-27,73480845.11415106
2019-06-26,71742592.42831315
2019-07-01,71150604.61631815
2019-09-14,119807980.50473897
2019-09-29,122291967.15558143
2019-10-14,120700711.5204538
2019-10-24,116028397.1816896
2019-10-29,115259035.96793833
2019-11-03,117904630.94081783
2019-11-08,113299339.52928495
2019-11-18,110692951.38099407
2019-11-23,112175858.39465457
2019-11-28,109102966.32836436
2019-12-03,109697236.11260715
2019-12-13,108604693.65464126
2019-12-18,108363580.8195807
2019-12-23,105579117.52302158
2019-12-28,107058298.87167905
2020-01-02,102892524.41749075
2020-01-07,103333411.18487413
2020-01-12,100768526.83147518
2020-01-17,103054305.38201101
2020-02-01,99163323.50880975
2020-02-06,96852015.2993394
2020-02-21,94990066.03239864
2020-02-26,94683353.72279546
2020-03-02,91544357.990342
2020-03-07,91485706.76181914
2020-04-06,84142084.18814154
2020-05-01,77812672.55557759
2020-05-06,83803582.06120369
2020-05-21,71523667.7687662
2020-09-28,119659233.36461963
2020-10-13,120160304.48768514
2020-10-18,123830634.35636444
2020-10-23,118310563.15791802
2020-10-28,118600509.0434022
2020-11-02,117420200.11267005
2020-11-07,116020938.1971086
2020-11-12,109863760.52250239
2020-11-17,113786209.0775793
2020-11-22,112269068.2449667
2020-11-27,109334512.76531243
2020-12-02,109206060.59311579
2020-12-12,106676477.17834638
2020-12-27,101345498.52220742
