date,value
2018-01-02,208600
2018-01-05,223700
2018-01-10,218000
2018-01-12,218000
2018-01-15,217500
2018-01-17,206200
2018-01-20,201100
2018-01-22,194700
2018-01-25,184600
2018-01-27,184600
2018-02-06,148500
2018-02-09,158000
2018-02-11,151200
2018-02-14,152400
2018-02-16,148200
2018-02-19,145700
2018-02-21,140700
2018-02-26,134600
2018-03-01,128400
2018-03-03,125700
2018-03-06,123600
2018-03-08,123700
2018-03-11,112400
2018-03-13,112800
2018-03-21,101000
2018-03-26,75200
2018-03-31,75200
2018-04-02,72100
2018-04-07,64400
2018-04-12,54400
2018-04-15,54500
2018-04-17,54500
2018-04-20,44500
2018-04-22,45400
2018-04-25,32500
2018-04-27,32700
2018-05-05,25500
2018-05-07,15600
2018-05-15,15800
2018-05-22,90100
2018-05-25,90500
2018-05-30,90500
2018-06-04,82100
2018-06-14,118700
2018-06-26,269100
2018-06-29,272100
2018-07-01,268700
2018-07-04,277100
2018-07-09,272700
2018-07-11,298800
2018-07-14,296600
2018-07-16,271500
2018-07-19,271500
2018-07-21,271500
2018-07-24,269200
2018-07-29,375200
2018-07-31,375900
2018-08-08,298000
2018-08-10,298000
2018-08-15,344700
2018-09-14,306900
2018-09-17,306900
2018-09-19,306900
2018-09-24,268700
2018-09-27,322400
2018-09-29,297200
2018-10-02,322600
2018-10-04,322600
2018-10-07,328700
2018-10-09,316600
2018-10-12,311900
2018-10-14,274300
2018-10-17,274300
2018-10-19,319500
2018-10-22,307100
2018-10-24,263600
2018-10-27,299000
2018-10-29,299000
2018-11-01,323500
2018-11-03,303100
2018-11-06,317000
2018-11-08,302100
2018-11-11,302100
2018-11-16,284500
2018-11-18,286300
2018-11-23,279900
2018-11-26,278800
2018-11-28,269400
2018-12-01,274000
2018-12-03,262000
2018-12-06,259300
2018-12-08,258700
2018-12-11,252600
2018-12-13,240900
2018-12-16,239600
2018-12-18,240800
2018-12-21,240300
2018-12-23,230300
2018-12-26,225500
2018-12-28,229600
2019-01-02,227600
2019-01-05,227600
2019-01-07,229500
2019-01-10,229500
2019-01-12,229500
2019-01-15,220400
2019-01-17,200800
2019-01-20,195700
2019-01-22,196000
2019-01-25,189200
2019-01-27,187900
