date,value
2018-01-03,183900
2018-01-15,158200
2018-01-27,142800
2018-02-08,123700
2018-02-20,101600
2018-03-04,86900
2018-03-16,57000
2018-03-28,33100
2018-04-09,29600
2018-04-21,9700
2018-05-15,86500
2018-05-27,113600
2018-06-08,61600
2018-06-20,160100
2018-07-02,245800
2018-07-14,264400
2018-07-26,361200
2018-08-19,282900
2018-08-31,279100
2018-09-12,254200
2018-09-24,248100
2018-10-06,251200
2018-10-18,247400
2018-10-30,233100
2018-11-11,232600
2018-11-23,231900
2018-12-05,224200
2018-12-17,213900
2018-12-29,193300
2019-01-10,171300
2019-01-22,154900
2019-02-03,131600
2019-02-15,126100
2019-02-27,96600
2019-03-11,78500
2019-03-23,60200
2019-04-04,38300
2019-04-16,26900
2019-04-28,5100
2019-05-22,19900
2019-08-14,252300
2019-08-26,246000
2019-09-07,244300
2019-09-19,228600
2019-10-01,218100
2019-10-13,219400
2019-10-25,212000
2019-11-06,211800
2019-11-18,220100
2019-11-30,213300
2019-12-12,216700
2019-12-24,215600
2020-01-05,211900
2020-01-17,203700
2020-01-29,187100
2020-02-10,179400
2020-02-22,151900
2020-03-05,125300
2020-03-17,101800
2020-03-29,83300
2020-04-10,56800
2020-04-22,80000
2020-05-04,83200
2020-05-16,36600
2020-05-28,18800
2020-06-09,32300
2020-07-03,86000
2020-07-15,355000
2020-08-08,293400
2020-08-20,269500
2020-09-01,258200
2020-09-13,256600
2020-09-25,263200
2020-10-07,256500
2020-10-19,254600
2020-10-31,247600
2020-11-12,244500
2020-11-24,228800
2020-12-06,221600
2020-12-18,209900
2020-12-30,191400
