date,value
2018-01-01,4033200
2018-01-06,4140500
2018-01-11,4140500
2018-01-14,4139000
2018-01-16,4145100
2018-01-19,4112300
2018-01-21,4190400
2018-01-24,4190400
2018-01-26,4110800
2018-01-31,4074100
2018-02-05,4082200
2018-02-08,4039700
2018-02-10,4039700
2018-03-12,4100400
2018-04-06,4110200
2018-04-09,4114000
2018-04-11,4114300
2018-04-16,4004700
2018-04-19,4018300
2018-04-21,3976300
2018-04-24,4037000
2018-04-26,4007200
2018-04-29,4011200
2018-05-26,3705900
2018-05-29,3705900
2018-05-31,3764100
2018-06-03,3764100
2018-06-08,3713300
2018-06-10,3713600
2018-06-13,3543800
2018-06-15,3543800
2018-06-18,3543800
2018-06-20,3564400
2018-06-30,3310100
2018-07-03,3310100
2018-07-05,3259600
2018-07-08,3263500
2018-07-10,3164800
2018-07-13,3182200
2018-07-15,3182200
2018-07-18,3120300
2018-07-20,3125000
2018-07-23,2950100
2018-07-25,2972200
2018-07-28,2972200
2018-07-30,2856600
2018-08-02,2878600
2018-08-04,2769400
2018-08-09,2630000
2018-08-12,2616600
2018-08-14,2490300
2018-08-17,2508200
2018-08-19,2443500
2018-08-22,2515000
2018-09-23,2408600
2018-09-28,2408600
2018-10-01,2408600
2018-11-17,6634100
2018-11-20,6553000
2018-11-27,6675700
2018-12-27,6800100
2018-12-30,6800100
2019-01-16,6669500
2019-01-19,6669500
2019-01-21,6669500
2019-01-24,6669500
2019-01-26,6839700
2019-02-10,6748600
2019-02-13,6681700
2019-02-15,6721600
2019-02-20,6711800
2019-02-23,6672700
2019-02-25,6678200
2019-03-12,6452700
2019-03-17,6742800
2019-03-25,6712000
2019-06-05,6175800
2019-06-10,6131900
2019-06-13,6168900
2019-06-15,6048000
2019-06-18,6020900
2019-06-25,5856900
2019-06-28,5856900
2019-06-30,5882600
2019-07-03,5882600
2019-07-05,5802000
2019-07-08,5829400
2019-07-10,5670500
2019-07-13,5683400
2019-07-15,5541700
2019-07-18,5535400
2019-07-20,5459300
2019-07-23,5472000
2019-07-25,5420400
2019-07-28,5448900
2019-07-30,5358400
2019-08-02,5367200
2019-08-04,5277700
2019-08-07,5295600
2019-08-09,5212100
2019-08-12,5234000
2019-08-14,5151800
2019-08-17,5212400
2019-08-19,5181200
2019-08-22,5050800
2019-08-24,5052500
2019-08-27,4986100
2019-08-29,4992500
2019-09-03,5002800
2019-09-06,4962400
2019-09-08,4963900
2019-09-11,4947000
2019-09-13,5272000
2019-09-16,5284500
2019-09-21,5282500
2019-09-23,5296200
2019-10-13,5084300
2019-10-16,5084300
2019-10-18,5064900
2019-10-21,5119100
2019-10-26,5093700
2019-10-28,5093700
2019-11-27,6524900
2019-11-30,6524900
2019-12-02,6524900
2019-12-05,6524900
2019-12-07,6624600
2019-12-10,5977300
2019-12-12,6005300
2020-01-06,6858100
2020-01-09,6858100
2020-01-11,6863200
2020-01-14,6863200
2020-01-16,6865300
2020-02-10,6861900
2020-02-15,6860600
2020-02-18,6845200
2020-02-20,6845200
2020-02-25,6802000
2020-02-28,6799800
2020-03-01,6874400
2020-03-04,6875800
2020-03-11,6641700
2020-04-05,6861900
2020-04-08,6844300
2020-04-10,6849400
2020-05-25,6700700
2020-05-28,6700700
2020-05-30,6700700
2020-06-02,6581100
2020-06-04,6595800
2020-06-14,6337600
2020-06-17,6393100
2020-06-19,6393100
2020-06-24,6142900
2020-06-27,6142900
2020-06-29,6191800
2020-07-02,6191800
2020-07-04,6020100
2020-07-07,6061700
2020-07-09,6054400
2020-07-12,5825700
2020-07-14,5892500
2020-07-19,5860900
2020-07-22,5863300
2020-07-24,5729100
2020-07-27,5749900
2020-07-29,5656000
2020-08-01,5724900
2020-08-03,5601200
2020-08-06,5644200
2020-08-08,5530000
2020-08-11,5569200
2020-08-13,5428000
2020-08-16,5446200
2020-08-18,5392600
2020-08-21,5421300
2020-08-23,5341000
2020-08-26,5381200
2020-08-28,5271200
2020-08-31,5305300
2020-09-02,5285700
2020-09-07,5250400
2020-10-22,4934400
2020-10-25,4934400
2020-10-27,4901200
2020-10-30,4942200
2020-11-01,4816100
2020-12-06,4814500
2020-12-09,4814500
2020-12-11,4817400
2020-12-14,4807900
2020-12-16,4909200
