date,value
2018-01-06,4752700
2018-01-12,4624600
2018-01-18,4538700
2018-01-24,4364400
2018-01-30,4509800
2018-02-05,4559200
2018-02-11,4704700
2018-02-17,4176100
2018-02-23,4642800
2018-03-01,4330900
2018-03-07,4696200
2018-03-13,4305200
2018-03-19,4623400
2018-03-25,4166600
2018-03-31,4521300
2018-04-06,4212100
2018-04-12,4289100
2018-04-18,4218500
2018-04-24,4251900
2018-04-30,4114800
2018-05-06,4068400
2018-05-12,4077100
2018-05-18,4272100
2018-05-24,4290000
2018-05-30,4445200
2018-06-05,4637700
2018-06-11,4907500
2018-06-17,4578700
2018-06-23,4685100
2018-06-29,3531000
2018-07-05,4642400
2018-07-11,4487700
2018-07-17,4823500
2018-07-23,5022800
2018-07-29,4390200
2018-08-04,5123700
2018-08-10,4486000
2018-08-16,3978900
2018-08-22,3671100
2018-08-28,4135800
2018-09-03,4353700
2018-09-09,4061000
2018-09-15,4051200
2018-09-21,4214700
2018-09-27,5735000
2018-10-03,4135500
2018-10-09,4442800
2018-10-15,4862400
2018-10-21,6800500
2018-10-27,7032200
2018-11-02,6908500
2018-11-08,6688600
2018-11-14,6782500
2018-11-20,6804800
2018-11-26,6725400
2018-12-02,6603600
2018-12-08,6805100
2018-12-14,6683900
2018-12-20,6616600
2018-12-26,6644900
2019-01-01,6704600
2019-01-07,6594200
2019-01-13,6673500
2019-01-19,6584200
2019-01-25,6695400
2019-02-06,6794900
2019-02-06,6784200
2019-02-12,6738900
2019-02-18,6660600
2019-02-24,6694800
2019-03-02,6585300
2019-03-08,6537500
2019-03-14,6722900
2019-03-20,6626700
2019-03-26,6678100
2019-04-01,6574800
2019-04-07,6609000
2019-04-13,6488100
2019-04-19,6543700
2019-04-25,6340900
2019-05-01,6316000
2019-05-07,6289500
2019-05-13,6292800
2019-05-19,6084000
2019-05-25,6039400
2019-05-31,5882600
2019-06-06,5910100
2019-06-12,5822900
2019-06-18,5875700
2019-06-24,5229600
2019-06-30,5956700
2019-07-06,5412300
2019-07-12,5541700
2019-07-18,5766600
2019-07-24,5768900
2019-07-30,5476200
2019-08-05,5803500
2019-08-11,5622900
2019-08-17,5705500
2019-08-23,4711000
2019-08-29,5580800
2019-09-04,5340000
2019-09-10,5188500
2019-09-16,5546100
2019-09-22,5209500
2019-09-28,5157700
2019-10-04,5218000
2019-10-10,5090800
2019-10-16,5146000
2019-10-22,4978200
2019-10-28,5081600
2019-11-03,4971200
2019-11-09,5453900
2019-11-15,6566000
2019-11-21,6591400
2019-11-27,6550300
2019-12-03,6481600
2019-12-09,6572200
2019-12-15,6712800
2019-12-21,6789600
2019-12-27,6943300
2020-01-02,6771000
2020-01-08,6765600
2020-01-14,6759400
2020-01-20,6923600
2020-01-26,6708800
2020-02-01,6738100
2020-02-07,6736600
2020-02-13,6721000
2020-02-19,6705400
2020-02-25,6582400
2020-03-02,6537000
2020-03-08,6698700
2020-03-14,6568800
2020-03-20,6655500
2020-03-26,6585000
2020-04-01,6661200
2020-04-07,6638200
2020-04-13,6724200
2020-04-19,6460800
2020-04-25,6600000
2020-05-01,6442000
2020-05-07,6554000
2020-05-13,6368900
2020-05-19,6367800
2020-05-25,5986700
2020-05-31,6266600
2020-06-06,6017900
2020-06-12,5954100
2020-06-18,5290300
2020-06-24,5968700
2020-06-30,5636400
2020-07-06,5827600
2020-07-12,5570500
2020-07-18,5761600
2020-07-24,5640500
2020-07-30,5811200
2020-08-05,5823600
2020-08-11,5945000
2020-08-17,5579400
2020-08-23,5875000
2020-08-29,6085000
2020-09-04,6013300
2020-09-10,5049400
2020-09-16,5747500
2020-09-22,5799900
2020-09-28,5728000
2020-10-04,5707400
2020-10-10,5646800
2020-10-16,5137800
2020-10-22,5902200
2020-10-28,5588500
2020-11-03,5742700
2020-11-09,5788100
2020-11-15,5028500
2020-11-21,5326300
2020-11-27,5640100
2020-12-03,5250300
2020-12-09,5948400
2020-12-21,5222400
2020-12-27,5318800
