date,value
2018-01-06,656904.4133185056
2018-01-07,656904.4133185056
2018-01-11,656904.4133185056
2018-01-12,553967.6981418903
2018-01-13,553967.6981418903
2018-01-17,599089.2087316959
2018-01-18,621853.9355624029
2018-01-19,537006.3974129808
2018-01-23,611738.190607939
2018-01-24,510702.1627024275
2018-01-25,510702.1627024275
2018-01-29,520929.3065611572
2018-01-30,600372.1931538685
2018-01-31,496801.84469139803
2018-02-04,574071.2518533773
2018-02-05,516675.0667581442
2018-02-06,516675.0667581442
2018-02-10,578840.9600843625
2018-02-11,686530.6041994446
2018-02-12,565326.303648315
2018-02-16,669016.6348507819
2018-02-17,520986.93625859317
2018-02-18,520986.93625859317
2018-02-22,468317.8547638756
2018-02-23,610156.5004958006
2018-02-24,494842.3964194826
2018-02-28,621406.5424006141
2018-03-01,519806.2737606598
2018-03-02,519806.2737606598
2018-03-06,511328.97420887183
2018-03-07,637923.6570820307
2018-03-08,507745.14813287416
2018-03-12,633584.7469625153
2018-03-13,503187.28644607525
2018-03-14,503187.28644607525
2018-03-18,504034.75273837254
2018-03-19,626177.7662727794
2018-03-20,519058.3738316251
2018-03-24,644301.3874360933
2018-03-25,505902.119783814
2018-03-26,505902.119783814
2018-03-30,465750.16467676766
2018-03-31,499693.28397458687
2018-04-01,476836.2914582263
2018-04-05,590246.2923204986
2018-04-06,485030.20362758136
2018-04-07,485030.20362758136
2018-04-11,478123.1900129438
2018-04-12,522717.56396773725
2018-04-13,468399.07442403614
2018-04-17,517708.0013227164
2018-04-18,465480.362445097
2018-04-19,465480.362445097
2018-04-23,479878.8303125322
2018-04-24,531683.5929165856
2018-04-25,449750.23826027877
2018-04-29,497418.6082622727
2018-04-30,442985.7431901268
2018-05-01,442985.7431901268
2018-05-05,451894.69284951355
2018-05-06,472715.5286869198
2018-05-07,426323.7226883567
2018-05-11,448561.45571153116
2018-05-12,424736.8733273206
2018-05-13,424736.8733273206
2018-05-17,441964.4691566625
2018-05-18,457001.7308846122
2018-05-19,433067.75260799064
2018-05-23,510075.80150837096
2018-05-24,451152.72413239774
2018-05-25,451152.72413239774
2018-05-29,499749.52572231804
2018-05-30,611959.8186505468
2018-05-31,504939.63766570296
2018-06-04,644334.0221934523
2018-06-05,539238.3044680774
2018-06-06,539238.3044680774
2018-06-11,617388.4881067009
2018-06-12,541593.5404640776
2018-06-16,707132.8786063383
2018-06-17,534428.855559142
2018-06-18,534428.855559142
2018-06-23,650552.2043893603
2018-06-24,650552.2043893603
2018-06-28,650552.2043893603
2018-06-29,378708.7428948069
2018-06-30,378708.7428948069
2018-07-04,312334.90274258604
2018-07-05,653476.969312794
2018-07-10,663126.8483407629
2018-07-11,508739.17443186
2018-07-12,508739.17443186
2018-07-16,557169.2655183786
2018-07-17,779750.2995174667
2018-07-18,779750.2995174667
2018-07-22,663193.229234264
2018-07-23,885764.6127239666
