date,value
2018-01-06,1870678.6614079801
2018-01-16,2126471.5422424125
2018-01-21,2113054.7190822843
2018-01-26,2053558.615610545
2018-01-31,2017953.787247191
2018-03-07,2291664.339834455
2018-03-12,2068088.1708050107
2018-04-06,1984309.839351595
2018-04-11,508572.9299150393
2018-04-16,1694064.5045650708
2018-05-11,1200088.2492002267
2018-05-26,641380.546106621
2018-05-31,968687.0572568339
2018-06-10,733262.1155514525
2018-06-30,431126.1616336552
2018-07-05,88466.75438412334
2018-07-10,603253.3733150538
2018-07-20,460802.4121849552
2018-07-25,445696.80059545935
2018-07-30,478934.81786911143
2018-08-09,494322.283038575
2018-08-14,578756.8918163152
2018-09-23,6831659.019271345
2018-11-27,7063366.739548533
2018-12-22,6758169.903925895
2018-12-27,6837447.824096419
2019-02-10,6922773.113865756
2019-03-17,7654275.979331305
2019-04-06,6916965.596677494
2019-04-11,6768066.481208557
2019-04-16,7180389.365431385
2019-04-26,6697224.389385629
2019-06-05,4686010.918046001
2019-06-10,4172686.0159180313
2019-06-15,4145796.677315168
2019-06-25,3715473.223077667
2019-06-30,3582019.7889005933
2019-07-05,3353290.917406404
2019-07-10,3054548.5402792008
2019-07-20,2837973.0487660775
2019-07-25,2714984.6135984277
2019-07-30,2543424.310056325
2019-08-04,2280469.1161005273
2019-08-09,2213598.823572279
2019-08-14,2065058.9832469446
2019-08-24,2102093.7721077367
2019-08-29,1892554.4672242207
2019-09-08,1521000.1303986544
2019-09-13,1114130.902854785
2019-09-23,1581160.8001258178
2019-10-08,577452.0627215316
2019-10-18,580062.4866513794
2019-11-07,537813.5913253259
2019-11-27,1799604.1276817576
2019-12-07,1669946.510523324
2020-02-10,2216683.2162777884
2020-02-25,1854757.0880961302
2020-03-01,1771608.7828631783
2020-04-10,1667654.2572004094
2020-05-05,1501453.8546807184
2020-05-25,273638.0953249315
2020-06-04,21998.55272552577
2020-06-09,26963.74976102751
2020-06-14,18012.130361224514
2020-06-24,194028.93364731834
2020-06-29,392504.44475590775
2020-07-04,216282.11587729002
2020-07-14,512784.27610269835
2020-07-19,587038.5575556266
2020-07-24,533123.6326780427
2020-07-29,536960.0770876532
2020-08-03,582675.9702355254
2020-08-08,268993.9225494947
2020-08-13,392897.7616176655
2020-08-18,405141.160336028
2020-08-23,503950.9062322775
2020-08-28,435969.0305902102
2020-09-07,622684.3733001646
2020-10-02,265790.88048407924
2020-11-01,644510.5194533415
2020-12-06,1063364.7794147576
2020-12-16,1460345.1520306529
