date,value
2018-01-01,17000
2018-01-06,20500
2018-01-16,20900
2018-01-21,20900
2018-01-26,19300
2018-01-31,19200
2018-04-06,25200
2018-04-16,20700
2018-05-26,19900
2018-05-31,20000
2018-06-10,18100
2018-06-25,14200
2018-06-30,13100
2018-07-05,1500
2018-07-10,18800
2018-07-20,13200
2018-07-25,14700
2018-07-30,16900
2018-08-09,13300
2018-08-14,13800
2018-09-23,22800
2018-10-28,29400
2018-11-27,32400
2018-12-22,30500
2018-12-27,32800
2019-01-16,33100
2019-01-31,34700
2019-02-10,33900
2019-02-15,33900
2019-03-12,34900
2019-03-17,36100
2019-04-16,35400
2019-05-06,32900
2019-05-11,32400
2019-05-16,33900
2019-06-05,31400
2019-06-10,25500
2019-06-25,28900
2019-06-30,29700
2019-07-05,27000
2019-07-20,27000
2019-07-25,26200
2019-07-30,23400
2019-08-04,21200
2019-08-14,20400
2019-08-19,19700
2019-09-03,18100
2019-09-08,15900
2019-09-13,32700
2019-10-08,20900
2019-10-18,24400
2019-11-27,29400
2019-12-07,29100
2020-01-06,36700
2020-01-16,33300
2020-02-05,33400
2020-02-25,33200
2020-03-01,32700
2020-03-26,36600
2020-04-05,36000
2020-04-10,30400
2020-05-05,33200
2020-05-20,33000
2020-05-25,30700
2020-06-04,28800
2020-06-09,29300
2020-06-24,30300
2020-06-29,26800
2020-07-04,30000
2020-07-19,24100
2020-07-24,26400
2020-07-29,24800
2020-08-03,27500
2020-08-13,22900
2020-08-18,20200
2020-08-28,22900
2020-10-02,17400
2020-10-27,14200
2020-11-01,14600
2020-12-01,25000
2020-12-16,25200
