date,value
2018-01-06,7571.374161089385
2018-01-07,15738.120358741513
2018-01-11,15738.120358741513
2018-01-12,12544.095289317831
2018-01-13,12544.095289317831
2018-01-17,15256.474482336202
2018-01-18,19717.55693522732
2018-01-19,14940.110257355875
2018-01-23,20462.148234587836
2018-01-24,15097.819989146024
2018-01-25,15097.819989146024
2018-01-29,13414.667078675937
2018-01-30,18099.475509428634
2018-01-31,12121.256382445485
2018-02-04,14940.110257355875
2018-02-05,13414.667078675937
2018-02-06,13414.667078675937
2018-02-10,15576.623288458048
2018-02-11,19902.23040051602
2018-02-12,14783.343897823788
2018-02-16,18988.657926694104
2018-02-17,13414.667078675937
2018-02-18,13414.667078675937
2018-02-22,11434.827680972185
2018-02-23,21030.938968598228
2018-02-24,12686.880727140884
2018-02-28,23599.057916309474
2018-03-01,15097.819989146024
2018-03-02,15097.819989146024
2018-03-06,13862.478227303394
2018-03-07,18988.657926694104
2018-03-08,14627.51951716424
2018-03-12,20274.524773331254
2018-03-13,16393.625065233122
2018-03-14,16393.625065233122
2018-03-18,15416.075121856768
2018-03-19,20650.75757587131
2018-03-20,13712.276217018223
2018-03-24,17577.605420688233
2018-03-25,14940.110257355875
2018-03-26,14940.110257355875
2018-03-30,18808.875433832312
2018-03-31,24423.31950171108
2018-04-01,20840.354065541902
2018-04-05,25690.054788403057
2018-04-06,16393.625065233122
2018-04-07,16393.625065233122
2018-04-11,12975.21908028797
2018-04-12,21998.73372706428
2018-04-13,15097.819989146024
2018-04-17,24841.509247270827
2018-04-18,13267.257089004635
2018-04-19,13267.257089004635
2018-04-23,11982.144312917808
2018-04-24,20274.524773331254
2018-04-25,14013.613765194006
2018-04-29,20462.148234587836
2018-04-30,15416.075121856768
2018-05-01,15416.075121856768
2018-05-05,15097.819989146024
2018-05-06,20087.88592035747
2018-05-07,13712.276217018223
2018-05-11,18452.23207414244
2018-05-12,13267.257089004635
2018-05-13,13267.257089004635
2018-05-17,14627.51951716424
2018-05-18,16895.28393116743
2018-05-19,15097.819989146024
2018-05-23,18808.875433832312
2018-05-24,16393.625065233122
2018-05-25,16393.625065233122
2018-05-29,14627.51951716424
2018-05-30,22591.351782690934
2018-05-31,17577.605420688233
2018-06-04,30650.164384469994
2018-06-05,19533.86424245965
2018-06-06,19533.86424245965
2018-06-11,33567.7300091297
2018-06-12,25904.732741325246
2018-06-16,71407.8472054394
2018-06-17,32333.695520127505
2018-06-18,32333.695520127505
2018-06-23,66520.2622304778
2018-06-24,66520.2622304778
2018-06-28,66520.2622304778
2018-06-29,15738.120358741513
2018-06-30,15738.120358741513
2018-07-04,11033.88655505715
2018-07-05,61829.21613060817
2018-07-10,84288.49506193023
2018-07-11,47383.12989237944
2018-07-12,47383.12989237944
2018-07-16,66520.2622304778
2018-07-17,98400.08799518159
2018-07-18,98400.08799518159
2018-07-22,80954.01400543858
2018-07-23,141494.3301002345
2018-07-24,141494.3301002345
2018-07-28,114772.59220379028
2018-07-29,139238.88076624915
2018-07-30,139238.88076624915
2018-08-03,69882.92306462934
2018-08-04,155462.98919360494
2018-08-05,155462.98919360494
2018-08-09,146067.32505145553
2018-08-10,158467.76620652436
2018-08-11,158467.76620652436
2018-08-15,75698.46110986084
2018-08-16,93856.3290170543
2018-08-17,93856.3290170543
2018-08-21,43819.39744637771
2018-08-22,49224.77270021535
2018-08-23,49224.77270021535
2018-08-27,14472.635717715797
2018-08-28,39861.21629253067
2018-08-29,39861.21629253067
2018-09-02,35083.454044500606
2018-09-03,55987.9845483458
2018-09-04,55987.9845483458
2018-09-08,37961.86289765459
2018-09-09,62538.20283536277
2018-09-10,62538.20283536277
2018-09-14,42381.22734201173
2018-09-15,55654.64486791486
2018-09-16,55654.64486791486
2018-09-20,24423.31950171108
2018-09-21,31125.939849471575
2018-09-22,31125.939849471575
2018-09-26,7678.533210665892
2018-09-27,36900.192684742105
2018-09-28,30650.164384469994
2018-10-02,92517.03709931474
2018-10-03,31605.897572949754
2018-10-04,31605.897572949754
2018-10-08,26120.429700761444
2018-10-09,39861.21629253067
2018-10-10,39861.21629253067
2018-10-14,36900.192684742105
2018-10-15,39040.73406159263
2018-10-16,39040.73406159263
2018-10-20,29017.754986155593
2018-10-21,33567.7300091297
2018-10-22,33567.7300091297
2018-10-26,28107.752177588718
2018-10-27,33070.95387112424
2018-10-28,33070.95387112424
2018-11-01,30178.562160468864
2018-11-02,33817.702561020815
2018-11-03,33817.702561020815
2018-11-07,28788.704149773006
2018-11-08,34573.971330872286
2018-11-09,34573.971330872286
2018-11-13,29944.32318482579
2018-11-14,34320.822126283245
2018-11-15,34320.822126283245
2018-11-19,28333.703898548538
2018-11-20,34828.18160701652
2018-11-21,34828.18160701652
2018-11-26,36900.192684742105
2018-11-27,36900.192684742105
2018-12-01,30650.164384469994
2018-12-02,35855.65518829657
2018-12-03,35855.65518829657
2018-12-07,31365.39536687782
2018-12-08,36375.786633622476
2018-12-09,30650.164384469994
2018-12-13,39040.73406159263
2018-12-14,30413.8421825126
2018-12-15,30413.8421825126
2018-12-19,31605.897572949754
2018-12-20,34573.971330872286
2018-12-21,30413.8421825126
2018-12-25,34573.971330872286
2018-12-26,29711.124119512064
2018-12-27,29711.124119512064
2019-01-01,39586.64117135361
2019-01-02,39586.64117135361
2019-01-06,39586.64117135361
2019-01-07,33070.95387112424
2019-01-08,33070.95387112424
2019-01-12,31847.44758862012
2019-01-13,32333.695520127505
2019-01-14,24631.90845566206
2019-01-18,26993.43125544671
2019-01-19,22991.426674981005
2019-01-20,22991.426674981005
2019-01-24,26554.88537519291
2019-01-25,45581.410237373835
2019-01-26,36900.192684742105
2019-01-30,54004.94145660731
2019-02-01,54004.94145660731
2019-02-06,42666.67369842679
2019-02-07,42666.67369842679
2019-02-11,42666.67369842679
2019-02-12,29247.841162709185
2019-02-13,29247.841162709185
2019-02-17,25263.751148950236
2019-02-18,39040.73406159263
2019-02-19,29247.841162709185
2019-02-23,40691.44048997671
2019-02-24,33070.95387112424
2019-02-25,33070.95387112424
2019-03-01,34573.971330872286
2019-03-02,41813.6089407985
2019-03-03,34828.18160701652
2019-03-07,44110.31807628716
2019-03-08,34828.18160701652
2019-03-09,34828.18160701652
2019-03-13,35339.789730801574
2019-03-14,42953.212862624336
2019-03-15,33070.95387112424
2019-03-19,43240.84586004219
2019-03-20,31125.939849471575
2019-03-21,31125.939849471575
2019-03-25,33817.702561020815
2019-03-26,35855.65518829657
2019-03-27,30413.8421825126
2019-03-31,38499.14411790813
2019-04-01,26993.43125544671
2019-04-02,26993.43125544671
2019-04-06,26337.146851425554
2019-04-07,36375.786633622476
2019-04-08,29478.96382588362
2019-04-12,39040.73406159263
