date,value
2018-01-01,546100
2018-01-06,556800
2018-01-16,568100
2018-01-26,562600
2018-01-31,559600
2018-04-06,583800
2018-04-11,507500
2018-04-16,547900
2018-04-26,553600
2018-05-26,544200
2018-05-31,550100
2018-06-10,504100
2018-06-20,507700
2018-06-25,481800
2018-06-30,423700
2018-07-05,411600
2018-07-10,444600
2018-07-20,387700
2018-07-25,394900
2018-07-30,381900
2018-08-09,394800
2018-08-14,410400
2018-10-08,839600
2018-11-27,909200
2018-12-22,912700
2018-12-27,924700
2019-02-10,917700
2019-02-15,925500
2019-02-20,920100
2019-03-12,923100
2019-03-17,931800
2019-04-06,890700
2019-04-16,916400
2019-04-26,924100
2019-05-11,917100
2019-06-05,892900
2019-06-15,833900
2019-06-25,854100
2019-07-05,816300
2019-07-15,785700
2019-07-20,782500
2019-07-25,747400
2019-07-30,723400
2019-08-04,704500
2019-08-09,699000
2019-08-19,672400
2019-08-29,702200
2019-09-03,699900
2019-09-13,660300
2019-09-28,636400
2019-10-18,660400
2019-11-02,712300
2019-11-07,690900
2019-11-27,797800
2019-12-07,820500
2020-02-10,858000
2020-02-25,857600
2020-03-01,856500
2020-05-05,846600
2020-05-10,843800
2020-06-04,812700
2020-06-14,791400
2020-06-24,779600
2020-06-29,770900
2020-07-04,758900
2020-07-19,690700
2020-07-24,701500
2020-07-29,690300
2020-08-03,664400
2020-08-08,652800
2020-08-13,613600
2020-08-18,583100
2020-08-28,552200
2020-10-02,533800
2020-11-01,431600
2020-12-06,447300
2020-12-16,440200
