date,value
2018-01-01,2248446.979628744
2018-01-06,2326207.795591177
2018-01-11,2326207.795591177
2018-01-14,2320138.551669315
2018-01-16,2411126.9133049566
2018-01-19,2396779.3390330556
2018-01-21,2396779.3390330556
2018-01-24,2396779.3390330556
2018-01-26,2437172.20383469
2018-01-29,2359357.52534638
2018-01-31,2409075.258577949
2018-02-05,2409075.258577949
2018-02-08,2339040.512618028
2018-02-10,2339040.512618028
2018-03-02,2623168.321711769
2018-04-06,2504833.4087384706
2018-04-09,2504833.4087384706
2018-04-11,2518033.1410890026
2018-04-16,2308690.948755088
2018-04-19,2322835.246057238
2018-04-21,2245783.60076623
2018-04-24,2450234.87909063
2018-04-26,2289883.237810181
2018-04-29,2455054.161213257
2018-05-04,2298608.084689778
2018-05-06,2422080.328880142
2018-05-26,2235806.668128597
2018-05-29,2235806.668128597
2018-05-31,2358000.97137889
2018-06-03,2358000.97137889
2018-06-08,2275146.989527537
2018-06-10,2275146.989527537
2018-06-13,1975438.5998005567
2018-06-15,2039213.976364849
2018-06-18,2039213.976364849
2018-06-20,2002130.0109050635
2018-06-25,1836025.1096095345
2018-06-28,1836025.1096095345
2018-06-30,1839108.1675032761
2018-07-03,1839108.1675032761
2018-07-05,1504555.8993977248
2018-07-08,1506841.73678707
2018-07-10,1493146.5985393561
2018-07-13,1615762.1778992575
2018-07-15,1615762.1778992575
2018-07-18,1612241.2797511185
2018-07-20,1612241.2797511185
2018-07-23,1291896.5976145628
2018-07-25,1374260.3513925425
2018-07-28,1374260.3513925425
2018-07-30,1284896.7924654062
2018-08-02,1358841.0642454897
2018-08-04,1358841.0642454897
2018-08-09,1352253.149049419
2018-08-12,1330381.8438595645
2018-08-14,1434915.5841466682
2018-08-17,1434915.5841466682
2018-08-19,1358841.0642454897
2018-08-22,1422033.6025335449
2018-10-08,4508618.59618651
2018-10-11,4508618.59618651
2018-11-27,5128496.736780789
2018-12-02,5128496.736780789
2018-12-05,5128496.736780789
2018-12-07,5128496.736780789
2018-12-22,5160469.1266040085
2018-12-27,5481536.337261996
2018-12-30,5481536.337261996
2019-02-10,5206275.443918651
2019-02-13,5206275.443918651
2019-02-15,5378027.784218503
2019-02-20,5225560.1535309255
2019-02-23,5397552.675487115
2019-02-25,5397552.675487115
2019-02-28,5228317.333809858
2019-03-02,5254998.69154285
2019-03-12,5280809.1745886775
2019-03-17,5480600.467338998
2019-03-25,5336279.765247279
2019-04-06,4960763.669287802
2019-04-09,4960763.669287802
2019-04-11,5226479.151927092
2019-04-14,5226479.151927092
2019-04-16,5186101.62494558
2019-04-19,5324242.362283342
2019-04-26,5355746.716470889
2019-04-29,5265132.765953366
2019-05-01,5310365.951389106
2019-05-06,5310365.951389106
2019-05-11,5207193.146070677
2019-05-14,5200770.527934579
2019-05-16,5200770.527934579
2019-05-19,5200770.527934579
2019-05-21,5200770.527934579
2019-06-05,5000463.807924543
2019-06-10,4982403.313680449
2019-06-13,4982403.313680449
2019-06-15,4697726.971003057
2019-06-18,4561723.4160290435
2019-06-25,4635239.251682568
2019-06-28,4635239.251682568
