date,value
2018-01-05,2185518.03582286
2018-01-06,3112509.080660179
2018-01-11,2940196.6404960128
2018-01-12,3239401.913382693
2018-01-17,2778151.5624338714
2018-01-18,3256262.3540698206
2018-01-23,2829595.0367090446
2018-01-24,2854357.3602666166
2018-01-29,2301295.2008612123
2018-01-30,2980883.199704642
2018-02-04,2518033.1410890026
2018-02-05,2722052.560562725
2018-02-10,2575303.631405374
2018-02-11,3671643.194157103
2018-02-16,1993217.6802842023
2018-02-17,2783929.9859747128
2018-02-22,2464013.844812057
2018-02-23,3532126.4845958496
2018-02-28,2520815.406160123
2018-03-01,2796948.1911204048
2018-03-06,2566191.3845553957
2018-03-07,3322491.409041729
2018-03-12,2743577.384880667
2018-03-13,2749328.2646187
2018-03-18,2618225.545199361
2018-03-19,3132893.36166921
2018-03-24,2562689.9585399386
2018-03-25,2699164.161786181
2018-03-30,2361392.9147504214
2018-03-31,3123827.4095489285
2018-04-05,2531259.3437567907
2018-04-06,2616813.9771338254
2018-04-11,2269797.363429216
2018-04-12,2817244.7859652597
2018-04-17,2348513.436762114
2018-04-18,2880665.978720477
2018-04-23,2280501.4223249387
2018-04-24,2734959.6883165287
2018-04-29,2496510.3889904935
2018-04-30,2593565.093412966
2018-05-05,2277823.6052558958
2018-05-06,2618931.4382118755
2018-05-11,2234477.692109088
2018-05-12,2472985.984029583
2018-05-17,2167100.916297694
2018-05-18,2685609.1128182234
2018-05-23,2229164.8054808746
2018-05-24,2458498.71864576
2018-05-29,2159226.0917878114
2018-05-30,2646517.8847128954
2018-06-04,2040497.3646859715
2018-06-05,2509693.3862970164
2018-06-11,2712029.8071043813
2018-06-16,1995762.511343763
2018-06-17,2411126.9133049566
2018-06-22,1573705.3228446725
2018-06-23,2214579.2799219885
2018-06-23,2583023.6221049065
2018-06-28,1758986.2325765933
2018-06-29,1762626.1190574204
2018-07-04,1455731.6970105115
2018-07-05,2286530.901404413
2018-07-10,1553992.6419631762
2018-07-11,2020639.513747441
2018-07-16,1449531.169513778
2018-07-17,2592158.6169744018
2018-07-22,1298370.835228538
2018-07-23,2466083.233339472
2018-07-28,1301072.079694243
2018-07-29,2173671.627553472
2018-08-03,1076713.1757659558
2018-08-04,1606965.4326602344
2018-08-09,1402515.8088170446
2018-08-10,2446106.9439655202
2018-08-15,1696950.7487907766
2018-08-16,2219878.877607664
