date,value
2018-01-01,604500
2018-01-06,605800
2018-01-11,605800
2018-01-14,592400
2018-01-16,661500
2018-01-19,661500
2018-01-21,676900
2018-01-24,676900
2018-01-26,660300
2018-01-29,664700
2018-01-31,643600
2018-02-05,644100
2018-02-08,636600
2018-02-10,636600
2018-03-07,671600
2018-03-10,671600
2018-03-12,700800
2018-03-22,684400
2018-04-06,707000
2018-04-09,706300
2018-04-11,716700
2018-04-16,695200
2018-04-19,705600
2018-04-21,695900
2018-04-24,696800
2018-04-26,696800
2018-05-26,657100
2018-05-29,657100
2018-05-31,674200
2018-06-03,674200
2018-06-08,663100
2018-06-10,663300
2018-06-13,624800
2018-06-15,631700
2018-06-18,631700
2018-06-20,615100
2018-06-25,582400
2018-06-28,582400
2018-06-30,583800
2018-07-03,583800
2018-07-05,528300
2018-07-08,527700
2018-07-10,519700
2018-07-13,534500
2018-07-15,534500
2018-07-18,533300
2018-07-20,534100
2018-07-23,497400
2018-07-25,509200
2018-07-28,509200
2018-07-30,489400
2018-08-02,498800
2018-08-04,498800
2018-08-09,649000
2018-08-12,642400
2018-08-14,696900
2018-08-17,696900
2018-08-19,696900
2018-08-22,693500
2018-11-27,1177100
2018-12-02,1177100
2018-12-05,1177100
2018-12-07,1177100
2018-12-22,1191800
2018-12-27,1229200
2018-12-30,1229200
2019-02-10,1206600
2019-02-13,1159000
2019-02-15,1174400
2019-02-20,1158900
2019-02-25,1175000
2019-02-28,1180700
2019-03-02,1177400
2019-03-12,1208500
2019-03-17,1221600
2019-03-25,1206500
2019-04-16,1206300
2019-04-19,1221600
2019-04-26,1223500
2019-05-06,1200300
2019-05-09,1170800
2019-05-11,1170800
2019-05-14,1152500
2019-05-16,1161100
2019-06-05,1161600
2019-06-10,1170400
2019-06-13,1170400
2019-06-15,1159600
2019-06-18,1167500
2019-06-25,1146000
2019-06-28,1146000
2019-06-30,1159800
2019-07-03,1159800
2019-07-05,1136300
2019-07-08,1150800
2019-07-10,1150800
2019-07-13,1084800
2019-07-15,1087600
2019-07-20,1066400
2019-07-23,1066400
2019-07-25,1062400
2019-07-28,1063300
2019-07-30,1043400
2019-08-02,1049100
2019-08-04,1020800
2019-08-07,1027900
2019-08-09,997400
2019-08-12,1002100
2019-08-14,975300
2019-08-17,1020800
2019-08-19,971300
2019-08-22,994400
2019-08-24,942800
2019-08-27,946900
2019-08-29,946900
2019-09-03,958600
2019-09-06,957400
2019-09-08,954500
2019-09-11,954500
2019-09-13,925300
2019-09-16,929800
2019-09-21,902200
2019-09-23,902200
2019-10-13,860300
2019-10-16,860300
2019-10-18,861500
2019-10-21,888300
2019-10-26,887600
2019-10-28,887600
2019-11-02,936500
2019-11-05,936500
2019-11-07,941600
2019-11-17,1013300
2019-11-27,1026400
2019-11-30,1020700
2019-12-02,1020700
2019-12-05,1020700
2019-12-07,1053600
2019-12-10,1040400
2019-12-12,1040400
2020-01-16,1081500
2020-01-19,1081500
2020-01-26,1117300
2020-02-10,1098000
2020-02-15,1098000
2020-02-18,1098000
2020-02-20,1098000
2020-02-25,1088000
2020-02-28,1088000
2020-03-01,1113200
2020-03-04,1113200
2020-03-11,1088200
2020-04-05,1082400
2020-04-08,1078600
2020-04-10,1092600
2020-05-05,1098100
2020-05-10,1117600
2020-05-15,1116000
2020-05-18,1091700
2020-05-20,1105700
2020-05-23,1085400
2020-05-25,1086200
2020-05-28,1087700
2020-05-30,1087700
2020-06-04,1075600
2020-06-07,1068700
2020-06-09,1068700
2020-06-12,1068700
2020-06-14,1069200
2020-06-17,1029200
2020-06-19,1035400
2020-06-24,1011800
2020-06-27,1011800
2020-06-29,1020800
2020-07-02,1020800
2020-07-04,989300
2020-07-07,998400
2020-07-09,997800
2020-07-12,963000
2020-07-14,963100
2020-07-24,906100
2020-07-27,910000
2020-07-29,846700
2020-08-01,862700
2020-08-03,815100
2020-08-06,820700
2020-08-08,811300
2020-08-11,792900
2020-08-13,786000
2020-08-16,756900
2020-08-18,750300
2020-08-21,755900
2020-08-23,753600
2020-08-26,735900
2020-08-28,747200
2020-08-31,744400
2020-09-02,744400
2020-09-07,740600
2020-10-02,765400
2020-10-10,748000
2020-10-12,748000
2020-10-22,702200
2020-10-25,702200
2020-10-27,702200
2020-10-30,688900
2020-11-01,710000
2020-12-16,707300
2020-12-21,707300
2020-12-24,707300
