date,value
2018-01-05,588800
2018-01-06,715900
2018-01-07,673200
2018-01-11,792600
2018-01-12,765300
2018-01-13,765300
2018-01-17,828300
2018-01-18,849600
2018-01-19,804100
2018-01-23,797300
2018-01-24,760300
2018-01-25,760300
2018-01-29,714900
2018-01-30,761600
2018-01-31,723500
2018-02-04,731300
2018-02-05,707800
2018-02-06,707800
2018-02-10,705300
2018-02-11,770400
2018-02-12,738500
2018-02-16,766000
2018-02-17,710300
2018-02-18,710300
2018-02-22,655600
2018-02-23,714700
2018-02-24,696400
2018-02-28,767000
2018-03-01,720400
2018-03-02,720400
2018-03-06,702600
2018-03-07,750000
2018-03-08,713600
2018-03-12,760600
2018-03-13,726500
2018-03-14,726500
2018-03-18,721400
2018-03-19,756600
2018-03-20,732800
2018-03-24,757000
2018-03-25,716000
2018-03-26,716000
2018-03-30,686400
2018-03-31,704900
2018-04-01,703000
2018-04-05,739400
2018-04-06,711000
2018-04-07,711000
2018-04-11,690900
2018-04-12,718000
2018-04-13,694800
2018-04-17,692900
2018-04-18,687100
2018-04-19,687100
2018-04-23,672300
2018-04-24,705300
2018-04-25,681700
2018-04-29,699900
2018-04-30,683300
2018-05-01,683300
2018-05-05,676700
2018-05-06,694300
2018-05-07,670200
2018-05-11,661000
2018-05-12,655100
2018-05-13,655100
2018-05-17,645800
2018-05-18,665600
2018-05-19,658800
2018-05-23,672300
2018-05-24,660100
2018-05-25,660100
2018-05-29,645900
2018-05-30,678900
2018-05-31,661300
2018-06-04,682700
2018-06-05,667300
2018-06-06,667300
2018-06-11,758800
2018-06-12,758800
2018-06-16,657500
2018-06-17,769100
2018-06-18,769100
2018-06-22,520600
2018-06-23,658100
2018-06-24,625100
2018-06-28,665600
2018-06-29,577100
2018-06-30,577100
2018-07-04,543900
2018-07-05,610900
2018-07-10,613500
2018-07-11,588500
2018-07-12,588500
2018-07-16,544600
2018-07-17,698800
2018-07-18,698800
2018-07-22,548900
2018-07-23,767800
2018-07-24,767800
2018-07-28,527100
2018-07-29,701900
2018-07-30,701900
2018-08-03,484100
2018-08-04,620800
2018-08-05,620800
2018-08-09,530400
2018-08-10,747000
2018-08-11,747000
2018-08-15,723000
2018-08-16,807400
2018-08-17,807400
2018-08-21,718800
2018-08-22,732100
2018-08-23,732100
2018-08-27,647100
2018-08-28,699400
2018-08-29,699400
2018-09-02,702600
2018-09-03,770700
2018-09-04,770700
2018-09-08,679400
2018-09-09,733000
2018-09-10,733000
2018-09-14,661300
2018-09-15,719700
2018-09-16,719700
2018-09-20,647800
2018-09-21,704000
2018-09-22,704000
2018-09-26,704900
2018-09-27,1039000
2018-09-28,1031700
2018-10-02,1101800
2018-10-03,1071000
2018-10-04,1071000
2018-10-08,1043200
2018-10-09,1070400
2018-10-10,1070400
2018-10-14,1062900
2018-10-15,1094300
2018-10-16,1094300
2018-10-20,1090500
2018-10-21,1121000
2018-10-22,1121000
2018-10-26,1109500
2018-10-27,1139500
2018-10-28,1139500
2018-11-01,1116400
2018-11-02,1169800
2018-11-03,1169800
2018-11-07,1125100
2018-11-08,1161400
2018-11-09,1161400
2018-11-13,1137300
2018-11-14,1162900
2018-11-15,1162900
2018-11-19,1162600
2018-11-20,1191300
2018-11-21,1191300
2018-11-26,1180100
2018-11-27,1180100
2018-12-01,1216500
2018-12-02,1180200
2018-12-03,1180200
2018-12-07,1167400
2018-12-08,1193300
2018-12-09,1180700
2018-12-13,1184900
2018-12-14,1170600
2018-12-15,1170600
2018-12-19,1134900
2018-12-20,1166100
2018-12-21,1150800
2018-12-25,1176800
2018-12-26,1164900
2018-12-27,1164900
2019-01-01,1280000
2019-01-02,1280000
2019-01-06,1182300
2019-01-07,1204700
2019-01-08,1204700
2019-01-12,1153600
2019-01-13,1174400
2019-01-14,1164600
2019-01-18,1182100
2019-01-19,1163000
2019-01-20,1163000
2019-01-24,1173600
2019-01-25,1203100
2019-01-26,1185100
2019-01-30,1228200
2019-02-01,1228200
2019-02-05,1216500
2019-02-06,1214600
2019-02-07,1214600
2019-02-11,1208200
2019-02-12,1186900
2019-02-13,1186900
2019-02-17,1162000
2019-02-18,1191100
2019-02-19,1168500
2019-02-23,1198100
2019-02-24,1183000
2019-02-25,1183000
2019-03-01,1194600
2019-03-02,1237800
2019-03-03,1204900
2019-03-07,1207500
2019-03-08,1178100
2019-03-09,1178100
2019-03-13,1153200
2019-03-14,1194300
2019-03-15,1173800
2019-03-19,1210900
2019-03-20,1183500
2019-03-21,1183500
2019-03-25,1153600
2019-03-26,1188700
2019-03-27,1172000
2019-03-31,1190200
2019-04-01,1167500
2019-04-02,1167500
2019-04-06,1167600
2019-04-07,1182900
2019-04-08,1169900
2019-04-12,1188200
2019-04-13,1170100
2019-04-14,1170100
2019-04-18,1155600
2019-04-19,1176000
2019-04-20,1161400
2019-04-24,1167500
2019-04-25,1150900
2019-04-26,1150900
2019-04-30,1138500
2019-05-01,1177200
2019-05-02,1146900
2019-05-06,1175100
2019-05-07,1159000
2019-05-08,1159000
2019-05-12,1169900
2019-05-13,1198000
2019-05-14,1179600
2019-05-18,1199200
2019-05-19,1167700
2019-05-20,1167700
2019-05-24,1137600
2019-05-25,1162000
2019-05-26,1162000
2019-05-30,1133400
2019-05-31,1165300
2019-06-01,1165300
2019-06-05,1113800
2019-06-06,1161400
2019-06-07,1161400
2019-06-11,1092300
2019-06-12,1164400
2019-06-13,1164400
2019-06-17,1088200
2019-06-18,1180700
2019-06-19,1180700
2019-06-23,1076400
2019-06-24,1136500
2019-06-25,1136500
2019-06-29,1062900
2019-06-30,1113000
2019-07-01,1113000
2019-07-05,1055400
2019-07-06,1128400
2019-07-07,1128400
2019-07-11,1048000
2019-07-12,1116600
2019-07-13,1116600
2019-07-17,1100400
2019-07-18,1175300
2019-07-19,1175300
2019-07-23,1105200
2019-07-24,1185400
2019-07-25,1185400
2019-07-29,1078600
2019-07-30,1146600
2019-07-31,1146600
2019-08-04,1068600
2019-08-05,1139700
2019-08-06,1139700
2019-08-10,1057800
2019-08-11,1131700
2019-08-12,1131700
2019-08-16,1013500
2019-08-17,1107500
2019-08-18,1107500
2019-08-22,1009300
2019-08-23,1023100
2019-08-24,1023100
2019-08-28,993600
2019-08-29,1058700
2019-08-30,1058700
2019-09-03,1054100
2019-09-04,1101000
2019-09-05,1101000
2019-09-09,996500
2019-09-10,1089100
2019-09-11,1089100
2019-09-15,1001700
2019-09-16,1091400
2019-09-17,1091400
2019-09-21,1014900
2019-09-22,1083100
2019-09-23,1083100
2019-09-27,1013700
2019-09-28,1074800
2019-10-03,1060200
2019-10-04,1120700
2019-10-05,1120700
2019-10-09,1086600
2019-10-10,1130300
2019-10-11,1130300
2019-10-15,997800
2019-10-16,1088800
2019-10-17,1088800
2019-10-21,966700
2019-10-22,1041800
2019-10-23,1041800
2019-10-27,940500
2019-10-28,977500
2019-10-29,977500
2019-11-02,923600
2019-11-03,957600
2019-11-04,957600
2019-11-08,920600
2019-11-09,986700
2019-11-10,951200
2019-11-14,1082100
2019-11-15,1064300
2019-11-16,1064300
2019-11-20,1077400
2019-11-21,1120400
2019-11-22,1097700
2019-11-26,1113200
2019-11-27,1085800
2019-11-28,1085800
2019-12-02,1066400
2019-12-03,1084900
2019-12-04,1071400
2019-12-08,1086100
2019-12-09,1072600
2019-12-10,1072600
2019-12-14,1101800
2019-12-15,1120100
2019-12-16,1101000
2019-12-20,1121100
2019-12-21,1109700
2019-12-22,1109700
2019-12-26,1097300
2019-12-27,1151900
2019-12-28,1123800
2020-01-01,1074900
2020-01-02,1134700
2020-01-03,1134700
2020-01-07,1084000
2020-01-08,1102500
2020-01-09,1084400
2020-01-13,1106600
2020-01-14,1095800
2020-01-15,1095800
2020-01-19,1106000
2020-01-20,1128200
2020-01-21,1120000
2020-01-25,1135000
2020-01-26,1109500
2020-01-27,1109500
2020-01-31,1044800
2020-02-01,1112200
2020-02-02,1071800
2020-02-06,1106500
2020-02-07,1092600
2020-02-08,1092600
2020-02-12,1091800
2020-02-13,1121400
2020-02-14,1096100
2020-02-18,1111100
2020-02-19,1098100
2020-02-20,1098100
2020-02-24,1092100
2020-02-25,1119900
2020-02-26,1082200
2020-03-01,1079700
2020-03-02,1067000
2020-03-03,1067000
2020-03-07,1078600
2020-03-08,1092300
2020-03-09,1085600
2020-03-13,1100800
2020-03-14,1085600
2020-03-15,1085600
2020-03-19,1071900
2020-03-20,1098900
2020-03-21,1088700
2020-03-25,1112700
2020-03-26,1096700
2020-03-31,1076500
2020-04-01,1091700
2020-04-02,1082300
2020-04-06,1086900
2020-04-07,1078100
2020-04-08,1078100
2020-04-12,1078200
2020-04-13,1108800
2020-04-14,1085100
2020-04-18,1094100
2020-04-19,1075100
2020-04-20,1075100
2020-04-24,1060200
2020-04-25,1080500
2020-04-26,1080500
2020-04-30,1071300
2020-05-01,1090800
2020-05-02,1090800
2020-05-06,1068400
2020-05-07,1095500
2020-05-08,1095500
2020-05-12,1074500
2020-05-13,1098700
2020-05-14,1098700
2020-05-18,1064900
2020-05-19,1105700
2020-05-20,1105700
2020-05-24,1066500
2020-05-25,1096600
2020-05-26,1096600
2020-05-30,1022600
2020-05-31,1073700
2020-06-01,1073700
2020-06-05,1056800
2020-06-06,1117200
2020-06-07,1117200
2020-06-12,1110500
2020-06-13,1110500
2020-06-17,1167400
2020-06-18,1042600
2020-06-19,1042600
2020-06-24,1153600
2020-06-25,1153600
2020-06-29,1166600
2020-06-30,1044400
2020-07-01,1044400
2020-07-05,980700
2020-07-06,1058500
2020-07-07,1058500
2020-07-11,980100
2020-07-12,1044500
2020-07-13,1044500
2020-07-17,932900
2020-07-18,1026300
2020-07-19,1026300
2020-07-23,959300
2020-07-24,1045700
2020-07-25,1045700
2020-07-29,935600
2020-07-30,1026200
2020-07-31,1026200
2020-08-04,930300
2020-08-05,1042000
2020-08-06,1042000
2020-08-10,919700
