date,value
2018-01-01,2458053.8286093175
2018-01-06,2468940.1408557664
2018-01-11,2468940.1408557664
2018-01-14,2357912.779027112
2018-01-16,2958637.8561860146
2018-01-19,2958637.8561860146
2018-01-21,3102069.559927163
2018-01-24,3102069.559927163
2018-01-26,2947607.8539581723
2018-01-29,2988154.7054479383
2018-01-31,2796303.2509006285
2018-02-05,2800773.8477136
2018-02-08,2734100.1523821657
2018-02-10,2734100.1523821657
2018-03-07,3052312.907763288
2018-03-10,3052312.907763288
2018-03-12,3331583.5142912194
2018-03-22,3173186.5969975987
2018-04-06,3392498.427435403
2018-04-09,3385592.5329936673
2018-04-11,3488938.9765241393
2018-04-16,3277050.96637785
2018-04-19,3378693.869660727
2018-04-21,3283842.2445045714
2018-04-24,3292584.504179781
2018-04-26,3292584.504179781
2018-05-26,2918298.0020305174
2018-05-29,2918298.0020305174
2018-05-31,3076670.17028912
2018-06-03,3076670.17028912
2018-06-08,2973377.4593058308
2018-06-10,2975222.5563645167
2018-06-13,2630870.4750897572
2018-06-15,2690985.717450823
2018-06-18,2690985.717450823
2018-06-20,2547540.3710022816
2018-06-25,2276766.0921734907
2018-06-28,2276766.0921734907
2018-06-30,2288038.7289676326
2018-07-03,2288038.7289676326
2018-07-05,1863032.9478646696
2018-07-08,1858683.0467248075
2018-07-10,1801183.5088484518
2018-07-13,1908287.96038416
2018-07-15,1908287.96038416
2018-07-18,1899485.3637272825
2018-07-20,1905351.4377117895
2018-07-23,1645800.1215922886
2018-07-25,1727123.6670892814
2018-07-28,1727123.6670892814
2018-07-30,1591811.3057538292
2018-08-02,1655343.3198632353
2018-08-04,1655343.3198632353
2018-08-09,2844779.937148301
2018-08-12,2785588.7911045835
2018-08-14,3293556.603648039
2018-08-17,3293556.603648039
2018-08-19,3293556.603648039
2018-08-22,3260587.9393537096
2018-11-27,9681494.454168167
2018-12-02,9681494.454168167
2018-12-05,9681494.454168167
2018-12-07,9681494.454168167
2018-12-22,9931847.669707384
2018-12-27,10583619.480765296
2018-12-30,10583619.480765296
2019-02-10,10187223.141890122
2019-02-13,9377746.307856577
2019-02-15,9635868.183358062
2019-02-20,9376081.959562453
2019-02-25,9645997.783258202
2019-02-28,9742501.782828512
2019-03-02,9686570.87678702
2019-03-12,10220249.173047995
2019-03-17,10449450.271305453
2019-03-25,10185486.451301282
2019-04-16,10182013.526580987
2019-04-19,10449450.271305453
2019-04-26,10482910.112300897
2019-05-06,10078108.760402279
2019-05-09,9575205.428928098
2019-05-11,9575205.428928098
2019-05-14,9269879.387487585
2019-05-16,9412732.689983256
2019-06-05,9421072.649007678
2019-06-10,9568477.274880437
2019-06-13,9568477.274880437
2019-06-15,9387735.585538331
2019-06-18,9519770.834037159
2019-06-25,9162653.634483151
2019-06-28,9162653.634483151
