date,value
2018-01-05,2328531.738400687
2018-01-06,4613943.912188673
2018-01-11,5027686.988060519
2018-01-12,5449627.95004381
2018-01-17,3909813.93027556
2018-01-18,5138252.249263129
2018-01-23,3960948.65473619
2018-01-24,3815904.8184492993
2018-01-29,2769556.730538811
2018-01-30,4351986.363158823
2018-02-04,3230676.80140734
2018-02-05,3966294.8252618853
2018-02-10,3303285.7088767663
2018-02-11,5289662.565736748
2018-02-16,2316345.5057313745
2018-02-17,3456969.9857472344
2018-02-22,2984456.8645957154
2018-02-23,5234006.425453114
2018-02-28,3163656.4614286376
2018-03-01,3703522.72496142
2018-03-06,3340390.814300823
2018-03-07,5449627.95004381
2018-03-12,3782426.4384479704
2018-03-13,3609150.9480573484
2018-03-18,3425152.197867759
2018-03-19,4873068.606831159
2018-03-24,3273173.4797329777
2018-03-25,3390524.5768456757
2018-03-30,2997409.6021851404
2018-03-31,4873068.606831159
2018-04-05,3351171.519227439
2018-04-06,3498960.3006580365
2018-04-11,2980761.376675216
2018-04-12,3806473.7010146887
2018-04-17,3032712.353726358
2018-04-18,4041530.3614395764
2018-04-23,2889138.644092575
2018-04-24,3783470.343193943
2018-04-29,3294528.850577151
2018-04-30,3538184.6111429143
2018-05-05,2801668.4074688912
2018-05-06,3262522.5546517204
2018-05-11,2748254.612307032
2018-05-12,3274142.63023798
2018-05-17,2766000.5078423503
2018-05-18,3726275.374155824
2018-05-23,2768667.4547374765
2018-05-24,3319859.0334461713
2018-05-29,2617030.3751428095
2018-05-30,3791826.910310404
2018-06-04,2569741.083999621
2018-06-05,4125128.772008701
2018-06-11,5486210.45263992
2018-06-16,2623080.8030647547
2018-06-17,4402619.954859475
2018-06-22,1807605.8603665468
2018-06-23,4597773.742303174
2018-06-28,2348098.06366798
2018-06-29,2189978.6880382146
2018-07-04,1744612.0491963092
2018-07-05,4271598.501479103
2018-07-10,1782696.0254271342
2018-07-11,3573577.255137664
2018-07-16,1871748.4264956792
2018-07-17,5070065.830204671
2018-07-22,1675201.58224103
2018-07-23,5122381.538466852
2018-07-28,1526935.3855480698
