date,value
2018-01-01,3308700
2018-01-06,3320000
2018-01-11,3320000
2018-01-14,3309000
2018-01-16,3312400
2018-01-19,3272000
2018-01-21,3290600
2018-01-24,3290600
2018-01-26,3258600
2018-01-29,3269900
2018-01-31,3242200
2018-02-05,3196900
2018-02-08,3206000
2018-02-10,3168800
2018-02-13,3184900
2018-02-20,3118500
2018-04-01,2872900
2018-04-06,2869200
2018-04-09,2869200
2018-04-11,2834900
2018-04-16,2785300
2018-04-19,2835900
2018-04-21,2719200
2018-04-24,2720600
2018-04-26,2720600
2018-04-29,2702800
2018-05-31,2287500
2018-06-03,2202100
2018-06-08,2259600
2018-06-10,2193700
2018-06-13,2091900
2018-06-15,2123900
2018-06-18,2125000
2018-06-20,2111300
2018-07-05,1765100
2018-07-08,1709000
2018-07-10,1698100
2018-07-13,1702800
2018-07-15,1702800
2018-07-20,1535400
2018-07-23,1517900
2018-07-25,1492500
2018-07-28,1492500
2018-07-30,1425100
2018-08-02,1433500
2018-08-04,1421900
2018-08-09,1393000
2018-08-14,2054500
2018-08-17,2063100
2018-08-19,2163100
2018-08-22,2162500
2018-08-27,2097200
2018-08-29,2409400
2018-09-01,2427300
2018-09-03,2395500
2018-09-06,2395500
2018-10-08,2442600
2018-10-11,2456800
2018-12-22,4966100
2018-12-27,5024700
2018-12-30,5044900
2019-02-10,5334300
2019-02-13,5344500
2019-02-15,5396300
2019-02-20,5367500
2019-02-23,5441300
2019-02-25,5443600
2019-02-28,5423900
2019-03-02,5432900
2019-03-17,5471500
2019-03-25,5764300
2019-04-06,5719800
2019-04-09,5719800
2019-04-11,5253800
2019-04-14,5255700
2019-04-16,5348700
2019-04-19,5397900
2019-04-26,5488100
2019-04-29,5355900
2019-05-01,5395300
2019-05-06,5359400
2019-05-11,5076100
2019-05-14,5103400
2019-05-16,5123800
2019-05-19,5138000
2019-05-21,5138000
2019-06-05,4908100
2019-06-10,4789500
2019-06-13,4840800
2019-06-15,4794600
2019-06-18,4714300
2019-06-25,4814800
2019-06-28,4812900
2019-06-30,4836000
2019-07-03,4835300
2019-07-05,4800500
2019-07-08,4859600
2019-07-10,4764200
2019-07-13,4788500
2019-07-15,4659300
2019-07-18,4665500
2019-07-20,4636300
2019-07-23,4664500
2019-07-25,4624800
2019-07-28,4649300
2019-07-30,4594700
2019-08-02,4611900
2019-08-04,4520400
2019-08-07,4530700
2019-08-09,4430800
2019-08-12,4440600
2019-08-14,4394700
2019-08-17,4438200
2019-08-19,4438200
2019-08-24,4412700
2019-08-27,4337800
2019-08-29,4333100
2019-09-03,4262100
2019-09-06,4282200
2019-09-08,4276400
2019-09-13,4261800
2019-09-16,4273000
2019-09-21,4279200
2019-09-23,4269800
2019-09-26,4354600
2019-09-28,4323300
2019-10-01,4322100
2019-10-06,4347200
2019-10-08,4300600
2019-10-18,4259600
2019-10-21,4277200
2019-10-26,4273600
2019-10-28,4262500
2019-11-02,4212700
2019-11-05,4212600
2019-11-07,4174100
2019-11-15,4168200
2019-11-17,4140300
2019-11-27,4055100
2019-11-30,4070200
2019-12-02,4070200
2019-12-05,4124900
2019-12-07,4071100
2019-12-10,4125100
2019-12-12,4123200
2019-12-27,4221300
2019-12-30,4221300
2020-02-10,4276600
2020-02-15,4276600
2020-02-18,4234400
2020-02-20,4222900
2020-02-25,4124200
2020-02-28,4123600
2020-03-01,4107600
2020-03-04,4091900
2020-03-11,4057700
2020-04-05,3866100
2020-04-08,3849300
2020-04-10,3849300
2020-05-05,3831700
2020-05-10,3831700
2020-05-15,3828100
2020-05-20,3597800
2020-05-23,3635300
2020-05-25,3619200
2020-05-28,3619200
2020-05-30,3615800
2020-06-02,3596900
2020-06-04,3571400
2020-06-07,3423500
2020-06-09,3416700
2020-06-12,3417600
2020-06-14,3298300
2020-06-17,3241600
2020-06-19,3137700
2020-06-24,2989600
2020-06-27,2989600
2020-06-29,2966200
2020-07-02,2951100
2020-07-04,2849100
2020-07-07,2836100
2020-07-09,2684000
2020-07-12,2623800
2020-07-14,2595700
2020-07-17,2562000
2020-07-19,2503100
2020-07-22,2472300
2020-07-24,2370500
2020-07-27,2325400
2020-07-29,2256900
2020-08-01,2220700
2020-08-03,2135500
2020-08-06,2143800
2020-08-08,2091400
2020-08-11,2064700
2020-08-13,1933500
2020-08-16,1922900
2020-08-18,1819100
2020-08-21,1843600
2020-08-23,1778600
2020-08-26,1784800
2020-08-28,1710600
2020-08-31,1727900
2020-09-02,1641500
2020-09-07,1605200
2020-09-10,1620500
2020-09-12,1613900
2020-09-15,1600800
2020-09-17,1582600
2020-09-20,1636200
2020-09-25,1636500
2020-09-27,1555100
2020-09-30,1657500
2020-10-02,1552000
2020-10-10,1540100
2020-10-12,1530500
2020-10-17,1457800
2020-10-20,1457700
2020-10-22,1531100
2020-10-25,1531300
2020-10-27,1531100
2020-11-01,1431600
2020-11-06,1434000
2020-11-09,1436200
2020-11-11,1422400
2020-11-26,1386300
2020-12-01,1872600
2020-12-04,1872600
2020-12-06,1826600
2020-12-09,1868200
2020-12-11,1862900
2020-12-14,1854800
2020-12-16,1869200
2020-12-21,1902300
2020-12-24,1922100
