date,value
2018-01-05,2883200
2018-01-06,3550800
2018-01-11,3446200
2018-01-12,3417100
2018-01-17,3233600
2018-01-18,3765700
2018-01-23,3120000
2018-01-24,3344100
2018-01-29,2815000
2018-01-30,3390400
2018-02-04,2942400
2018-02-05,3419100
2018-02-10,3227500
2018-02-11,3842900
2018-02-16,2421200
2018-02-17,3266300
2018-02-22,2866300
2018-02-23,3767500
2018-02-28,3010300
2018-03-01,3313300
2018-03-06,3004200
2018-03-07,3620100
2018-03-12,2997100
2018-03-13,3007100
2018-03-18,2910100
2018-03-19,3488600
2018-03-24,2819200
2018-03-25,2948800
2018-03-30,2581100
2018-03-31,3533500
2018-04-05,2786100
2018-04-06,3086800
2018-04-11,2451000
2018-04-12,3169200
2018-04-17,2501400
2018-04-18,3155400
2018-04-23,2576500
2018-04-24,3131300
2018-04-29,2927600
2018-04-30,3055100
2018-05-05,2424800
2018-05-06,2824000
2018-05-11,2251500
2018-05-12,2796400
2018-05-17,2092500
2018-05-18,2964800
2018-05-23,2214400
2018-05-24,2706400
2018-05-29,1966200
2018-05-30,2865800
2018-06-04,1772700
2018-06-05,2461100
2018-06-11,2699800
2018-06-16,1807800
2018-06-17,2154300
2018-06-22,1570100
2018-06-23,2327100
2018-06-28,1834200
2018-06-29,1717100
2018-07-04,1691800
2018-07-05,2236500
2018-07-10,1601700
2018-07-11,2143500
2018-07-16,1738200
2018-07-17,2465500
2018-07-22,1538200
2018-07-23,2499100
2018-07-28,1583300
2018-07-29,2121300
2018-08-03,1260200
2018-08-04,1484400
2018-08-09,1817100
2018-08-10,2126000
2018-08-15,1828000
2018-08-16,1943400
2018-08-21,2202000
2018-08-22,2478600
2018-08-27,2240600
2018-08-28,2659100
2018-09-02,2265900
2018-09-03,2691200
2018-09-08,2105100
2018-09-09,2512500
2018-09-14,1911700
2018-09-15,2390900
2018-09-20,2009500
2018-09-21,2669000
2018-09-26,2835600
2018-09-27,3040200
2018-10-02,2733400
2018-10-03,2806100
2018-10-08,2565700
2018-10-09,2596100
2018-10-14,2616400
2018-10-15,2848000
2018-10-20,4175600
2018-10-21,4406900
2018-10-26,4282900
2018-10-27,4549000
2018-11-01,4244400
2018-11-02,4549300
2018-11-07,4221000
2018-11-08,4406300
2018-11-13,4221000
2018-11-14,4504300
2018-11-19,4238800
2018-11-20,4499900
2018-11-26,4490400
2018-12-01,4289700
2018-12-02,4480700
2018-12-07,4090100
2018-12-08,4550900
2018-12-13,4097900
2018-12-14,4390000
2018-12-19,3938000
2018-12-20,4368900
2018-12-25,4164200
2018-12-26,4370000
2019-01-01,4494000
2019-01-06,4176900
2019-01-07,4318200
2019-01-12,4151500
2019-01-13,4562900
2019-01-18,4079300
2019-01-19,4280700
2019-01-24,4224900
2019-01-25,4549800
2019-01-30,4197500
2019-02-05,4169800
2019-02-06,4533200
2019-02-11,4223600
2019-02-12,4630900
2019-02-17,4050400
2019-02-18,4385400
2019-02-23,4179700
2019-02-24,4353000
2019-03-01,4145000
2019-03-02,4395100
2019-03-07,3994000
2019-03-08,4231900
2019-03-13,3870300
2019-03-14,4301000
2019-03-19,3903100
2019-03-20,4297700
2019-03-25,4082000
2019-03-26,4587900
2019-03-31,4254800
2019-04-01,4427100
2019-04-06,4195100
2019-04-07,4518700
2019-04-12,4328300
2019-04-13,4348400
2019-04-18,4157900
2019-04-19,4322500
2019-04-24,4178900
2019-04-25,4361700
2019-04-30,4169700
2019-05-01,4362000
2019-05-06,4115400
2019-05-07,4214500
2019-05-12,3948000
2019-05-13,4310800
2019-05-18,4018600
2019-05-19,4134300
2019-05-24,4058400
2019-05-25,4232000
2019-05-30,4003500
2019-05-31,4100400
2019-06-05,3964400
2019-06-06,4161300
2019-06-11,3890300
2019-06-12,4094100
2019-06-17,3859500
2019-06-18,4043900
2019-06-23,3897500
2019-06-24,3928700
2019-06-29,3766600
2019-06-30,3955400
2019-07-05,3471900
2019-07-06,3823900
2019-07-11,3709000
2019-07-12,3898600
2019-07-17,3768200
2019-07-18,3891800
2019-07-23,3632400
2019-07-24,3857300
2019-07-29,3662900
2019-07-30,3813000
2019-08-04,3592600
2019-08-05,3823100
2019-08-10,3583500
2019-08-11,3731900
2019-08-16,3471400
2019-08-17,3747000
2019-08-22,3539500
2019-08-23,3592800
2019-08-28,3641700
2019-08-29,3846300
2019-09-03,3623800
2019-09-04,3789000
2019-09-09,3608600
2019-09-10,4014800
2019-09-15,3632700
2019-09-16,3822100
2019-09-21,3615000
2019-09-22,3913800
2019-09-27,3664500
2019-09-28,3847100
2019-10-03,3697700
2019-10-04,3889300
2019-10-09,3747900
2019-10-10,3885800
2019-10-15,3619900
2019-10-16,3891000
2019-10-21,3668100
2019-10-22,3958700
2019-10-27,3591300
2019-10-28,3918500
2019-11-02,3615600
2019-11-03,3849500
2019-11-08,3633600
2019-11-09,4027400
2019-11-14,3733300
2019-11-15,3967800
2019-11-20,3605500
2019-11-21,4008700
2019-11-26,3764700
2019-11-27,3917200
2019-12-02,3632000
2019-12-03,3889800
2019-12-08,3798400
2019-12-09,4004500
2019-12-14,3866700
2019-12-15,3941900
2019-12-20,3804500
2019-12-21,4089200
2019-12-26,3831900
2019-12-27,4041200
2020-01-01,3749700
2020-01-02,3973100
2020-01-07,3744400
2020-01-08,4089200
2020-01-13,3894400
2020-01-14,3989500
2020-01-19,3777600
2020-01-20,4098300
2020-01-25,3491300
2020-01-26,3992600
2020-01-31,3474400
2020-02-01,3966900
2020-02-06,3759500
2020-02-07,3946500
2020-02-12,3613200
2020-02-13,3902000
2020-02-18,3760200
2020-02-19,4070800
2020-02-24,3570400
2020-02-25,3766600
2020-03-01,3678600
2020-03-02,3721900
2020-03-07,3788700
2020-03-08,4013300
2020-03-13,3451800
2020-03-14,3834800
2020-03-19,3555600
2020-03-20,3895000
2020-03-25,3766200
2020-03-26,3926500
2020-03-31,3516800
2020-04-01,3863400
2020-04-06,3517300
2020-04-07,3767500
2020-04-12,3508900
2020-04-13,3885400
2020-04-18,3463500
2020-04-19,3669100
2020-04-24,3447300
2020-04-25,3637500
2020-04-30,3561800
2020-05-01,3713300
2020-05-06,3627500
2020-05-07,3838800
2020-05-12,3560000
2020-05-13,3683500
2020-05-18,3443000
2020-05-19,3734800
2020-05-24,3334400
2020-05-25,3469800
2020-05-30,3194600
2020-05-31,3549000
2020-06-05,3290700
2020-06-06,3429000
2020-06-12,3347800
2020-06-17,3225500
2020-06-18,2958500
2020-06-24,3327300
2020-06-29,2779700
2020-06-30,2962500
2020-07-05,2906200
2020-07-06,3190100
2020-07-11,2519500
2020-07-12,2810500
2020-07-17,2618900
2020-07-18,3174800
2020-07-23,2682700
2020-07-24,2768400
2020-07-29,2447000
2020-07-30,2854900
2020-08-04,2280200
2020-08-05,2849700
2020-08-10,2105400
2020-08-11,2895700
2020-08-16,1994000
2020-08-17,2046500
2020-08-22,1769700
2020-08-23,2517200
2020-08-28,1978300
2020-08-29,2532300
2020-09-03,1772800
2020-09-04,2476900
2020-09-09,1732200
2020-09-10,1968000
2020-09-15,1765600
2020-09-16,2066200
2020-09-21,1746600
2020-09-22,1923600
2020-09-27,2470900
2020-09-28,2131800
2020-10-03,1826700
2020-10-04,2130100
2020-10-09,1683200
2020-10-10,1972900
2020-10-15,1719100
2020-10-16,2068400
2020-10-21,1788000
2020-10-22,2387700
2020-10-27,2288000
2020-10-28,2116100
2020-11-02,1618800
2020-11-03,2048100
2020-11-08,1581400
2020-11-09,2079300
2020-11-14,1579800
2020-11-15,1562400
2020-11-20,2764400
2020-11-21,1844500
2020-11-27,2717100
2020-12-02,1939900
2020-12-03,2691600
2020-12-08,2414300
2020-12-09,3323500
2020-12-14,1900800
2020-12-20,2972100
2020-12-21,3091300
2020-12-26,3631300
2020-12-27,3740300
