date,value
2018-01-01,402300
2018-01-06,396100
2018-01-16,394000
2018-01-24,402200
2018-01-26,384600
2018-01-31,380900
2018-02-28,376600
2018-03-07,357100
2018-03-10,327300
2018-03-30,331100
2018-04-06,346500
2018-04-11,348300
2018-04-16,327500
2018-04-24,279600
2018-04-26,314100
2018-05-26,306200
2018-06-03,107700
2018-06-20,299500
2018-06-28,1900
2018-06-30,288400
2018-07-03,22300
2018-07-05,285200
2018-07-10,290700
2018-07-13,1300
2018-07-18,251300
2018-07-20,275500
2018-07-23,104600
2018-07-25,282700
2018-07-28,16500
2018-07-30,277600
2018-08-02,254700
2018-08-04,267800
2018-08-14,304300
2018-08-17,279300
2018-08-29,295200
2018-09-01,292400
2018-10-01,295700
2018-10-06,297100
2018-10-08,286600
2018-10-21,611600
2018-10-26,662100
2018-11-05,634300
2018-11-27,652500
2018-12-22,707300
2018-12-27,713000
2019-01-16,697800
2019-01-29,709200
2019-01-31,700500
2019-02-03,694100
2019-02-10,749700
2019-02-20,755500
2019-03-05,766900
2019-03-10,667100
2019-03-17,766000
2019-03-25,971800
2019-03-30,989600
2019-04-06,919300
2019-04-16,963200
2019-04-26,958600
2019-04-29,969500
2019-05-09,713100
2019-05-11,915800
2019-06-05,858800
2019-06-10,796900
2019-06-15,785800
2019-06-18,133500
2019-06-23,79100
2019-06-25,791100
2019-06-28,128500
2019-06-30,781700
2019-07-03,141300
2019-07-05,761100
2019-07-10,741400
2019-07-13,127000
2019-07-20,741600
2019-07-23,183500
2019-07-25,731200
2019-07-28,152400
2019-07-30,718700
2019-08-02,462600
2019-08-04,685800
2019-08-07,677400
2019-08-09,674300
2019-08-12,601600
2019-08-14,682800
2019-08-17,663300
2019-08-22,661300
2019-08-27,643700
2019-09-03,644500
2019-09-06,650300
2019-09-13,632000
2019-09-16,638900
2019-09-28,619100
2019-10-01,632300
2019-10-18,619200
2019-10-21,522000
2019-11-02,604800
2019-11-05,606300
2019-11-07,598000
2019-11-20,600000
2019-11-27,561500
2019-11-30,366300
2019-12-05,553300
2019-12-07,520900
2019-12-22,563300
2019-12-25,605900
2020-01-06,599800
2020-01-14,527600
2020-01-19,494400
2020-01-29,442900
2020-02-08,606700
2020-02-10,588500
2020-02-25,585400
2020-02-28,585500
2020-03-01,583200
2020-05-05,581100
2020-05-10,570700
2020-05-15,536600
2020-05-23,427700
2020-06-02,58900
2020-06-04,542500
2020-06-07,12600
2020-06-12,5500
2020-06-14,520200
2020-06-17,77300
2020-06-24,505200
2020-06-29,501700
2020-07-02,7500
2020-07-04,488400
2020-07-07,29900
2020-07-09,467200
2020-07-12,224000
2020-07-14,466400
2020-07-19,429700
2020-07-22,244100
2020-07-24,429800
2020-07-27,372300
2020-07-29,424800
2020-08-01,56700
2020-08-03,405100
2020-08-13,387800
2020-08-16,239000
2020-08-18,393600
2020-08-21,368600
2020-08-23,372200
2020-08-26,367900
2020-08-28,379400
2020-09-07,372900
2020-09-10,351400
2020-09-17,344500
2020-09-20,341100
2020-09-27,334800
2020-09-30,328500
2020-10-02,331100
2020-10-10,326400
2020-10-17,316200
2020-10-20,321800
2020-10-22,313100
2020-11-01,305400
2020-11-09,303500
2020-11-14,308700
2020-11-26,434100
2020-12-01,511100
2020-12-04,424200
2020-12-11,515500
2020-12-16,506200
2020-12-24,306900
2020-12-29,591100
