date,value
2018-01-05,367900
2018-01-06,452600
2018-01-11,484100
2018-01-12,431100
2018-01-17,417400
2018-01-18,504100
2018-01-23,407100
2018-01-24,412700
2018-01-29,347100
2018-01-30,434700
2018-02-04,372500
2018-02-05,434000
2018-02-10,383500
2018-02-11,490500
2018-02-16,297400
2018-02-17,371700
2018-02-22,360700
2018-02-23,519300
2018-02-28,384700
2018-03-01,399100
2018-03-06,407100
2018-03-07,507700
2018-03-12,415800
2018-03-13,373700
2018-03-18,399200
2018-03-19,519700
2018-03-24,359600
2018-03-25,360600
2018-03-30,350500
2018-03-31,522300
2018-04-05,375100
2018-04-06,407500
2018-04-11,326900
2018-04-12,448800
2018-04-17,317100
2018-04-18,392200
2018-04-23,337600
2018-04-24,443200
2018-04-29,404400
2018-04-30,414600
2018-05-05,313300
2018-05-06,321600
2018-05-11,311600
2018-05-12,358500
2018-05-17,304100
2018-05-18,423300
2018-05-23,324000
2018-05-24,364000
2018-05-29,312500
2018-05-30,431600
2018-06-04,303400
2018-06-05,411600
2018-06-11,458400
2018-06-16,314900
2018-06-17,385200
2018-06-22,270700
2018-06-23,426100
2018-06-28,307900
2018-06-29,328800
2018-07-04,277200
2018-07-05,421800
2018-07-10,281700
2018-07-11,361200
2018-07-16,298700
2018-07-17,491400
2018-07-22,274600
2018-07-23,469000
2018-07-28,278700
2018-07-29,384800
2018-08-03,259700
2018-08-04,301100
2018-08-09,293200
2018-08-10,382700
2018-08-15,333900
2018-08-16,357100
2018-08-21,292000
2018-08-22,331900
2018-08-27,325600
2018-08-28,387800
2018-09-02,325400
2018-09-03,393700
2018-09-08,290900
2018-09-09,342700
2018-09-14,268000
2018-09-15,351900
2018-09-20,269900
2018-09-21,329300
2018-09-26,356700
2018-09-27,394500
2018-10-02,337800
2018-10-03,345600
2018-10-08,318300
2018-10-09,321800
2018-10-14,325600
2018-10-15,342600
2018-10-20,511000
2018-10-21,560200
2018-10-26,535100
2018-10-27,594000
2018-11-01,536700
2018-11-02,594000
2018-11-07,533700
2018-11-08,567100
2018-11-13,538200
2018-11-14,584400
2018-11-19,544800
2018-11-20,603100
2018-11-26,589000
2018-12-01,573700
2018-12-02,601400
2018-12-07,532800
2018-12-08,612800
2018-12-13,522400
2018-12-14,619400
2018-12-19,517400
2018-12-20,597000
2018-12-25,561600
2018-12-26,602700
2019-01-01,636400
2019-01-06,569200
2019-01-07,583900
2019-01-12,553100
2019-01-13,670500
2019-01-18,546600
2019-01-19,584700
