date,value
2018-01-01,1008648.7782650172
2018-01-06,1013971.4967065846
2018-01-11,1013971.4967065846
2018-01-14,981342.0578955241
2018-01-16,987479.6446520973
2018-01-19,972166.8420005556
2018-01-21,972166.8420005556
2018-01-24,1005107.0574116191
2018-01-26,976968.2412371192
2018-01-29,1006434.5689511898
2018-01-31,953496.3602038869
2018-02-05,916627.9171787412
2018-02-08,928562.2860075742
2018-02-10,928562.2860075742
2018-02-13,947451.5385311074
2018-02-28,746116.6056188742
2018-03-02,746505.3515023147
2018-03-05,880809.9405501902
2018-03-07,884154.6055678894
2018-03-10,823577.4851753862
2018-03-12,817096.888646208
2018-03-30,714920.6668254586
2018-04-01,775911.3893747389
2018-04-06,748839.6725131563
2018-04-09,753127.4754601184
2018-04-11,784630.5860708706
2018-04-16,762911.9790477599
2018-04-19,775911.3893747389
2018-04-21,763304.4992546185
2018-04-24,724103.5878077947
2018-04-26,683930.4142234782
2018-04-29,699728.9974109303
2018-05-04,674228.9151154497
2018-05-06,653538.0758661825
2018-05-26,642569.0216773123
2018-05-29,642569.0216773123
2018-05-31,627708.5100882704
2018-06-03,617288.6701202076
2018-06-08,590341.5589783627
2018-06-10,578803.7145194092
2018-06-13,301955.8769406221
2018-06-20,603395.3258362472
2018-06-28,591395.3535440926
2018-06-30,556709.6711586759
2018-07-03,556025.2524202986
2018-07-05,545802.8673670836
2018-07-08,546481.7970153718
2018-07-10,556709.6711586759
2018-07-13,544446.1073833895
2018-07-15,544446.1073833895
2018-07-18,438844.2198399222
2018-07-20,535999.5941076322
2018-07-23,471140.2942287832
2018-07-25,528614.1313048197
2018-07-28,472414.5572535443
2018-07-30,511004.8719840684
2018-08-02,487822.0811220587
2018-08-04,510675.11303708656
2018-08-09,515300.1441257105
2018-08-12,516624.9053651527
2018-08-14,602686.5495727677
2018-08-17,608722.6701243599
2018-08-19,608722.6701243599
2018-08-22,612642.3030285847
2018-08-27,579151.89309678
2018-08-29,580196.974147467
2018-09-01,587185.0718135801
2018-09-03,588937.768862763
2018-09-06,588937.768862763
2018-09-11,570128.8108582051
2018-10-01,622668.7893808708
2018-10-06,669400.7424342432
2018-10-08,619079.791089349
2018-10-11,619079.791089349
2018-10-21,2114510.1200447194
2018-10-23,2114510.1200447194
2018-10-26,2605440.5592196924
2018-10-28,2605440.5592196924
2018-10-31,2605440.5592196924
2018-11-05,2608116.8051346946
2018-11-07,2255165.2853069813
2018-11-12,2255165.2853069813
2018-11-15,2283514.5330123147
2018-11-27,2373978.1507004183
2018-12-02,2370766.91781967
2018-12-05,2370766.91781967
2018-12-07,2370766.91781967
2018-12-22,2814989.565894842
2018-12-27,2819833.670215536
2018-12-30,2847583.5932708224
2019-01-16,2669323.2887348393
2019-01-19,2687601.9203247274
2019-01-21,2687601.9203247274
2019-01-24,2687601.9203247274
2019-01-26,2687601.9203247274
2019-01-29,2779118.0475718067
2019-01-31,2865684.2728994894
2019-02-03,2697101.04118417
2019-02-08,2697101.04118417
2019-02-10,2746183.276871329
2019-02-13,3049421.5510564772
2019-02-15,3030110.7658858
2019-02-20,3094686.9880672554
2019-02-23,3104785.275853637
2019-02-25,3106951.052502685
2019-02-28,3106951.052502685
2019-03-02,3107673.1237383364
2019-03-05,3202161.798311792
2019-03-10,3270510.1571332626
2019-03-12,3256495.5947088823
2019-03-17,3202161.798311792
2019-03-25,4792852.6114323065
2019-03-30,5101195.266854676
2019-04-06,4949073.531879122
2019-04-09,4949073.531879122
2019-04-11,4604496.395448732
2019-04-14,4533645.774767562
2019-04-16,4687038.273952235
2019-04-19,4649987.6770864455
2019-04-26,4784140.738028728
2019-04-29,4837390.144400188
2019-05-01,4836515.140901494
2019-05-06,4836515.140901494
2019-05-09,4807678.584227923
2019-05-11,4645687.754211409
2019-05-14,4649987.6770864455
2019-05-16,4645687.754211409
2019-05-19,4645687.754211409
2019-05-21,4328130.494534534
2019-06-05,3852357.038734679
2019-06-10,3855528.3429073747
2019-06-13,3701469.00717511
2019-06-15,3614661.8720172234
2019-06-18,3502087.223625832
2019-06-23,56950.00071120611
2019-06-25,3388062.6014223862
2019-06-28,199946.58420006666
2019-06-30,3332782.0631643976
2019-07-03,304058.76779653714
2019-07-05,3234420.5519250836
2019-07-08,3267557.5519232308
2019-07-10,3219740.081402305
2019-07-13,3101177.105098814
2019-07-15,2994490.7696322585
2019-07-18,2949870.1521478663
2019-07-20,2968957.6637140578
2019-07-23,244232.22979355927
2019-07-25,2947752.6170529965
2019-07-28,2981712.3521914957
2019-07-30,2905540.6265126555
2019-08-02,1356805.9031294992
2019-08-04,2803930.9070461104
2019-08-07,2605440.5592196924
2019-08-09,2675410.148942818
2019-08-12,2580741.8526274995
2019-08-14,2598755.1633654134
2019-08-17,2620174.668554163
2019-08-19,2595415.2618949884
2019-08-22,2578743.7317587277
2019-08-24,2508575.2343043936
2019-08-27,2438598.584713017
2019-08-29,2392640.497918561
2019-09-03,2339396.7536838157
2019-09-06,2352178.9914998217
2019-09-08,2366915.929373551
2019-09-11,2354098.9346126765
2019-09-13,2310112.4290401656
2019-09-16,2286673.9363204762
2019-09-21,2293631.297419407
2019-09-23,2266486.5346709997
2019-09-26,2336843.9350363864
2019-09-28,2321552.440189163
2019-10-01,2220101.1312711868
2019-10-06,2244495.598972593
2019-10-08,2252024.8621569644
2019-10-11,2245749.715993422
2019-10-18,2171041.762855844
2019-10-21,2192097.5844963747
2019-10-26,2195201.4676488508
2019-10-28,2195201.4676488508
2019-10-31,1611230.7326356096
2019-11-02,2088917.69930746
2019-11-05,2146383.236520429
2019-11-07,2081023.6651180123
2019-11-15,2152536.40332601
2019-11-17,2032130.3633925002
2019-11-20,2044155.854668173
2019-11-27,2058627.0840175273
2019-11-30,1830135.4621910828
2019-12-02,1846809.1637872192
2019-12-05,1615576.8844826159
2019-12-07,1701896.2665049336
2019-12-10,1596059.2435958334
2019-12-12,1787318.6173671864
2019-12-22,1894310.259950141
2019-12-25,2095607.3984725317
2019-12-27,2095607.3984725317
2019-12-30,2095607.3984725317
2020-01-06,2042951.919626227
2020-01-09,2042951.919626227
2020-01-11,2042951.919626227
2020-01-14,2120011.8043589927
2020-01-16,2120011.8043589927
2020-01-19,1860079.787920931
2020-01-26,1451935.6540410877
2020-01-29,1508452.263090522
2020-01-31,1195438.3167917603
2020-02-05,1195438.3167917603
2020-02-08,2094998.860336423
2020-02-10,2101696.999035183
2020-02-15,2101696.999035183
2020-02-18,2118177.220041406
2020-02-20,1975430.4854253777
2020-02-25,1962990.9137289182
2020-02-28,1995643.0271480123
2020-03-01,1949995.5852660665
2020-03-04,1949995.5852660665
2020-03-11,1944101.0083170545
2020-03-26,1905975.264341358
2020-05-05,1931747.6214896606
2020-05-10,1979584.5881836887
2020-05-15,1841627.5421686883
2020-05-18,1887907.7622093305
2020-05-20,1884419.4574382126
2020-05-23,1882676.3553520795
2020-05-25,1851420.354430429
2020-05-28,1400442.8017702342
2020-05-30,1386678.2854542416
2020-06-02,828452.5112260091
2020-06-04,1277221.843516221
2020-06-07,254375.51377304763
2020-06-09,34330.62527224462
2020-06-12,36819.65801504643
2020-06-14,1615576.8844826159
2020-06-17,52450.02994363939
2020-06-19,568400.6574585893
2020-06-24,1510563.4462778894
2020-06-27,1510563.4462778894
2020-06-29,1452454.6553281613
2020-07-02,1455050.8694735072
2020-07-04,1475370.3721605048
2020-07-07,1400442.8017702342
2020-07-09,1309300.966262892
2020-07-12,353037.32085249067
2020-07-14,1310789.8758106257
2020-07-17,1327715.493707814
2020-07-19,1327216.3362582186
2020-07-22,1272807.364174437
2020-07-24,1217466.081543382
2020-07-27,1163667.2437124508
2020-07-29,1118793.5096965206
2020-08-01,912381.892045279
2020-08-03,1078789.9896629842
2020-08-06,1083812.9669536208
2020-08-08,1046162.8133297106
2020-08-11,780662.071554017
2020-08-13,1004664.7226026092
2020-08-16,904338.0333824295
2020-08-18,944866.0108111224
2020-08-21,887504.7721762495
2020-08-23,910685.878696166
2020-08-26,874553.531722746
2020-08-28,914079.2751073946
2020-08-31,917052.9903292448
2020-09-02,876636.8500779534
2020-09-07,910685.878696166
2020-09-10,855900.5947583596
2020-09-12,855900.5947583596
2020-09-15,884154.6055678894
2020-09-17,802195.7149759607
2020-09-20,770384.8442858958
2020-09-25,776702.2954657975
2020-09-27,750397.6438977922
2020-09-30,724487.3132906657
2020-10-02,717975.9869137182
2020-10-10,704271.6226998529
2020-10-12,729483.7729424209
2020-10-15,697085.0274399177
2020-10-17,697085.0274399177
2020-10-20,670884.7295771668
2020-10-22,658684.5309725656
2020-10-25,662740.4625759773
2020-10-27,662740.4625759773
2020-10-30,664218.0259732124
2020-11-01,656844.499687425
2020-11-06,619796.8701982122
2020-11-09,632765.8574670176
2020-11-11,632765.8574670176
2020-11-14,680938.9300134716
2020-11-19,680938.9300134716
2020-11-26,1153785.6889841154
2020-12-01,1542917.657348683
2020-12-04,1282626.3264075778
2020-12-06,1282626.3264075778
2020-12-09,1554124.8113044023
2020-12-11,1528560.2266866884
2020-12-14,1568049.092026228
2020-12-16,1570733.017840502
2020-12-21,1570733.017840502
2020-12-24,1967725.7756868505
2020-12-29,2075566.166564429
