date,value
2018-01-01,4737071.168159504
2018-01-06,4869642.756040196
2018-01-16,4687483.800523772
2018-01-21,4515023.503625932
2018-01-26,3870994.3359086923
2018-01-31,3213822.649082322
2018-03-02,3989143.4114497113
2018-03-07,3987245.638186281
2018-03-12,4069065.1565843355
2018-04-01,4525813.313354722
2018-04-06,4616321.538315492
2018-04-11,4245586.805495622
2018-04-16,4454336.062005585
2018-04-21,4490526.599680214
2018-05-26,4763905.706194764
2018-05-31,4969955.406066577
2018-06-20,5192533.679257145
2018-06-30,4794765.1624969095
2018-07-05,4717219.641508762
2018-07-10,5035448.031826839
2018-07-20,4772859.46612121
2018-07-25,4859641.339534466
2018-07-30,5038476.243879457
2018-08-04,4884655.084182467
2018-08-14,4976997.539792575
2018-08-29,4875646.218766676
2018-10-08,4858641.4974339325
2018-11-27,4917725.224921237
2018-12-27,5050593.911237447
2019-02-10,3751925.2116870964
2019-02-20,3942716.934287937
2019-03-02,4297766.875309999
2019-03-12,4677582.928521933
2019-03-17,4853643.10430763
2019-04-06,4541519.748127865
2019-04-16,4991089.724585768
2019-05-11,5331409.2781715095
2019-06-05,5326286.403291618
2019-06-10,4899679.640641413
2019-06-15,5015272.280631034
2019-06-25,5261850.145256071
2019-06-30,5385791.800474815
2019-07-05,5240417.620543054
2019-07-15,4950854.363274347
2019-07-20,5003177.133426037
2019-07-25,4863641.252678395
2019-07-30,4737071.168159504
2019-08-04,4513062.452978747
2019-08-09,4438710.14757261
2019-08-14,4486610.372120721
2019-08-29,4464109.638511338
2019-09-13,4422123.560829504
2019-09-28,4629148.936958262
2019-10-18,4872644.2425538385
2019-11-02,4911708.078332478
2019-11-07,4863641.252678395
2019-11-27,4776840.343732986
2019-12-07,4867642.0371563025
2019-12-22,4878648.684536868
2019-12-27,5117378.560361602
2020-01-11,4756944.750030344
2020-02-10,3880411.5768735944
2020-02-25,4194537.638765335
2020-03-01,4277454.57252615
2020-04-30,5530143.214708412
2020-05-05,5527039.390385631
2020-05-10,4568056.993300486
2020-05-25,5312973.035120589
2020-06-04,5141721.387447073
2020-06-09,5122447.4593114965
2020-06-14,5204748.296801213
2020-06-19,4775845.041934169
2020-06-24,5191516.137596559
2020-06-29,5166094.772875527
2020-07-04,5094078.755895697
2020-07-14,5181343.626491098
2020-07-29,4940809.011346605
2020-08-03,4872644.2425538385
2020-08-13,4737071.168159504
2020-08-18,4717219.641508762
2020-08-23,4683522.7864753045
2020-08-28,4781817.676443592
2020-09-17,4974985.23215126
2020-10-02,4939804.77338011
2020-10-17,4860641.23611445
2020-11-01,4797754.360121412
2020-11-26,4869642.756040196
