date,value
2018-01-16,7063900
2018-01-19,7030700
2018-01-21,6908700
2018-01-24,6941000
2018-01-26,6939300
2018-01-29,6879700
2018-01-31,6912100
2018-02-05,7076100
2018-02-08,7103000
2018-02-10,7109700
2018-02-13,7110800
2018-02-20,7070400
2018-02-23,7070700
2018-02-28,7072600
2018-03-02,7072600
2018-03-05,6990800
2018-03-07,6979600
2018-03-10,7048500
2018-03-12,7050600
2018-03-20,7020500
2018-03-22,7154200
2018-03-27,7040400
2018-03-30,7082800
2018-04-01,7126300
2018-04-04,7082300
2018-04-06,7083200
2018-04-09,7057500
2018-04-11,7069500
2018-04-16,7132400
2018-04-21,7202500
2018-04-24,7161200
2018-04-26,7165500
2018-04-29,7071600
2018-05-01,7129500
2018-05-04,7028200
2018-05-06,6979900
2018-05-09,6974600
2018-05-11,7001500
2018-05-14,7079200
2018-05-21,7245000
2018-05-24,7267600
2018-05-26,7452900
2018-05-29,7313400
2018-05-31,7406700
2018-06-03,7368100
2018-06-05,7285200
2018-06-08,3978500
2018-06-10,7222000
2018-06-13,6889900
2018-06-15,7196500
2018-06-18,6088800
2018-06-20,7328900
2018-06-25,7801700
2018-06-28,5433300
2018-06-30,7521900
2018-07-03,6514700
2018-07-05,7159300
2018-07-08,7063400
2018-07-10,7111500
2018-07-13,7075100
2018-07-15,7095300
2018-07-18,7054900
2018-07-20,7064600
2018-07-23,6748800
2018-07-25,7061800
2018-07-28,6877700
2018-07-30,7023100
2018-08-02,7001100
2018-08-04,7049500
2018-08-09,7029500
2018-08-12,7454800
2018-08-14,7582100
2018-08-17,7583200
2018-08-19,7553000
2018-08-22,7537200
2018-08-24,7579800
2018-08-27,7529100
2018-08-29,7551300
2018-09-01,7566300
2018-09-03,7582200
2018-09-06,7525000
2018-09-08,7594500
2018-09-11,7515600
2018-09-13,7527000
2018-09-16,7531100
2018-09-21,7901200
2018-09-23,7855400
2018-10-01,7787900
2018-10-03,7837700
2018-10-06,7824300
2018-10-08,7764700
2018-10-11,7739300
2018-10-18,9530500
2018-10-21,11155100
2018-10-23,10860500
2018-10-26,10645000
2018-10-31,10941500
2018-11-02,10986800
2018-11-05,10840100
2018-11-07,11144700
2018-11-10,10971100
2018-11-15,10926300
2018-11-20,10762700
2018-11-22,10616500
2018-11-27,10741100
2018-11-30,10741100
2018-12-02,10656200
2018-12-05,10464200
2018-12-07,10463200
2018-12-10,10429100
2018-12-12,10472400
2018-12-15,10544900
2018-12-17,10561300
2018-12-20,10540200
2018-12-22,10516000
2018-12-27,10445500
2018-12-30,10518400
2019-01-06,10482700
2019-01-09,10586000
2019-01-14,10529500
2019-01-16,10529500
2019-01-19,10619000
2019-01-21,10905600
2019-01-24,10905600
2019-01-26,10658700
2019-01-29,10765600
2019-02-03,10918900
2019-02-08,10702600
2019-02-10,10637700
2019-02-13,10589500
2019-02-15,10623500
2019-02-20,10584700
2019-02-23,10558500
2019-02-25,10553100
2019-02-28,10490500
2019-03-02,10461000
2019-03-05,10353400
2019-03-07,10371000
2019-03-10,10283900
2019-03-12,10265800
2019-03-15,10272800
2019-03-17,10303400
2019-03-25,10365900
2019-03-30,10474300
2019-04-06,10495800
2019-04-14,10539800
2019-04-16,10688100
2019-04-24,10549000
2019-04-26,10575500
2019-04-29,10621200
2019-05-01,10658600
2019-05-06,10532100
2019-05-09,10614000
2019-05-11,10529600
2019-05-16,10519200
2019-05-19,10478900
2019-05-31,10137200
2019-06-03,10240400
2019-06-05,10249400
2019-06-10,10347200
2019-06-13,9728500
2019-06-15,10256900
2019-06-18,7173200
2019-06-23,8411900
2019-06-25,10247700
2019-06-28,8923100
2019-06-30,10024000
