date,value
2018-01-05,6124500
2018-01-06,6219200
2018-01-11,6078400
2018-01-12,3323000
2018-01-17,5118800
2018-01-18,5956300
2018-01-23,5838400
2018-01-24,6269100
2018-01-29,6066900
2018-01-30,6203200
2018-02-04,5982800
2018-02-05,6211900
2018-02-10,6217500
2018-02-11,5994700
2018-02-16,5914000
2018-02-17,6258000
2018-02-22,6411200
2018-02-23,6456100
2018-02-28,2299800
2018-03-01,6195800
2018-03-06,6238100
2018-03-07,6251100
2018-03-12,6201100
2018-03-13,5895900
2018-03-18,5296900
2018-03-19,6275800
2018-03-24,3696500
2018-03-25,5050200
2018-03-30,6190700
2018-03-31,6119600
2018-04-05,5711500
2018-04-06,6083800
2018-04-11,5844500
2018-04-12,6010400
2018-04-17,6365400
2018-04-18,6421400
2018-04-23,5402800
2018-04-24,6299300
2018-04-29,5690000
2018-04-30,6231100
2018-05-05,6327500
2018-05-06,6394700
2018-05-11,5994000
2018-05-12,6346000
2018-05-17,5332900
2018-05-18,6405000
2018-05-23,6359700
2018-05-24,6396500
2018-05-29,4890900
2018-05-30,6269100
2018-06-04,3513300
2018-06-05,6309900
2018-06-11,6074800
2018-06-16,5767100
2018-06-17,6062300
2018-06-22,6074900
2018-06-23,6210600
2018-06-28,5014100
2018-06-29,6188000
2018-07-04,5183000
2018-07-05,5947100
2018-07-10,2330000
2018-07-11,5896400
2018-07-17,5487000
2018-07-22,978900
2018-07-23,5287000
2018-07-29,6067900
2018-08-03,6212400
2018-08-04,6192700
2018-08-09,5344800
2018-08-10,6496400
2018-08-15,6001100
2018-08-16,6583300
2018-08-21,6190300
2018-08-22,6384200
2018-08-27,1724900
2018-08-28,6335900
2018-09-02,6060600
2018-09-03,6429900
2018-09-08,5008000
2018-09-09,6458000
2018-09-14,6149300
2018-09-15,6332000
2018-09-20,6699600
2018-09-21,6800300
2018-09-26,5478600
2018-09-27,6577200
2018-10-02,6897100
2018-10-03,6751500
2018-10-08,6512700
2018-10-09,6561500
2018-10-14,6088800
2018-10-15,6538800
2018-10-20,9299600
2018-10-21,9488000
2018-10-26,9244300
2018-10-27,9441100
2018-11-01,9253000
2018-11-02,9593300
2018-11-07,9656900
2018-11-08,9751400
2018-11-13,9752800
2018-11-14,9713900
2018-11-19,9550900
2018-11-20,9375000
2018-12-01,9369400
2018-12-02,9346100
2018-12-07,9460200
2018-12-08,9592000
2018-12-13,7699800
2018-12-14,9403200
2018-12-19,9508600
2018-12-20,9633900
2018-12-25,9476100
2018-12-26,9409700
2019-01-01,9159900
2019-01-06,9406500
2019-01-07,9288900
2019-01-12,9271600
2019-01-13,9345800
2019-01-18,9287100
2019-01-19,9229500
2019-01-24,6534500
2019-01-25,3501000
2019-01-30,8939700
2019-01-31,9269100
2019-02-05,7894600
2019-02-06,8340900
2019-02-11,9204700
2019-02-12,6741700
2019-02-17,9134800
2019-02-18,9139900
2019-02-23,7427800
2019-02-24,7627600
2019-03-01,8944000
2019-03-02,8925000
2019-03-07,8920700
2019-03-08,8887700
2019-03-13,8847100
2019-03-14,8802500
2019-03-19,8320900
2019-03-20,8769600
2019-03-25,9210200
2019-03-26,9402200
2019-03-31,9159000
2019-04-01,9489100
2019-04-06,9552500
2019-04-07,9667400
2019-04-12,8993100
2019-04-13,9413600
2019-04-18,9237900
2019-04-19,9316300
2019-04-24,8819100
2019-04-25,9398400
2019-04-30,9501700
2019-05-01,9437300
2019-05-06,8891200
2019-05-07,9288000
2019-05-12,8875900
2019-05-13,6829000
2019-05-18,8064800
2019-05-19,9127400
2019-05-24,9185600
2019-05-25,9377000
2019-05-30,9075100
2019-05-31,8756100
2019-06-05,8896600
2019-06-06,9041000
2019-06-11,7614400
2019-06-12,8971600
2019-06-17,7951000
2019-06-18,8820800
2019-06-23,8710300
2019-06-24,8765100
2019-06-29,7552200
2019-06-30,8664200
2019-07-05,8110900
2019-07-06,8508400
2019-07-11,8492400
2019-07-12,8517200
2019-07-17,7737100
2019-07-18,8295700
2019-07-23,7345900
2019-07-24,8447700
2019-07-29,7785800
2019-07-30,8359400
2019-08-04,7440600
2019-08-05,8373300
2019-08-10,4966200
2019-08-11,8335800
2019-08-16,3975300
2019-08-17,8251800
2019-08-22,7441500
