date,value
2018-01-05,46949710.61577633
2018-01-06,47924658.25081482
2018-01-11,46476949.669670135
2018-01-12,20698953.63015294
2018-01-17,36921940.37811126
2018-01-18,45230689.79586654
2018-01-23,44035499.79403813
2018-01-24,48440420.563245006
2018-01-29,46359205.023079045
2018-01-30,47759580.2411903
2018-02-04,45500441.73870975
2018-02-05,47849323.50275547
2018-02-10,47907111.859630026
2018-02-11,45621707.76893964
2018-02-16,44800948.68446279
2018-02-17,48325570.92500865
2018-02-22,49916775.52190365
2018-02-23,50385592.398124516
2018-02-28,12642890.635528784
2018-03-01,47683280.51079327
2018-03-06,48119842.44937005
2018-03-07,48254212.74642726
2018-03-12,47737924.473166935
2018-03-13,44617382.288906395
2018-03-18,38652764.08570368
2018-03-19,48509777.643767744
2018-03-24,23873329.318198074
2018-03-25,36260663.9634273
2018-03-30,47630713.56377077
2018-03-31,46899402.98032067
2018-04-05,42758201.695599645
2018-04-06,46532264.5666816
2018-04-11,44097138.065297194
2018-04-12,45781822.459294386
2018-04-17,49439708.43777728
2018-04-18,50023179.80973717
2018-04-23,39691378.06189748
2018-04-24,48753243.63545563
2018-04-29,42542742.7967997
2018-04-30,48047528.56457871
2018-05-05,49045810.01815539
2018-05-06,49744772.604654826
2018-05-11,45614572.209098965
2018-05-12,49237982.57013483
2018-05-17,39005050.41413129
2018-05-18,49852126.4766389
2018-05-23,49380416.78385634
2018-05-24,49763529.245590664
2018-05-29,34736858.449512996
2018-05-30,48440420.563245006
2018-06-04,22301981.304919902
2018-06-05,48863163.35344634
2018-06-11,46440082.33756701
2018-06-16,43316664.25646691
2018-06-17,46312128.36705609
2018-06-22,46441106.329998516
2018-06-23,47835910.87699409
2018-06-28,35913894.520263836
2018-06-29,47602889.95391064
2018-07-04,37543534.57175785
2018-07-05,45137135.206476495
2018-07-10,12865765.93706611
2018-07-11,44622450.61757168
2018-07-17,40522122.26445997
2018-07-22,4026854.006508467
2018-07-23,38556027.52160892
2018-07-29,46369440.68256914
2018-08-03,47854482.4587142
2018-08-04,47651326.301333405
2018-08-09,39121678.53592077
2018-08-10,50807322.86463415
2018-08-15,45686960.28601727
2018-08-16,51719732.661905564
2018-08-21,47626591.287505984
2018-08-22,49635394.59674252
2018-08-27,8600247.6864587
2018-08-28,49133043.13727675
2018-09-02,46294733.54058245
2018-09-03,50111893.89356303
2018-09-08,35855382.624523744
2018-09-09,50405455.44877904
2018-09-14,47204538.31258593
2018-09-15,49092537.160498664
2018-09-20,52947234.56686799
2018-09-21,54015948.26465926
2018-09-26,40439049.59984907
2018-09-27,51655551.33775836
2018-10-02,55048349.752320245
2018-10-03,53497365.43687444
2018-10-08,50978151.43760123
2018-10-09,51490456.28813353
2018-10-14,46583496.927583575
2018-10-15,51251989.05910305
2018-10-20,82149535.0245927
2018-10-21,84386403.96082005
2018-10-26,81495860.80120833
2018-10-27,83828139.15720193
2018-11-01,81598611.47186607
2018-11-02,85643232.61410353
2018-11-07,86404617.76378751
2018-11-08,87539066.26745461
2018-11-13,87555901.07257906
2018-11-14,87088439.5605534
2018-11-19,85136592.96754885
2018-11-20,83042928.81704964
2018-12-01,82976491.83382012
2018-12-02,82700211.29844394
2018-12-07,84055378.83891922
2018-12-08,85627687.53542224
2018-12-13,63795273.91085346
2018-12-14,83377691.130682
2018-12-19,84631908.48778966
2018-12-20,86129076.97758375
2018-12-25,84244665.7941867
