date,value
2018-04-09,27661300
2018-04-11,27782600
2018-04-16,27377500
2018-05-24,25808900
2018-05-26,25982000
2018-05-29,25863100
2018-05-31,26021500
2018-06-03,25821200
2018-06-05,25656400
2018-06-08,24651400
2018-06-10,25323900
2018-06-13,22842900
2018-06-15,22858800
2018-06-18,21624000
2018-06-23,24033700
2018-06-25,24033700
2018-06-28,24915200
2018-06-30,24915200
2018-07-03,24914600
2018-07-05,22129800
2018-07-08,24990000
2018-07-13,24218100
2018-07-15,24220000
2018-07-18,23795900
2018-07-20,23997000
2018-07-23,23454200
2018-07-25,23569500
2018-07-28,23098900
2018-07-30,23359900
2018-08-02,22877400
2018-08-04,23121600
2018-08-09,22645500
2018-08-12,22753800
2018-09-01,21862200
2018-09-03,22011700
2018-09-06,21645600
2018-09-11,21459700
2018-09-16,22001500
2018-09-21,21407500
2019-03-25,48915000
2019-03-30,49418100
2019-04-06,45936100
2019-04-24,46500100
2019-04-26,45019500
2019-04-29,46796300
2019-05-01,46796300
2019-06-03,46095400
2019-06-05,45970000
2019-06-10,45970000
2019-06-13,46508400
2019-06-15,44419300
2019-06-18,45284000
2019-06-20,45284000
2019-06-28,45329500
2019-06-30,45329500
2019-07-03,44882600
2019-07-05,45193900
2019-07-10,44474700
2019-07-13,44620300
2019-07-15,42651400
2019-07-18,42965200
2019-07-20,42965200
2019-07-23,42292800
2019-07-25,42351700
2019-07-28,42042400
2019-07-30,42448800
2019-08-02,42443300
2019-08-04,41709400
2019-08-07,41800900
2019-08-09,40656700
2019-08-12,40740200
2019-08-14,40742700
2019-08-17,40297800
2019-08-19,40529800
2019-08-22,39993000
2019-08-24,40603600
2019-08-27,39774000
2019-08-29,40179700
2019-09-03,39294200
2019-09-06,39869400
2019-09-16,39974000
2019-09-18,39364900
2019-09-21,39617500
2019-09-23,39617500
2019-09-26,39606700
2019-10-01,39079500
2020-05-08,39234100
2020-05-10,38952700
2020-05-15,38952700
2020-05-18,38952700
2020-05-23,38858800
2020-05-25,38858800
2020-05-28,39278500
2020-06-02,38631700
2020-06-04,39042000
2020-06-07,38002400
2020-06-09,36980500
2020-06-12,37021900
2020-06-14,36592700
2020-06-17,37319600
2020-06-19,36933600
2020-07-02,36580500
2020-07-04,35774000
2020-07-07,36200300
2020-07-09,36201300
2020-07-12,35441900
2020-07-14,35775700
2020-07-17,35769000
2020-07-19,35066700
2020-07-22,35190600
2020-07-24,34107600
2020-07-27,34384300
2020-07-29,34393100
2020-08-01,33711500
2020-08-03,34029600
2020-08-06,33489600
2020-08-08,33419000
2020-08-11,32974600
2020-08-16,32114900
2020-08-18,32335800
2020-08-21,31795900
2020-08-23,31875900
2020-08-26,31474900
2020-08-28,31647400
2020-08-31,31206600
2020-09-02,31553700
