date,value
2018-04-09,250154912.79898757
2018-05-24,229529472.73389608
2018-06-03,218197852.96902892
2018-06-23,211516181.9200198
2018-06-28,187587462.76260778
2018-07-13,208954482.50650322
2018-07-18,203599226.61385506
2018-07-23,190903393.4619656
2018-07-28,196299931.78376442
2018-08-02,195913192.55595994
2018-09-01,183114840.33902144
2018-09-06,185592493.1137991
2018-09-11,181767037.79186445
2019-03-25,528255133.83090246
2019-03-30,487188737.70121384
2019-04-24,474704024.0954983
2019-06-03,487651864.76650107
2019-06-13,466568374.03099346
2019-06-18,465764926.3970393
2019-06-28,464142745.1933682
2019-07-03,467317996.3710859
2019-07-13,442789442.09763217
2019-07-23,433752484.49662364
2019-07-28,430211317.0949439
2019-08-07,416262337.0137027
2019-08-12,407678499.3673311
2019-08-17,410215008.5434949
2019-08-22,406189237.7264896
2019-08-27,398417783.6003695
2019-09-16,399341318.55280626
2020-05-08,393963609.13548845
2020-05-23,392740839.9746407
2020-05-28,374135175.8723528
2020-06-02,355147310.032004
2020-06-12,311138043.0563446
2020-07-02,352995207.878086
2020-07-07,340796321.80771416
2020-07-12,344052181.164275
2020-07-22,331975453.11671704
2020-07-27,325583991.0680483
2020-08-01,321551364.75504804
2020-08-16,302921726.59615856
2020-08-21,299327536.64151376
2020-08-26,293884773.27668005
