date,value
2018-01-05,172545939.17378247
2018-01-06,172545939.17378247
2018-01-10,172545939.17378247
2018-01-11,188008005.1280568
2018-01-16,195927678.27023607
2018-01-17,186724962.63676542
2018-01-18,186724962.63676542
2018-01-22,199771445.07911015
2018-01-23,212634505.06550342
2018-01-24,198544586.35006997
2018-01-28,214555503.84581977
2018-01-29,197902195.81689936
2018-01-30,197902195.81689936
2018-02-03,192117340.40796283
2018-02-04,203980310.24378663
2018-02-05,194742871.44819185
2018-02-09,207802136.7192541
2018-02-10,195953307.42827293
2018-02-11,195953307.42827293
2018-02-15,196564171.53124774
2018-02-16,199778159.98046204
2018-02-17,195237087.9388124
2018-02-21,211090069.56152344
2018-02-22,196316653.46223232
2018-02-23,196316653.46223232
2018-02-27,199443595.48709074
2018-02-28,210086746.24517196
2018-03-01,202126980.28147012
2018-03-05,213705289.3600821
2018-03-06,205534392.37674168
2018-03-07,205534392.37674168
2018-03-11,209480289.0055712
2018-03-12,215365499.3699236
2018-03-17,214164402.37259385
2018-03-18,202382851.4350508
2018-03-19,202382851.4350508
2018-03-23,200416305.59794605
2018-03-24,211111597.22505742
2018-03-29,210993767.60371146
2018-03-30,206438116.57180187
2018-03-31,206438116.57180187
2018-04-04,212285029.27092052
2018-04-05,222156356.9885626
2018-04-10,221977590.69860062
2018-04-11,213321349.30487022
2018-04-12,213321349.30487022
2018-04-16,212634505.06550342
2018-04-17,218346251.83813766
2018-04-18,218789299.47051087
2018-04-22,216226296.99664095
2018-04-23,219042886.07608995
2018-04-24,219042886.07608995
2018-04-28,224286830.16260415
2018-04-29,215005922.74906912
2018-05-04,179066121.42949843
2018-05-05,217144870.3065866
2018-05-06,217144870.3065866
2018-05-10,213789367.83522436
2018-05-11,216196680.10180828
2018-05-16,219261114.48752552
2018-05-17,200753474.75171036
2018-05-18,200753474.75171036
2018-05-22,157375132.00202343
2018-05-23,216502005.4446049
2018-05-28,215095804.30822363
2018-05-29,201647977.8006667
2018-05-30,201647977.8006667
2018-06-03,175300759.75228682
2018-06-04,198919063.11958003
2018-06-09,200622400.59032798
2018-06-10,187778391.5957356
2018-06-11,187778391.5957356
2018-06-15,189034303.67579144
2018-06-16,202584906.0874284
2018-06-22,181280666.15984407
2018-06-23,181280666.15984407
2018-06-27,181280666.15984407
2018-06-28,186301758.7953039
2018-06-29,195832968.32100096
2018-07-03,170651804.56849468
2018-07-04,189454462.5451749
2018-07-05,189454462.5451749
2018-07-09,182853660.07340646
2018-07-10,168248460.9757129
2018-07-15,130508570.30615906
2018-07-16,88255699.06915246
2018-07-17,88255699.06915246
2018-07-21,182678123.5700163
2018-07-22,91383678.08194947
2018-07-27,140944129.2442591
2018-07-28,47243554.41323986
2018-07-29,47243554.41323986
2018-08-02,184522034.19590458
2018-08-03,40954919.83218732
2018-08-08,141836047.38286495
2018-08-09,19569021.373717673
2018-08-10,146795790.264461
2018-08-14,180656697.67241508
2018-08-15,99904003.25872004
2018-08-20,81635821.24647704
2018-08-21,74253718.29569134
2018-08-22,74253718.29569134
2018-08-26,185392158.15744257
2018-08-27,171730812.73319125
2018-09-01,134699347.40324837
2018-09-02,85453944.38885248
2018-09-03,149971789.52640083
2018-09-07,173153785.01249576
2018-09-08,165095238.0092687
2018-09-13,159760073.6406131
2018-09-14,141558288.79970405
2018-09-15,168689077.65081042
2018-09-19,175915110.32430014
2018-09-20,172349926.95137265
2018-09-25,169121325.88741204
2018-09-26,169276607.53140855
2018-09-27,169276607.53140855
2018-10-01,174423020.14228642
2018-10-02,181886484.36734033
2018-10-07,186941055.65990084
2018-10-08,173356506.44493306
2018-10-09,180605269.11491135
2018-10-13,182971071.13986486
2018-10-14,183813192.89084768
2018-10-19,180935782.00349936
2018-10-20,182199978.02874598
2018-10-21,194063225.53575802
2018-10-25,202339078.86993933
2018-10-26,206918509.83825737
2018-10-31,201899226.1036519
2018-11-01,202502956.2664783
2018-11-02,209429391.5946713
2018-11-06,212437058.13872272
2018-11-07,212777509.47228375
2018-11-12,211806410.8640319
2018-11-13,212735513.88533154
2018-11-14,218986908.6094673
2018-11-18,223635848.27385253
2018-11-19,224261563.71854043
2018-11-24,222711195.53620973
2018-11-25,228397594.33204028
2018-11-26,228397594.33204028
2018-11-30,235158787.23786747
2018-12-01,241138174.11418906
2018-12-06,236915241.84542808
2018-12-07,226831649.95968
2018-12-08,226831649.95968
2018-12-12,222718075.64143446
2018-12-13,234764220.1648873
2018-12-18,234498551.16261017
2018-12-19,227941044.03161344
2018-12-20,227941044.03161344
2018-12-24,231360885.32870072
2018-12-25,246497348.3141918
2018-12-30,247899967.57700747
2019-01-06,252811883.57204732
2019-01-11,252811883.57204732
2019-01-12,241334288.9436184
2019-01-13,241334288.9436184
2019-01-17,240478882.959466
2019-01-18,255624106.78043237
2019-01-23,258253604.66176146
2019-01-24,252509934.04421368
2019-01-25,252509934.04421368
2019-01-29,257182610.28757182
2019-01-30,349364160.4110256
2019-01-31,339867169.36471003
2019-02-04,368806190.1853745
2019-02-05,352096822.0774576
2019-02-06,352096822.0774576
2019-02-10,386124870.6522567
2019-02-11,440315953.96501535
2019-02-12,428004540.799027
2019-02-16,423862103.8999378
2019-02-17,427029429.83235663
2019-02-18,427029429.83235663
2019-02-23,413431730.9651713
2019-02-28,415376320.2093451
2019-03-01,401009331.731719
2019-03-02,401009331.731719
2019-03-06,404271399.1241481
2019-03-07,420871918.91255283
2019-03-12,416962746.9151791
2019-03-13,401345475.34760493
2019-03-14,401345475.34760493
2019-03-18,399162321.82134616
2019-03-19,405426054.08157015
2019-03-24,416626359.0182967
2019-03-25,406662782.59916705
2019-03-26,406662782.59916705
2019-03-30,429929685.8313891
2019-03-31,441635831.188855
2019-04-05,420544080.8519883
2019-04-06,407303116.84555554
2019-04-07,407303116.84555554
2019-04-11,411289255.4862891
2019-04-12,436740175.7815271
2019-04-17,438844826.2152267
2019-04-18,416082990.0227703
2019-04-19,416082990.0227703
2019-04-23,411011758.23174644
2019-04-24,422451099.4633666
2019-04-25,423578759.71631753
2019-04-29,417915515.47044986
2019-04-30,421539668.90241945
2019-05-01,421539668.90241945
2019-05-05,424141517.43978566
2019-05-06,413643744.84770447
2019-05-11,427975346.5857712
2019-05-12,401328470.46193856
2019-05-13,401328470.46193856
2019-05-17,386881079.4403028
2019-05-18,403206519.9910365
2019-05-23,416924487.97763395
2019-05-24,395112926.13422084
2019-05-25,412208846.355314
2019-05-29,420353749.485317
2019-05-30,422199717.6240334
2019-06-04,419562230.6921543
2019-06-05,403413421.4998901
2019-06-06,415244508.5616277
2019-06-10,409494813.2095267
2019-06-11,390765894.6871979
2019-06-16,406493551.5681546
2019-06-17,388804868.0433442
2019-06-18,384403559.3026145
2019-06-23,396675214.33484274
2019-06-24,387984206.04997337
2019-06-28,387984206.04997337
2019-06-29,394267154.1235278
2019-06-30,394267154.1235278
2019-07-04,390083378.7563048
2019-07-05,389585635.5013532
2019-07-10,385458436.24654305
2019-07-11,373935594.10394746
2019-07-12,385061809.6384242
2019-07-16,384731357.225589
2019-07-17,353157912.3502129
2019-07-22,380807084.109653
2019-07-23,221181555.25139776
2019-07-24,219057737.77762526
2019-07-28,374727623.20211494
2019-07-29,371979668.12554777
2019-08-03,370915169.13931316
2019-08-04,336378793.70251083
2019-08-05,372416978.6944924
2019-08-09,375169519.2037098
2019-08-10,356312341.22901225
2019-08-15,347316210.83975804
2019-08-16,332238760.64978427
2019-08-17,365244273.7746519
2019-08-21,369581652.9652027
2019-08-22,363120818.4190862
2019-08-23,361178989.13559425
2019-08-27,366974261.2623109
2019-08-28,361906103.40790564
2019-08-29,360606728.63577676
2019-09-02,368092675.69047725
2019-09-03,365018869.41999495
2019-09-08,355269502.74492383
2019-09-09,320784758.5742444
2019-09-10,365582438.62941116
2019-09-14,375917013.40384716
2019-09-15,371681333.931522
2019-09-20,368508427.152402
2019-09-21,338345444.7154069
2019-09-22,370363903.6485065
2019-09-26,374996869.5883603
2019-09-27,363047909.86078584
2019-10-02,359244595.6090484
2019-10-03,345746592.32141525
2019-10-04,365869421.24589187
2019-10-08,368926850.858128
2019-10-09,366361508.5533323
2019-10-14,364826787.99747664
2019-10-15,357515190.20470357
2019-10-16,363821930.8134228
2019-10-20,363848804.274016
2019-10-21,360809806.7913107
2019-10-22,358900096.2315832
2019-10-26,364203319.54491544
2019-10-27,363006980.1751229
2019-10-28,363006980.1751229
2019-11-01,363880797.06766593
2019-11-02,356004129.7911462
2019-11-07,368988468.2222956
2019-11-08,353783463.66951036
2019-11-09,353783463.66951036
2019-11-13,361816634.10437393
2019-11-14,361727169.7473196
2019-11-19,360361536.2632028
2019-11-20,357394099.7764173
2019-11-21,362344574.47407234
2019-11-25,363426558.3572896
2019-11-26,361617263.16699004
2019-12-01,358462561.03750986
2019-12-02,356897087.8444047
2019-12-03,362359916.7186152
2019-12-07,364490059.81475747
2019-12-08,361011633.0452685
2019-12-13,357482048.75484854
2019-12-14,357196550.8758775
2019-12-15,364066367.67270964
2019-12-19,370764805.8252342
2019-12-20,369437831.0410843
2019-12-21,366337157.00621176
2019-12-25,370758380.3463222
2019-12-26,372191878.02390474
2019-12-27,372191878.02390474
2020-01-01,379269346.9483967
2020-01-07,368953808.17183715
2020-01-08,375382134.55506504
2020-01-12,379839051.9801014
2020-01-13,378191177.83616114
2020-01-18,375597354.4834431
2020-01-19,373299666.6307714
2020-01-20,379102734.69035304
2020-01-24,381476886.349507
2020-01-25,377145945.5139361
2020-01-30,372611232.86932063
2020-01-31,369634305.19186735
2020-02-01,374953065.7959847
2020-02-05,377566541.4847989
2020-02-06,376049792.8395778
2020-02-11,372665267.85762316
2020-02-12,368819026.007662
2020-02-13,374015423.9538834
2020-02-17,373017824.817275
2020-02-18,370446132.0858161
2020-02-19,367646244.74602103
2020-02-23,372564918.5595256
2020-02-24,370656861.0842411
2020-02-25,366001398.8997706
2020-02-29,366485835.24970764
2020-03-01,364788374.4259173
2020-03-02,364788374.4259173
2020-03-06,358359253.8212089
2020-03-07,352160340.31732917
2020-03-08,365330089.28977644
2020-03-12,372930321.9757019
2020-03-13,369769153.9066456
2020-03-18,367729620.6356019
2020-03-19,365465866.32609695
2020-03-20,372339797.89363724
2020-03-24,378078881.1434097
2020-03-25,374862885.1204384
2020-03-26,374862885.1204384
2020-03-30,371322632.24535817
2020-03-31,369972089.8383447
2020-04-01,376114252.65625983
2020-04-05,379986353.7632703
2020-04-06,378519075.2048909
2020-04-11,376141326.515899
2020-04-12,373349862.63097864
2020-04-13,380206038.0340466
2020-04-17,383605703.9751572
2020-04-18,369873187.5717633
2020-04-19,377578154.51667553
2020-04-23,373914993.470883
2020-04-24,369471217.1578937
2020-04-25,369471217.1578937
2020-04-29,381134194.0214462
2020-04-30,379837759.91569877
2020-05-06,379778326.0155292
2020-05-07,379778326.0155292
2020-05-11,367520547.55065227
2020-05-12,374499634.9653147
2020-05-17,352795663.56942326
