date,value
2018-01-05,1237100
2018-01-06,1237100
2018-01-10,1237100
2018-01-11,1029700
2018-01-12,1029700
2018-01-16,1102600
2018-01-17,968800
2018-01-18,968800
2018-01-22,1064800
2018-01-23,925600
2018-01-24,925600
2018-01-28,913900
2018-01-29,1167700
2018-01-30,1027100
2018-02-03,1311300
2018-02-04,1111900
2018-02-05,1111900
2018-02-09,1116800
2018-02-10,989700
2018-02-11,989700
2018-02-15,1105100
2018-02-16,925100
2018-02-17,925100
2018-02-21,905000
2018-02-22,945800
2018-02-23,945800
2018-02-27,1170900
2018-02-28,960100
2018-03-01,960100
2018-03-05,950000
2018-03-06,1173200
2018-03-07,1005900
2018-03-11,1203300
2018-03-12,1058000
2018-03-13,1058000
2018-03-17,1113800
2018-03-18,1306300
2018-03-19,1102300
2018-03-23,1273200
2018-03-24,1143200
2018-03-25,1143200
2018-03-29,1242500
2018-03-30,1420100
2018-03-31,1205100
2018-04-04,1386700
2018-04-05,1169800
2018-04-06,1169800
2018-04-10,1149600
2018-04-11,1251000
2018-04-12,1192600
2018-04-16,1398400
2018-04-17,1195400
2018-04-18,1195400
2018-04-22,1155000
2018-04-23,1229900
2018-04-24,1197000
2018-04-28,1322100
2018-04-29,1256700
2018-04-30,1256700
2018-05-04,1342700
2018-05-05,1433400
2018-05-06,1310900
2018-05-10,1403700
2018-05-11,1288000
2018-05-12,1288000
2018-05-16,1258200
2018-05-17,1374200
2018-05-18,1329700
2018-05-23,1354600
2018-05-24,1354600
2018-05-28,1353600
2018-05-29,1476500
2018-05-30,1384900
2018-06-03,1503800
2018-06-04,1416900
2018-06-05,1416900
2018-06-09,1441900
2018-06-10,1495400
2018-06-11,1439800
2018-06-15,1563100
2018-06-16,1418300
2018-06-17,1418300
2018-06-22,1450000
2018-06-23,1450000
2018-06-27,1450000
2018-06-28,1383300
2018-06-29,1383300
2018-07-03,1429700
2018-07-04,1489300
2018-07-05,1452300
2018-07-09,1580100
2018-07-10,1460700
2018-07-11,1460700
2018-07-15,1458100
2018-07-16,1544500
2018-07-17,1449600
2018-07-21,1549500
2018-07-22,1427700
2018-07-23,1427700
2018-07-27,1399200
2018-07-28,1450900
2018-07-29,1411500
2018-08-02,1531500
2018-08-03,1402800
2018-08-04,1402800
2018-08-08,1355900
2018-08-09,1517800
2018-08-10,1409600
2018-08-14,1544100
2018-08-15,1425500
2018-08-16,1425500
2018-08-20,1404000
2018-08-21,1448900
2018-08-22,1413800
2018-08-26,1519300
2018-08-27,1432000
2018-08-28,1432000
2018-09-01,1454400
2018-09-02,1514400
2018-09-03,1414500
2018-09-07,1483100
2018-09-08,1409200
2018-09-09,1409200
2018-09-13,1444700
2018-09-14,1458000
2018-09-15,1392300
2018-09-19,1462200
2018-09-20,1375800
2018-09-21,1375800
2018-09-25,1405600
2018-09-26,1574400
2018-09-27,1419600
2018-10-01,1571300
2018-10-02,1427600
2018-10-03,1427600
2018-10-07,1428700
2018-10-08,1464900
2018-10-09,1405000
2018-10-13,1500300
2018-10-14,1382600
2018-10-15,1382600
2018-10-19,1372800
2018-10-20,1446300
2018-10-21,1391800
2018-10-25,1531500
2018-10-26,1378700
2018-10-27,1378700
2018-10-31,1330200
2018-11-01,1488900
2018-11-02,1370300
2018-11-06,1528000
2018-11-07,1405400
2018-11-08,1405400
2018-11-12,1423900
2018-11-13,1459700
2018-11-14,1415700
2018-11-18,1546800
2018-11-19,1407400
2018-11-20,1407400
2018-11-24,1417000
2018-11-25,1461100
2018-11-26,1413400
2018-11-30,1542100
2018-12-01,1429700
2018-12-02,1429700
2018-12-06,1466500
2018-12-07,1581100
2018-12-08,1424300
2018-12-12,1528600
2018-12-13,1442900
2018-12-14,1442900
2018-12-18,1505000
2018-12-19,1645900
2018-12-20,1485100
2018-12-24,1614300
2018-12-25,1476800
2018-12-26,1476800
2018-12-30,1477200
2019-01-06,1579800
2019-01-07,1579800
2019-01-11,1579800
2019-01-12,1556100
2019-01-13,1556100
2019-01-17,1622300
2019-01-18,1557500
2019-01-23,1584900
2019-01-24,1551400
2019-01-25,1551400
2019-01-29,1619000
2019-01-30,1575200
2019-01-31,1575200
2019-02-04,1636700
2019-02-05,1551300
2019-02-06,1551300
2019-02-10,1567300
2019-02-11,1502300
2019-02-12,1502300
2019-02-16,1526300
2019-02-17,1537800
2019-02-18,1537800
2019-02-22,1644400
2019-02-23,1558600
2019-02-24,1558600
2019-02-28,1568100
2019-03-01,1507200
2019-03-02,1507200
2019-03-06,1542600
2019-03-07,1516200
2019-03-08,1516200
2019-03-12,1582500
2019-03-13,1525200
2019-03-14,1525200
2019-03-18,1560000
2019-03-19,1516000
2019-03-20,1516000
2019-03-24,1552400
2019-03-25,1519700
2019-03-26,1519700
2019-03-30,1570200
2019-03-31,1514000
2019-04-01,1514000
2019-04-05,1547800
2019-04-06,1536200
2019-04-07,1536200
2019-04-11,1625400
2019-04-12,1516500
2019-04-13,1516500
2019-04-17,1513700
2019-04-18,1447500
2019-04-19,1447500
2019-04-23,1496900
2019-04-24,1569500
2019-04-25,1457600
2019-04-29,1534800
2019-04-30,1495200
2019-05-01,1495200
2019-05-05,1527400
2019-05-06,1481600
2019-05-11,1511700
2019-05-12,1502100
2019-05-13,1502100
2019-05-17,1582400
2019-05-18,1534500
2019-05-19,1534500
2019-05-23,1581600
2019-05-24,1444300
2019-05-29,1422700
2019-05-30,1537500
2019-05-31,1440100
2019-06-04,1565400
2019-06-05,1526200
2019-06-06,1526200
2019-06-10,1585400
2019-06-11,1528900
2019-06-12,1528900
2019-06-16,1564600
2019-06-17,1449700
2019-06-18,1449700
2019-06-23,1463500
2019-06-24,1463500
2019-06-28,1463500
2019-06-29,1422900
2019-06-30,1422900
2019-07-04,1514300
2019-07-05,1518600
2019-07-06,1425600
2019-07-10,1475300
2019-07-11,1416200
2019-07-12,1416200
2019-07-16,1426600
2019-07-17,1426100
2019-07-18,1426100
2019-07-22,1502900
2019-07-23,1466000
2019-07-24,1466000
2019-07-28,1509000
2019-07-29,1444600
2019-07-30,1444600
2019-08-03,1465000
2019-08-04,1413700
2019-08-05,1413700
2019-08-09,1434600
2019-08-10,1400600
2019-08-11,1400600
2019-08-15,1442000
2019-08-16,1369600
2019-08-17,1369600
2019-08-21,1367200
2019-08-22,1362200
2019-08-27,1432400
2019-08-28,1382500
2019-08-29,1382500
2019-09-02,1401600
2019-09-03,1380600
2019-09-04,1380600
2019-09-08,1434000
2019-09-09,1374400
2019-09-10,1374400
2019-09-14,1401000
2019-09-15,1340600
2019-09-16,1340600
2019-09-20,1374600
2019-09-21,1339700
2019-09-22,1339700
2019-09-26,1395100
2019-09-27,1329500
2019-09-28,1329500
2019-10-02,1343900
2019-10-03,1318600
2019-10-04,1318600
2019-10-08,1368900
2019-10-09,1311100
2019-10-10,1311100
2019-10-14,1339600
2019-10-15,1321800
2019-10-16,1321800
2019-10-20,1404500
2019-10-21,1318700
2019-10-22,1318700
2019-10-26,1338500
2019-10-27,1309400
2019-10-28,1309400
2019-11-01,1380400
2019-11-02,1359900
2019-11-03,1359900
2019-11-07,1448700
2019-11-08,1397100
2019-11-09,1397100
2019-11-13,1478400
2019-11-14,1425100
2019-11-15,1425100
2019-11-19,1514700
2019-11-20,1382400
2019-11-21,1382400
2019-11-25,1391400
2019-11-26,1346400
2019-11-27,1346400
2019-12-01,1404500
2019-12-02,1345100
2019-12-03,1345100
2019-12-07,1446100
2019-12-08,1324200
2019-12-09,1324200
2019-12-13,1372100
2019-12-14,1297000
2019-12-15,1297000
2019-12-19,1384700
2019-12-20,1312900
2019-12-21,1312900
2019-12-25,1391400
2019-12-26,1315500
2019-12-27,1315500
2020-01-01,1277500
2020-01-02,1277500
2020-01-06,1277500
2020-01-07,1387100
2020-01-08,1258800
2020-01-12,1365200
2020-01-13,1330400
2020-01-14,1330400
2020-01-18,1363000
2020-01-19,1356100
2020-01-20,1356100
2020-01-24,1466300
2020-01-25,1353700
2020-01-26,1353700
2020-01-30,1368700
2020-01-31,1338700
2020-02-01,1338700
2020-02-05,1421700
2020-02-06,1394600
2020-02-07,1394600
2020-02-11,1491200
2020-02-12,1379900
2020-02-13,1379900
2020-02-17,1399000
2020-02-18,1371700
2020-02-19,1371700
2020-02-23,1426700
2020-02-24,1377300
2020-02-25,1377300
2020-02-29,1419400
2020-03-01,1391300
2020-03-02,1391300
2020-03-06,1477900
2020-03-07,1394300
2020-03-08,1394300
2020-03-12,1409000
2020-03-13,1375000
2020-03-14,1375000
2020-03-18,1407100
2020-03-19,1425200
2020-03-20,1425200
2020-03-24,1553700
2020-03-25,1448200
2020-03-30,1457300
2020-03-31,1408100
2020-04-01,1408100
2020-04-05,1442600
2020-04-06,1425300
2020-04-07,1425300
2020-04-11,1490200
2020-04-12,1468600
2020-04-13,1468600
2020-04-17,1541800
2020-04-18,1469400
2020-04-19,1469400
2020-04-23,1487000
2020-04-24,1480200
2020-04-25,1480200
2020-04-29,1547800
2020-04-30,1500800
2020-05-01,1500800
2020-05-05,1542100
2020-05-06,1497500
2020-05-07,1497500
2020-05-11,1536600
2020-05-12,1512900
2020-05-13,1512900
2020-05-17,1568100
2020-05-18,1525700
2020-05-19,1525700
2020-05-23,1553800
2020-05-24,1527200
2020-05-25,1527200
2020-05-29,1580100
2020-05-30,1551400
2020-05-31,1551400
2020-06-04,1603600
2020-06-05,1541500
2020-06-06,1541500
2020-06-10,1576900
2020-06-11,1548000
2020-06-12,1548000
2020-06-16,1625400
2020-06-17,1551100
2020-06-18,1551100
2020-06-23,1569600
2020-06-24,1569600
2020-06-28,1569600
2020-06-29,1477500
2020-06-30,1477500
2020-07-04,1460800
2020-07-05,1416500
2020-07-06,1416500
