date,value
2018-01-05,25470331.999878664
2018-01-05,28724058.05401627
2018-01-11,27889791.769329946
2018-01-17,23646553.47402932
2018-01-23,21477911.9120103
2018-01-29,29600993.621943463
2018-02-04,28390936.56766786
2018-02-10,25927876.38103359
2018-02-16,21187369.951374885
2018-02-22,27829964.208218057
2018-02-28,22667722.37522136
2018-03-06,29254324.10431022
2018-03-12,28284851.76115056
2018-03-18,32698276.391599678
2018-03-24,32934132.58050672
2018-03-30,35782266.64655618
2018-04-05,29558044.40391465
2018-04-11,31220526.23246805
2018-04-11,36676542.117595345
2018-04-17,29751453.999210462
2018-04-23,31307774.372180104
2018-04-23,34736859.6332437
2018-04-29,36687949.946815714
2018-05-05,36524533.20827408
2018-05-11,33514731.982246757
2018-05-17,37084037.727101766
2018-05-17,38707298.7971417
2018-05-23,37103110.54496663
2018-05-29,39835291.697261535
2018-06-04,40514098.75494711
2018-06-10,39757475.07588147
2018-06-10,42815775.0783123
2018-06-16,38715020.136510506
2018-06-22,36977280.981904276
2018-06-28,40037815.17518205
2018-07-04,40623633.138209805
2018-07-04,43616186.23222198
2018-07-10,41148983.45179015
2018-07-16,41491084.18228639
2018-07-22,38854078.33302449
2018-07-28,39512632.950296246
2018-07-28,41621054.85794805
2018-08-03,37190881.04705301
2018-08-09,42197446.47101564
2018-08-15,39039707.35393475
2018-08-21,39306984.778019965
2018-08-21,40905674.75470612
2018-08-27,41003734.23025721
2018-09-02,39411711.198507406
2018-09-08,40623633.138209805
2018-09-14,36684147.226122476
2018-09-14,39598084.99315504
2018-09-20,39101639.00263823
2018-09-26,43767975.88801572
2018-10-02,39998845.90697202
2018-10-08,38861807.90199131
2018-10-08,39800268.9176455
2018-10-14,37837588.86078056
2018-10-20,39372914.4906614
2018-10-20,40991963.6043029
2018-10-26,36213471.33704837
2018-11-01,40682346.50000318
2018-11-07,39811942.21407419
2018-11-13,38761357.27440418
2018-11-13,42181625.21923964
2018-11-19,39543700.40818825
2018-11-25,38846349.196855254
2018-11-25,42605418.03446861
2018-12-01,41479274.341431215
2018-12-07,42339912.84728869
2018-12-13,43002561.84152515
2018-12-19,45007752.30365962
2018-12-25,41901076.17351128
2019-01-06,42716513.72291568
2019-01-12,44754192.25316032
2019-01-18,42696669.23542226
2019-01-18,42831662.91171467
2019-01-24,43895913.80250927
2019-01-30,44332489.80324083
2019-02-05,37286349.937658034
2019-02-05,43811942.68968867
2019-02-11,40819437.109053805
2019-02-17,42930999.44641954
2019-02-17,45459519.45681016
2019-02-23,41258997.81631165
2019-02-23,41569840.630775854
2019-03-01,39407831.04377213
2019-03-01,42114403.53478098
2019-03-07,42106497.085559055
2019-03-07,42205357.7231132
2019-03-13,40299184.513339706
2019-03-13,42284493.19695793
2019-03-19,41471401.6399439
2019-03-25,42494403.825165376
2019-03-31,41172550.997482866
2019-04-06,44641628.42479882
2019-04-12,40115785.74389839
2019-04-18,42680795.51434791
2019-04-24,40615806.49357371
2019-04-30,40795926.64399345
2019-05-06,40447636.366655566
2019-05-12,41601354.97785201
2019-05-12,42442889.236323416
2019-05-18,42768121.5347638
2019-05-24,39765254.810501456
2019-05-30,41538333.00697417
2019-06-05,40686261.57266283
2019-06-05,43736007.838039696
2019-06-11,41905023.90807664
2019-06-17,30792555.242235668
2019-06-17,38633967.69999834
2019-06-23,37611458.725627825
2019-06-29,43372834.595173985
2019-07-05,38364138.63031223
2019-07-05,38865672.848762065
2019-07-11,33451726.793217294
2019-07-11,37626777.5212885
2019-07-17,39928728.149650924
2019-07-23,40026123.273223005
2019-07-29,38475860.37032207
2019-08-04,36418232.77984137
2019-08-04,37883628.093168974
2019-08-10,37358952.34748554
2019-08-16,35375101.458882056
2019-08-22,37534891.09297214
2019-08-28,35442871.191923775
2019-08-28,36149076.70162751
2019-09-03,36969658.81579564
2019-09-09,37431594.49296913
2019-09-15,35450403.41548568
2019-09-21,34079551.751836896
2019-09-21,36490355.70364357
2019-09-27,33938097.87271701
2019-10-03,35763387.473526195
2019-10-09,34377889.85329502
2019-10-15,34568461.87086904
2019-10-15,36247575.67100932
2019-10-21,34452588.63250819
2019-10-27,35446637.2473907
2019-11-02,36304436.30181192
2019-11-02,37118370.786526665
2019-11-08,35993904.81254836
2019-11-08,38695717.60093927
2019-11-14,38414209.48124937
2019-11-20,35653943.60054368
2019-11-26,35074344.96312727
2019-11-26,35269754.48196063
2019-12-02,39773034.97355642
2019-12-08,34087001.278707154
2019-12-14,1916563.1378605908
2019-12-14,38267900.22198681
2019-12-20,35288559.95516129
2019-12-26,29608153.531262387
2019-12-26,34939240.63355024
2020-01-01,34232358.59742128
2020-01-07,35521982.001668975
2020-01-13,34710649.30086099
2020-01-19,37780061.986995004
2020-01-25,33990193.19114847
2020-01-25,34950493.720769435
2020-01-31,36600515.45049499
2020-02-06,36058221.573766224
2020-02-06,39874216.06419858
2020-02-12,36050653.218651555
2020-02-18,35865368.312225945
2020-02-18,37282529.859544344
2020-02-24,34116803.96854645
2020-02-24,37948877.30469958
2020-03-01,36714572.097886786
2020-03-01,39516516.00665491
2020-03-07,35224632.860738344
