date,value
2018-04-04,2136300
2018-04-09,2183500
2018-04-11,2183500
2018-04-14,2201100
2018-04-16,2256400
2018-04-19,2333700
2018-04-21,2378900
2018-04-24,2301500
2018-05-04,2344000
2018-05-29,2548900
2018-05-31,2551500
2018-06-03,2551500
2018-06-05,2514300
2018-06-08,2598900
2018-06-10,2594900
2018-06-13,2623400
2018-06-15,2623400
2018-06-18,2623400
2018-06-23,2668100
2018-06-25,2668100
2018-06-28,2720400
2018-06-30,2720400
2018-07-03,2661800
2018-07-05,2708100
2018-07-08,2706400
2018-07-10,2786400
2018-07-13,2696700
2018-07-15,2794800
2018-07-18,2749200
2018-07-20,2759900
2018-07-23,2759600
2018-07-25,2729900
2018-07-28,2737100
2018-07-30,2704300
2018-08-02,2770600
2018-08-04,2770800
2018-08-07,2706800
2018-08-09,2776700
2018-08-12,2710500
2018-08-14,2727200
2018-08-17,2687700
2018-08-19,2739500
2018-08-22,2675400
2018-08-24,2721200
2018-08-27,2651100
2018-08-29,2676600
2018-09-01,2596700
2018-09-03,2664000
2018-09-06,2615200
2018-09-08,2663100
2018-09-16,2635400
2018-09-21,2676900
2018-09-23,2676900
2018-09-26,2676700
2018-09-28,2708300
2018-10-01,2708300
2019-03-25,2596500
2019-03-27,2568500
2019-03-30,2590300
2019-04-01,2590300
2019-04-04,2588600
2019-04-14,2666700
2019-04-16,2660800
2019-04-19,2660800
2019-04-24,2660500
2019-05-09,2714500
2019-05-11,2709700
2019-05-14,2788500
2019-05-16,2788500
2019-05-19,2737000
2019-05-24,2808200
2019-05-26,2751700
2019-05-29,2763500
2019-06-08,2808400
2019-06-10,2819600
2019-06-13,2807200
2019-06-15,2813600
2019-06-18,2787600
2019-06-20,2826000
2019-06-23,2824500
2019-06-25,2770300
2019-06-28,2802300
2019-07-08,2710300
2019-07-10,2710300
2019-07-13,2724200
2019-07-15,2724400
2019-07-18,2719200
2019-07-20,2786400
2019-07-23,2712000
2019-07-25,2786400
2019-07-28,2731300
2019-07-30,2732800
2019-08-02,2693400
2019-08-04,2731700
2019-08-07,2680500
2019-08-09,2715900
2019-08-12,2715900
2019-08-17,2693600
2019-08-19,2658300
2019-08-22,2694800
2019-08-24,2694800
2019-08-27,2637600
2019-09-01,2629600
2019-09-03,2655700
2019-09-06,2587700
2019-09-11,2624800
2019-09-16,2573900
2019-09-26,2517500
2020-05-03,2575000
2020-05-05,2575000
2020-05-08,2639200
2020-05-10,2651300
2020-05-13,2618700
2020-05-15,2669400
2020-05-18,2650700
2020-05-20,2678600
2020-05-23,2650700
2020-05-25,2688900
2020-05-28,2648600
2020-05-30,2678900
2020-06-02,2678900
2020-06-04,2626800
2020-06-07,2626800
2020-06-17,2691700
2020-06-19,2691700
2020-06-22,2599200
2020-06-24,2599200
2020-06-27,2672100
2020-06-29,2672100
2020-07-02,2574200
2020-07-04,2639400
2020-07-07,2598900
2020-07-09,2624200
2020-07-12,2624200
2020-07-14,2609200
2020-07-17,2628300
2020-07-19,2580600
2020-07-22,2611500
2020-07-24,2611500
2020-07-27,2571100
2020-07-29,2595800
2020-08-03,2563100
2020-08-06,2573500
2020-08-08,2478100
2020-08-13,2478100
2020-08-16,2491600
2020-08-18,2431700
2020-08-21,2461000
2020-08-23,2461000
2020-08-26,2409900
2020-08-28,2440100
2020-08-31,2354000
2020-09-02,2440600
2020-09-05,2365500
2020-09-07,2403300
2020-09-10,2301500
2020-09-12,2368700
2020-09-15,2340000
2020-09-17,2374900
2020-09-20,2368400
2020-09-25,2371700
