date,value
2018-01-05,1697400
2018-01-11,1827700
2018-01-17,1543800
2018-01-23,1550000
2018-01-29,1759200
2018-02-04,1853500
2018-02-10,1581900
2018-02-16,1482500
2018-02-22,1641000
2018-02-28,1562200
2018-03-06,1637700
2018-03-12,1811300
2018-03-18,1781700
2018-03-24,1934800
2018-03-30,1877700
2018-04-05,1780000
2018-04-11,1848400
2018-04-17,1746400
2018-04-23,1791900
2018-04-29,2006500
2018-05-05,1894500
2018-05-11,1813100
2018-05-17,1908500
2018-05-23,1913900
2018-05-29,1974100
2018-06-04,1986400
2018-06-10,1951400
2018-06-16,1934200
2018-06-22,1886800
2018-06-28,1982200
2018-07-04,2022200
2018-07-10,2052500
2018-07-16,2023400
2018-07-22,2028000
2018-07-28,2006100
2018-08-03,1969900
2018-08-09,2004400
2018-08-15,1990200
2018-08-21,1976900
2018-08-27,2053300
2018-09-02,1970500
2018-09-08,2043900
2018-09-14,1940000
2018-09-20,2033100
2018-09-26,2028000
2018-10-02,2019600
2018-10-08,1991400
2018-10-14,1996400
2018-10-20,2021700
2018-10-26,1935100
2018-11-01,2033100
2018-11-07,2043500
2018-11-13,2007000
2018-11-19,2042900
2018-11-25,2004700
2018-12-01,2018300
2018-12-07,1988600
2018-12-13,2024200
2018-12-19,2022200
2018-12-25,2014900
2019-01-06,1986600
2019-01-12,1962000
2019-01-12,1952400
2019-01-18,2001700
2019-01-24,1998900
2019-01-30,2023400
2019-02-05,1966300
2019-02-11,2001800
2019-02-11,1870700
2019-02-17,2006100
2019-02-23,1943400
2019-03-01,1950600
2019-03-07,2008500
2019-03-13,1984000
2019-03-13,1955100
2019-03-19,1977500
2019-03-25,1995200
2019-03-31,2034900
2019-04-06,2061300
2019-04-12,1968700
2019-04-18,2001100
2019-04-24,2034000
2019-04-30,1995600
2019-05-06,1997800
2019-05-06,1944000
2019-05-12,2066800
2019-05-18,2059900
2019-05-24,2027900
2019-05-30,2072200
2019-06-05,2045900
2019-06-11,2063700
2019-06-11,1964000
2019-06-17,1941600
2019-06-23,2004300
2019-06-29,2038100
2019-07-05,2043500
2019-07-11,1900300
2019-07-17,2037800
2019-07-23,2023900
2019-07-29,1990900
2019-07-29,1883300
2019-08-04,1955200
2019-08-10,1922400
2019-08-16,1919400
2019-08-22,1985600
2019-08-28,1932200
2019-08-28,1821500
2019-09-03,1938500
2019-09-09,1898900
2019-09-09,1880600
2019-09-15,1950200
2019-09-21,1912300
2019-09-27,1877600
2019-10-03,1890000
2019-10-09,1935200
2019-10-09,1740100
2019-10-15,1905100
2019-10-21,1912300
2019-10-27,1899000
2019-11-02,1949600
2019-11-08,1920600
2019-11-08,1890400
2019-11-14,1987200
2019-11-20,1886800
2019-11-26,1917200
2019-11-26,1860300
2019-12-02,2004300
2019-12-08,1940200
2019-12-14,586100
2019-12-20,1932200
2019-12-26,1891800
2020-01-01,1937000
2020-01-07,1921200
2020-01-13,1923100
2020-01-19,2043300
2020-01-25,2000500
2020-01-31,2001600
2020-02-06,2086600
2020-02-12,1940600
2020-02-12,1925500
2020-02-18,1997000
2020-02-24,1938900
2020-03-01,1987300
2020-03-07,1939500
2020-03-13,1891700
2020-03-19,1992400
2020-03-19,1959600
2020-03-25,2033500
2020-03-31,1910700
2020-04-06,1975700
2020-04-06,1818100
2020-04-12,1984700
2020-04-18,1977400
2020-04-24,1984800
2020-04-30,1953400
2020-05-06,1925900
2020-05-06,1851000
2020-05-12,2046400
2020-05-18,1942400
2020-05-24,1983800
2020-05-30,1971400
2020-06-05,1974800
2020-06-11,2009600
2020-06-17,1931500
2020-06-23,1957700
2020-06-29,1845400
2020-07-05,1854100
2020-07-11,1905700
2020-07-17,1878500
2020-07-23,1872400
2020-07-29,1865700
2020-07-29,1698000
2020-08-04,1937500
2020-08-10,1893100
2020-08-16,1919000
2020-08-22,1775200
2020-08-28,1826100
2020-09-03,1816500
2020-09-03,1768900
2020-09-09,1844200
2020-09-15,1749600
2020-09-21,1832200
2020-09-21,1699100
2020-09-27,1861100
2020-10-03,1958100
2020-10-03,1751400
2020-10-09,1698200
2020-10-15,1772400
2020-10-21,1717700
2020-10-27,1779700
2020-11-02,1627100
2020-11-02,1624000
2020-11-08,1720100
2020-11-14,1715100
2020-11-14,1673200
2020-11-20,1753500
2020-11-26,1912700
2020-12-02,1827000
2020-12-14,1761000
2020-12-20,1848700
2020-12-26,1886200
