date,value
2018-01-05,42209303.691102326
2018-01-11,47355341.2768413
2018-01-17,36419674.254310235
2018-01-23,36647427.489971176
2018-01-29,44623665.61183106
2018-02-04,48399156.01883568
2018-02-10,37827243.04237352
2018-02-16,34195313.947127156
2018-02-22,40048073.65114571
2018-02-28,37097065.28887194
2018-03-06,39922878.25408045
2018-03-12,46696065.73900214
2018-03-18,45514533.868175045
2018-03-24,51741140.87600881
2018-03-30,49385602.22281293
2018-04-05,45447004.39218154
2018-04-11,48192176.531898856
2018-04-17,44119672.41293722
2018-04-23,45920461.90922035
2018-04-29,54754047.69172241
2018-05-05,50074577.727558844
2018-05-11,46768263.92293917
2018-05-17,50651323.11692297
2018-05-23,50874411.73039515
2018-05-29,53385028.42651132
2018-06-04,53903290.70343267
2018-06-10,52433265.45323556
2018-06-16,51716185.8622636
2018-06-22,49758374.21014319
2018-06-28,53726122.10542797
2018-07-04,55421872.17067657
2018-07-10,56718881.63265447
2018-07-16,55473034.927074924
2018-07-22,55669314.933316305
2018-07-28,54737070.84380206
2018-08-03,53208470.623894185
2018-08-09,54664940.21561157
2018-08-15,54063765.489835866
2018-08-21,53502849.61500201
2018-08-27,56753271.10626866
2018-09-02,53233680.37876614
2018-09-08,56349665.18112242
2018-09-14,51957597.65979763
2018-09-20,55887218.94498761
2018-09-26,55669314.933316305
2018-10-02,55311077.37602395
2018-10-08,54114477.119460635
2018-10-14,54325958.24353921
2018-10-20,55400559.33122012
2018-10-26,51753619.99487378
2018-11-01,55887218.94498761
2018-11-07,56332513.28536181
2018-11-13,54775271.39508194
2018-11-19,56306788.9378928
2018-11-25,54677666.68196739
2018-12-01,55255709.67301457
2018-12-07,53996176.3973668
2018-12-13,55507152.79566673
2018-12-19,55421872.17067657
2018-12-25,55110995.47728344
2019-01-06,53911732.497548915
2019-01-12,52876940.11101785
2019-01-12,52475064.50653754
2019-01-18,54550449.63163335
2019-01-24,54431809.21843151
2019-01-30,55473034.927074924
2019-02-05,53057301.66571304
2019-02-11,54554688.49497888
2019-02-11,49099536.29113099
2019-02-17,54737070.84380206
