date,value
2018-01-04,3901700
2018-01-05,3925300
2018-01-11,4110600
2018-01-16,4000000
2018-01-17,4075800
2018-01-23,4063300
2018-01-28,3835200
2018-01-29,3366400
2018-02-04,4076700
2018-02-09,3882500
2018-02-10,3969300
2018-02-16,3984100
2018-02-21,3769100
2018-02-22,3921000
2018-02-28,3981900
2018-03-05,4382200
2018-03-06,4410500
2018-03-12,4717500
2018-03-17,4802000
2018-03-18,4747800
2018-03-23,4723200
2018-03-24,5188800
2018-03-29,5115600
2018-03-30,5218100
2018-04-04,4804600
2018-04-05,5249000
2018-04-10,5288500
2018-04-11,5436500
2018-04-16,5460400
2018-04-17,5552100
2018-04-22,5431100
2018-04-23,5434800
2018-04-28,5020400
2018-04-29,5566000
2018-05-04,5515200
2018-05-05,5586800
2018-05-11,5620100
2018-05-16,5163700
2018-05-17,5667400
2018-05-22,5419300
2018-05-23,5702500
2018-05-28,5608900
2018-05-29,5670200
2018-06-03,5127900
2018-06-04,5670100
2018-06-09,5511300
2018-06-10,5654600
2018-06-15,5199000
2018-06-16,5587300
2018-06-21,4902300
2018-06-22,5553200
2018-07-03,5392600
2018-07-04,5426300
2018-07-15,5155700
2018-07-16,5339100
2018-07-27,5303100
2018-07-28,5289900
2018-08-08,5150000
2018-08-09,5281100
2018-08-20,3912300
2018-08-21,5264800
2018-09-01,3719900
2018-09-02,4847400
2018-09-13,5184800
2018-09-14,5189100
2018-09-25,4501100
2018-09-26,1520300
2018-10-07,4995100
2018-10-08,5045700
2018-10-19,5237000
2018-10-20,5300900
2018-10-31,5680500
2018-11-01,5763400
2018-11-12,5786900
2018-11-13,5892000
2018-11-24,5961500
2018-12-06,5974400
2018-12-07,6081900
2018-12-18,5996900
2018-12-19,6109000
2018-12-30,5304700
2019-01-05,5524600
2019-01-05,5996500
2019-01-06,6110100
2019-01-11,5883100
2019-01-12,6073800
2019-01-17,5955100
2019-01-17,6029800
2019-01-18,6109200
2019-01-23,3689900
2019-01-23,5875600
2019-01-24,6060000
2019-01-29,5578100
2019-01-30,6104200
2019-02-04,5967700
2019-02-04,6059600
2019-02-05,6193400
2019-02-10,5942100
2019-02-11,6044200
2019-02-16,5586900
2019-02-17,4478800
2019-02-22,5830200
2019-02-23,6090800
2019-02-28,4763500
2019-02-28,5964400
2019-03-01,6050100
2019-03-06,6135900
2019-03-07,6121200
2019-03-12,5956100
2019-03-13,5925700
2019-03-18,4635300
2019-03-18,5482100
2019-03-19,5972300
2019-03-24,5201400
2019-03-25,5933800
2019-03-30,5084900
2019-03-31,5847300
2019-04-05,5904200
2019-04-05,5915000
2019-04-06,6049700
2019-04-11,5234900
2019-04-11,5864400
2019-04-12,6004000
2019-04-17,5822200
2019-04-23,5169800
2019-04-23,5801300
2019-04-24,6049700
2019-04-29,4604500
2019-04-29,5850900
2019-04-30,5991500
2019-05-05,5719800
2019-05-05,5896000
2019-05-06,5929400
2019-05-11,5641800
2019-05-11,5804000
2019-05-12,2065400
2019-05-17,3954000
2019-05-17,5489300
2019-05-18,5921400
2019-05-23,5693100
2019-05-24,5794800
2019-05-29,3157500
2019-05-29,5455000
2019-05-30,4978900
2019-06-04,5654500
2019-06-05,5675100
2019-06-10,5075800
2019-06-10,5447800
2019-06-11,5642600
2019-06-16,4823100
2019-06-16,5331300
2019-06-17,5588600
2019-06-22,5206800
2019-06-23,5522700
2019-06-28,5460700
2019-07-04,5266100
2019-07-05,5389600
2019-07-10,4960900
2019-07-11,5409900
2019-07-16,5191400
2019-07-17,5365100
2019-07-22,5105600
2019-07-23,5279600
2019-07-28,5285500
2019-07-29,5348300
2019-08-03,5279000
2019-08-04,5305700
2019-08-09,5208600
2019-08-10,5250600
2019-08-15,5125900
2019-08-16,5307400
2019-08-21,4694400
2019-08-22,5087800
2019-08-27,5166200
2019-08-28,5239300
2019-09-02,4650800
2019-09-03,5069500
2019-09-08,5078100
2019-09-09,5181800
2019-09-14,4737700
2019-09-15,5085100
2019-09-20,4865800
2019-09-21,5175200
2019-09-26,5052700
2019-09-27,5278400
2019-10-02,5120300
2019-10-03,5161500
2019-10-08,3573900
2019-10-09,5167900
2019-10-14,4427600
2019-10-15,5222600
2019-10-20,5166900
2019-10-21,5206200
2019-10-26,4967400
2019-10-27,4996300
2019-11-01,4675700
2019-11-02,4994800
2019-11-07,5036700
2019-11-08,5099400
2019-11-13,4876700
2019-11-14,5084500
2019-11-19,4998100
2019-11-20,5100600
2019-11-25,5109300
2019-11-26,5075100
2019-12-01,5081600
2019-12-02,5094500
2019-12-07,4977600
2019-12-08,5043700
2019-12-13,4948400
2019-12-14,4928800
2019-12-19,5015200
2019-12-20,5189200
2019-12-25,5057900
2019-12-26,5112400
2020-01-01,5174100
2020-01-06,5003100
2020-01-07,5111600
2020-01-12,5019200
2020-01-13,5083600
2020-01-18,5087000
2020-01-19,5208600
2020-01-24,4973500
2020-01-25,5250900
2020-01-30,5296100
2020-01-31,5359600
2020-02-05,2709200
2020-02-06,3575200
2020-02-11,5321000
2020-02-12,5367800
2020-02-17,5288100
2020-02-18,5405200
2020-02-23,5088800
2020-02-24,5395300
2020-02-29,5250900
2020-03-01,5425100
2020-03-06,5161400
2020-03-07,5271000
2020-03-12,5308400
2020-03-13,5353600
2020-03-18,4628100
2020-03-19,5304000
2020-03-24,5283800
2020-03-25,5275900
2020-03-30,5398600
2020-03-31,5268300
2020-04-05,5112000
2020-04-06,5431800
2020-04-11,4472400
2020-04-12,5322100
2020-04-17,5393300
2020-04-18,5434900
2020-04-23,4826000
2020-04-24,5407900
2020-04-29,5490500
2020-04-30,5512200
2020-05-05,5470800
2020-05-06,5417100
2020-05-11,5500500
2020-05-12,5491500
2020-05-17,5500900
2020-05-18,5484200
2020-05-23,5370600
2020-05-24,5396100
2020-05-29,4807800
2020-05-30,5365000
2020-06-04,5127200
2020-06-05,5430400
2020-06-10,5176200
2020-06-11,5368500
2020-06-16,5247300
2020-06-17,5365500
2020-06-22,5238300
2020-06-23,5119400
2020-06-28,5120200
2020-06-29,5279200
2020-07-04,4968900
2020-07-05,4959400
2020-07-10,5065800
2020-07-11,5106000
2020-07-16,4772200
2020-07-17,4697200
2020-07-22,5019100
2020-07-23,5065300
2020-07-28,4941900
2020-07-29,4940800
2020-08-03,4868800
