date,value
2018-01-04,44385383.24269219
2018-01-05,44737269.41244607
2018-01-11,47522734.453670844
2018-01-16,45855385.90440412
2018-01-17,46996591.939026415
2018-01-23,46807942.47228931
2018-01-28,43397388.41262897
2018-01-29,36586251.357341446
2018-02-04,47010181.61848794
2018-02-09,44099588.32969903
2018-02-10,45395076.23084894
2018-02-16,45616847.4537443
2018-02-21,42420576.436130986
2018-02-22,44673105.65370779
2018-02-28,45583865.30329071
2018-03-05,51675878.66262078
2018-03-06,52113313.740210846
2018-03-12,56913723.10252157
2018-03-17,58252343.12299762
2018-03-18,57392879.03012121
2018-03-23,57003788.81250132
2018-03-24,64471905.84833675
2018-03-29,63283510.786515765
2018-03-30,64949048.65669485
2018-04-04,58293647.810086645
2018-04-05,65453146.07164495
2018-04-10,66098880.529821545
2018-04-11,68531568.28971459
2018-04-16,68926355.05165423
2018-04-17,70446032.23947948
2018-04-22,68442443.88719732
2018-04-23,68503507.65125336
2018-04-28,61745811.33048969
2018-04-29,70677068.70851539
2018-05-04,69833574.06299481
2018-05-05,71023125.89512101
2018-05-11,71577980.35734074
2018-05-16,64063821.34966329
2018-05-17,72367856.56933437
2018-05-22,68247786.01343848
2018-05-23,72955322.57477053
2018-05-28,71391248.77448817
2018-05-29,72414678.72848725
2018-06-03,63482834.47959967
2018-06-04,72413006.3852798
2018-06-09,69768916.63212214
2018-06-10,72153903.6117488
2018-06-15,64637915.80604855
2018-06-16,71031449.49206226
2018-06-21,59850742.402832955
2018-06-22,70464309.18517016
2018-07-03,67807815.67096108
2018-07-04,68363245.21468304
2018-07-15,63933883.39538652
2018-07-16,66928256.75466306
2018-07-27,66337935.72444246
2018-07-28,66121794.78710405
2018-08-08,63841340.65742197
2018-08-09,65977793.50565806
2018-08-20,44543352.563766524
2018-08-21,65711260.037837565
2018-09-01,41696938.038699105
2018-09-02,58974578.86960498
2018-09-13,64406831.45685535
2018-09-14,64476787.053729765
2018-09-25,53519553.102628395
2018-09-26,12919278.1407337
2018-10-07,61338666.54353812
2018-10-08,62153591.59730436
2018-10-19,65257270.705301486
2018-10-20,66301900.66025881
2018-10-31,72586978.94628595
2018-11-01,73977256.20169476
2018-11-12,74372494.80541429
2018-11-13,76146199.0404624
2018-11-24,77324506.14804289
2018-12-06,77543683.16090158
2018-12-07,79375835.25683473
2018-12-18,77926319.14377221
2018-12-19,79839298.95546088
2018-12-30,66364145.94998544
2019-01-05,69989473.19630729
2019-01-05,77919512.84154248
2019-01-06,79858124.59504972
2019-01-11,75995617.30247538
2019-01-12,79237433.09334639
2019-01-17,77215821.60682324
2019-01-17,78486617.93056636
2019-01-18,79842721.7209988
2019-01-23,41257144.13965451
2019-01-23,75868777.3007411
2019-01-24,79001768.3752799
2019-01-29,70878332.2253284
2019-01-30,79757162.98802385
2019-02-04,77429828.73793416
2019-02-04,78994939.9885598
2019-02-05,81286776.81103554
2019-02-10,76995167.42935595
2019-02-11,78732153.22921707
2019-02-16,71024790.59606668
2019-02-17,53172605.73833362
2019-02-22,75102043.55441907
2019-02-23,79527972.55594915
2019-02-28,57641527.39712816
2019-02-28,77373765.72249958
2019-03-01,78832806.81673372
2019-03-06,80299971.94579884
2019-03-07,80048151.08602975
2019-03-12,77232801.18463653
2019-03-13,76717016.77205677
2019-03-18,55618638.98353486
2019-03-18,69285265.16407664
2019-03-19,77507993.19240092
2019-03-24,64676991.63069328
2019-03-25,76854366.32556221
2019-03-30,62786659.19919684
2019-03-31,75390619.21883006
2019-04-05,76352728.85183586
2019-04-05,76535668.7704441
2019-04-06,78825981.88439739
2019-04-11,65223006.78580346
2019-04-11,75679456.17635126
2019-04-12,78047154.3825814
2019-04-17,74967127.26084113
2019-04-23,64162940.9167903
2019-04-23,74614929.25182821
2019-04-24,78825981.88439739
2019-04-29,55135197.24932144
2019-04-29,75451405.30294085
2019-04-30,77834445.9210811
2019-05-05,73245283.74389865
2019-05-05,76213899.16401787
2019-05-06,76779749.48767653
2019-05-11,71940100.48631904
2019-05-11,74660406.46136494
2019-05-12,19297317.21747236
2019-05-17,45166081.612174086
2019-05-17,69404447.80850264
2019-05-18,76644126.41292854
2019-05-23,72797885.47738636
2019-05-24,74505473.9490469
2019-05-29,33642257.727951825
2019-05-29,68837109.51599701
2019-05-30,61078299.89306995
2019-06-04,72152232.6938171
2019-06-05,72496634.72483735
2019-06-10,62639562.0066839
2019-06-10,68718157.9957749
2019-06-11,71953458.78760915
2019-06-16,58587746.13082322
2019-06-16,66800249.02221245
2019-06-17,71053091.92292476
2019-06-22,64764932.63655245
2019-06-23,69957955.04491915
2019-06-28,68931313.9381386
2019-07-04,65732507.94828235
2019-07-05,67758422.8563692
2019-07-10,60789310.97962656
2019-07-11,68092813.3970714
2019-07-16,64514212.5296305
2019-07-17,67355366.95166296
2019-07-22,63121568.26230243
2019-07-23,65953255.23620359
2019-07-28,66049784.87160444
2019-07-29,67079314.63566583
