date,value
2018-02-08,3073500
2018-02-11,3103100
2018-02-13,3064200
2018-02-16,3085300
2018-02-18,3085200
2018-02-21,3079400
2018-02-26,3091000
2018-03-28,4455500
2018-04-02,4486500
2018-04-04,4486500
2018-04-19,4794500
2018-04-22,4791700
2018-04-24,4801800
2018-04-27,4803500
2018-04-29,4848000
2018-05-02,4903800
2018-06-16,4440400
2018-06-21,858300
2018-06-23,5124800
2018-06-26,3360200
2018-06-28,5130900
2018-07-01,3598800
2018-07-03,5103900
2018-07-06,3611600
2018-07-08,5090000
2018-07-11,4312900
2018-07-13,5064400
2018-07-16,4357200
2018-07-18,5078900
2018-07-21,5008000
2018-07-23,5101900
2018-07-26,5058700
2018-07-28,5104300
2018-07-31,5141500
2018-08-02,5117500
2018-08-05,5109700
2018-08-07,5099300
2018-08-10,5095200
2018-08-12,5050800
2018-08-15,5050200
2018-08-17,5037400
2018-08-20,5000200
2018-08-22,5029400
2018-08-25,5034400
2018-08-27,5074600
2018-08-30,5097900
2018-09-01,5099300
2018-09-04,5125000
2018-09-06,5153900
2018-09-09,5151100
2018-09-11,5133400
2018-09-16,5130000
2018-09-19,5136300
2018-09-21,5127200
2018-09-24,5120500
2018-09-26,5118900
2018-09-29,5158800
2018-10-01,5104700
2018-10-04,5082400
2018-10-06,5130300
2018-10-09,5072300
2018-10-16,5174600
2018-10-24,5913900
2018-10-29,6183500
2018-11-03,6039700
2018-11-05,6075000
2019-02-06,6427300
2019-02-08,6418900
2019-02-13,6467200
2019-02-21,6554400
2019-02-26,6681800
2019-02-28,6641500
2019-03-03,6590800
2019-03-08,6581500
2019-03-10,6550100
2019-03-13,6502800
2019-03-15,6507300
2019-03-18,6514900
2019-03-20,6516200
2019-03-23,6579000
2019-03-25,6606700
2019-03-28,6639100
2019-03-30,6628800
2019-04-04,6615700
2019-04-12,6561100
2019-04-14,6584200
2019-04-19,6584300
2019-04-22,6610900
2019-04-27,6360000
2019-04-29,6541800
2019-05-02,6537500
2019-05-04,6541000
2019-05-07,6559000
2019-05-12,6656600
2019-05-14,6506400
2019-05-19,6471200
2019-05-22,6501400
2019-05-24,6468800
2019-05-27,6220900
2019-05-29,6420500
2019-06-01,6174400
2019-06-03,6370800
2019-06-06,6352100
2019-06-08,6356300
2019-06-11,5808600
2019-06-13,5730500
2019-06-18,6270400
2019-06-23,6391200
2019-06-26,3641700
2019-06-28,6281200
2019-07-01,3787500
2019-07-03,6179600
2019-07-08,6194600
2019-07-11,6151700
2019-07-13,6172700
2019-07-16,6153800
2019-07-18,6083600
2019-07-21,5905000
2019-07-23,6075100
2019-07-26,6014200
2019-07-28,6057600
2019-07-31,5982700
2019-08-02,6028100
2019-08-05,6034000
2019-08-07,6132100
2019-08-10,6139300
2019-08-12,6131800
2019-08-15,6064500
2019-08-17,6073000
2019-08-20,6099900
2019-08-22,6117500
2019-08-25,6114700
2019-08-27,6101300
2019-08-30,6061200
2019-09-01,6107700
2019-09-04,6061500
2019-09-06,6160200
2019-09-09,6131500
2019-09-11,6164000
2019-09-16,6169500
2019-09-19,6168000
2019-09-24,6151500
2019-09-26,6185900
2019-09-29,6133800
2019-10-01,6129100
2019-10-04,6073000
2019-10-06,6088900
2019-10-09,6056700
2019-10-11,6112200
2019-10-16,6030400
2019-10-21,6040500
2019-10-24,5893800
2019-10-26,5924500
2019-10-29,5863400
2020-02-16,5811300
2020-02-18,5673400
2020-02-21,5709400
2020-02-23,5720800
2020-02-26,5720800
2020-02-28,5741500
2020-03-02,5740600
2020-03-04,5733100
2020-03-07,5686700
2020-03-14,5586200
2020-03-17,5584500
2020-03-24,5508600
2020-03-29,5653000
2020-04-01,5654800
2020-04-03,5690200
2020-04-08,5663300
2020-05-01,5769600
2020-05-03,5865400
2020-05-06,5801300
2020-05-08,5853600
2020-05-18,5794600
2020-05-21,5887500
2020-05-23,5887500
2020-05-26,5592400
2020-05-28,5753200
2020-05-31,5541300
2020-06-07,5702600
2020-06-17,5573000
2020-06-20,4445000
2020-06-22,5593500
2020-06-25,5629400
2020-06-27,5409700
2020-06-30,5437900
2020-07-02,5439200
2020-07-05,3223900
2020-07-07,5416900
2020-07-10,4575100
2020-07-12,5493900
2020-07-15,3752700
2020-07-20,3942600
2020-07-25,3276900
2020-07-27,4663500
2020-07-30,5258800
2020-08-01,5454200
2020-08-04,5360500
2020-08-06,5479000
2020-08-09,5383100
2020-08-11,5467800
2020-08-14,5472500
2020-08-16,5492500
2020-08-19,5445000
2020-08-21,5515700
2020-08-24,5453300
2020-08-26,5480500
2020-08-29,5466200
2020-08-31,5492500
2020-09-03,5465600
2020-09-05,5495400
2020-09-08,5497700
2020-09-10,5492500
2020-09-15,5457100
2020-09-18,5439200
2020-09-20,5420100
2020-09-23,5368500
2020-09-25,5422600
2020-09-28,5413200
2020-10-03,5420700
2020-10-08,5392500
2020-10-13,5409200
2020-10-15,5402800
2020-10-18,5420100
2020-10-25,5338700
2020-10-30,5344400
2020-11-02,5346000
2020-11-12,5640000
2020-11-17,5550300
2020-11-19,5462900
2020-11-22,5461900
2020-11-24,5435400
