date,value
2018-01-04,2839100
2018-01-05,2854000
2018-01-11,2945700
2018-01-16,2904700
2018-01-17,2950200
2018-01-23,2969600
2018-01-28,2860300
2018-01-29,2915000
2018-02-04,2990800
2018-02-09,2824300
2018-02-10,2919700
2018-02-16,2960600
2018-02-21,2736000
2018-02-22,2944300
2018-02-28,3025200
2018-03-05,3304500
2018-03-06,3293900
2018-03-12,3558100
2018-03-17,3689500
2018-03-18,3753300
2018-03-23,3438000
2018-03-24,4004000
2018-03-29,4067000
2018-03-30,4225500
2018-04-04,4001600
2018-04-05,4310400
2018-04-10,4333600
2018-04-11,4513500
2018-04-16,4414300
2018-04-17,4636200
2018-04-22,4586000
2018-04-23,4563300
2018-04-28,4569900
2018-04-29,4570700
2018-05-04,4698000
2018-05-05,4695200
2018-05-11,4739900
2018-05-16,4663700
2018-05-17,4820100
2018-05-22,4730700
2018-05-23,4855200
2018-05-28,4814200
2018-05-29,4869100
2018-06-03,4589400
2018-06-04,4883500
2018-06-09,4636100
2018-06-10,4916200
2018-06-15,4550700
2018-06-16,4856800
2018-06-21,4751600
2018-06-22,4855700
2018-07-03,4743500
2018-07-04,4820300
2018-07-15,4774500
2018-07-16,4748000
2018-07-27,4789100
2018-07-28,4814100
2018-08-08,4853500
2018-08-09,4799900
2018-08-20,4615200
2018-08-21,4788200
2018-09-01,4660700
2018-09-02,4682700
2018-09-13,4880400
2018-09-14,4768100
2018-09-25,4636300
2018-09-26,4063000
2018-10-07,4692300
2018-10-08,4712000
2018-10-19,4910000
2018-10-20,4913900
2018-10-31,5542900
2018-11-01,5875300
2018-11-12,6032700
2018-11-13,6146300
2018-11-24,6107100
2018-12-06,6092400
2018-12-07,6218700
2018-12-18,6129600
2018-12-19,6235400
2018-12-30,5943200
2019-01-05,6121100
2019-01-06,6251800
2019-01-11,6033900
2019-01-12,6193900
2019-01-17,6190900
2019-01-18,6229700
2019-01-23,4111100
2019-01-24,5656300
2019-01-29,5013600
2019-01-30,5154200
2019-02-04,6274900
2019-02-05,6318800
2019-02-10,6122900
2019-02-11,6177500
2019-02-16,5990000
2019-02-17,5512700
2019-02-22,6045300
2019-02-23,6239000
2019-02-28,6028500
2019-03-01,6178500
2019-03-06,6220300
2019-03-07,6249600
2019-03-12,6031100
2019-03-13,6058500
2019-03-18,5805000
2019-03-19,6123300
2019-03-24,5770300
2019-03-25,6104100
2019-03-30,5577600
2019-03-31,6064800
2019-04-05,6157000
2019-04-06,6165400
2019-04-11,5958800
2019-04-12,6183000
2019-04-17,6028900
2019-04-23,6100900
2019-04-24,6235400
2019-04-29,5986800
2019-04-30,6132400
2019-05-05,6005200
2019-05-06,6132400
2019-05-11,5989400
2019-05-12,5409400
2019-05-17,5817000
2019-05-18,5729400
2019-05-23,5946700
2019-05-24,6055100
2019-05-29,5695800
2019-05-30,5726000
2019-06-04,5923600
2019-06-05,5067600
2019-06-10,5677700
2019-06-11,5994100
2019-06-16,5627000
2019-06-17,5936200
2019-06-22,5500300
2019-06-23,5930800
2019-06-28,5801200
2019-07-04,5686200
2019-07-05,5788900
2019-07-10,5555200
2019-07-11,5738700
2019-07-16,5673400
2019-07-17,5793800
2019-07-22,5650400
2019-07-23,5773400
2019-07-28,5691400
2019-07-29,5794500
2019-08-03,5741300
2019-08-04,5783700
2019-08-09,5623900
2019-08-10,5765100
2019-08-15,5667600
2019-08-16,5777800
2019-08-21,5305900
2019-08-22,5592500
2019-08-27,5698700
2019-08-28,5741000
2019-09-02,5515400
2019-09-03,5719600
2019-09-08,5602600
2019-09-09,5771100
2019-09-14,5598700
2019-09-15,5710800
2019-09-20,5550800
2019-09-21,5634500
2019-09-26,5474800
2019-09-27,5704800
2019-10-02,5393600
2019-10-03,5637700
2019-10-08,5149900
2019-10-09,5585000
2019-10-14,5312300
2019-10-15,5644400
2019-10-20,5573000
2019-10-21,5657800
2019-10-26,5307100
2019-10-27,5367800
2019-11-01,5197200
2019-11-02,5612400
2019-11-07,5456800
2019-11-08,5447800
2019-11-13,671800
2019-11-14,3682800
2019-11-19,5456800
2019-11-20,5528700
2019-11-25,5534100
2019-11-26,5520900
2019-12-01,5544200
2019-12-02,5556400
2019-12-07,5446100
2019-12-08,5561900
2019-12-13,816000
2019-12-14,5450400
2019-12-19,5559200
2019-12-20,5697400
2019-12-25,5523300
2019-12-26,5610200
2020-01-01,5554700
2020-01-06,5398100
2020-01-07,5536300
2020-01-12,5321100
2020-01-13,5460100
2020-01-18,5462000
2020-01-19,5568700
2020-01-24,5405800
2020-01-25,5474900
2020-01-30,5425500
2020-01-31,5471700
2020-02-05,4865700
2020-02-06,5017000
2020-02-11,5416700
2020-02-12,5486500
2020-02-17,5272700
2020-02-18,5534600
2020-02-23,5282700
2020-02-24,5492300
2020-02-29,5225600
2020-03-01,5538100
2020-03-06,5335600
2020-03-07,5416300
2020-03-12,5432500
2020-03-13,5460800
2020-03-18,4890600
2020-03-19,4971800
2020-03-24,5416100
2020-03-25,5373900
2020-03-30,5489600
2020-03-31,5429900
2020-04-05,5336500
2020-04-06,5494600
2020-04-11,5360100
2020-04-12,5464200
2020-04-17,5472300
2020-04-18,5532600
2020-04-23,5388900
2020-04-24,5463200
2020-04-29,5541200
2020-04-30,5595100
2020-05-05,5506400
2020-05-06,5533500
2020-05-11,5605700
2020-05-12,5505400
2020-05-17,5528000
2020-05-18,5520700
2020-05-23,5373800
2020-05-24,5496600
2020-05-29,4301400
2020-05-30,5435400
2020-06-04,5210200
2020-06-05,5426800
2020-06-10,5133900
2020-06-11,5401300
2020-06-16,4899900
2020-06-17,5345400
2020-06-22,5132300
2020-06-23,5134900
2020-06-28,4988700
2020-06-29,5295500
2020-07-04,5225600
2020-07-05,5062100
2020-07-10,4994900
2020-07-11,5211500
2020-07-16,4993900
2020-07-17,5098700
2020-07-22,5148800
2020-07-23,5201000
2020-07-28,5115000
2020-07-29,5126100
2020-08-03,5121100
2020-08-04,5062900
2020-08-09,5062500
2020-08-10,4781000
2020-08-15,4686600
2020-08-16,5150300
2020-08-21,5019600
2020-08-22,5128900
2020-08-27,5133000
2020-08-28,5105900
2020-09-02,4909300
2020-09-03,4805200
2020-09-08,4357300
2020-09-09,5071900
2020-09-14,5015200
2020-09-15,5041000
2020-09-20,4967700
2020-09-21,5043000
2020-09-26,4921700
2020-09-27,4506500
2020-10-02,4806500
2020-10-03,4649500
2020-10-08,4752200
2020-10-09,5032900
2020-10-14,4538700
2020-10-15,5048200
2020-10-20,4953000
2020-10-21,5027700
2020-10-26,4978500
2020-10-27,5135000
2020-11-01,4963100
2020-11-02,5101500
2020-11-07,5097400
2020-11-08,5179400
2020-11-13,4936000
2020-11-14,5002500
2020-11-19,4868400
2020-11-20,5024500
2020-11-25,5139300
2020-11-26,5159500
2020-12-01,5186600
2020-12-02,5256800
2020-12-07,5177100
2020-12-13,5229700
2020-12-14,5294800
2020-12-19,5264800
2020-12-20,5280400
2020-12-25,5280000
2020-12-26,5314900
