date,value
2018-02-08,36348334.460727006
2018-02-11,36189682.898110434
2018-02-13,36160705.13216192
2018-02-21,35951255.09722823
2018-03-28,62124073.36984275
2018-04-19,69203940.4638202
2018-06-21,5765297.610032024
2018-06-23,74743540.393166
2018-06-28,78642703.47662099
2018-07-03,75505241.201029
2018-07-06,4929074.606506363
2018-07-08,74918286.90677296
2018-07-13,75477462.59555238
2018-07-18,74430589.33327556
2018-07-21,66760349.11774588
2018-07-23,74992911.99736512
2018-07-26,69374604.84904315
2018-07-28,75251077.36141288
2018-07-31,72263922.7117937
2018-08-02,75825990.60111234
2018-08-05,74137165.93405174
2018-08-07,75558670.42135966
2018-08-10,71002337.14175448
2018-08-12,74400805.51603305
2018-08-15,74490167.9528725
2018-08-17,74107418.24288407
2018-08-20,70970885.06558526
2018-08-22,75084625.49141452
2018-08-25,74111667.68849017
2018-09-01,76125733.28268464
2018-09-04,76709127.80125502
2018-09-19,73528072.1160268
2018-09-21,75197715.07308954
2018-09-24,75451823.59328857
2018-09-29,75528748.6274907
2018-10-01,74203048.87216124
2018-10-04,74132916.03933248
2018-10-06,75012104.99526386
2018-10-24,93441239.24863409
2018-10-29,94055591.99021226
2019-02-06,103097459.03611791
2019-02-08,100838270.52153055
2019-02-13,106054430.99699004
2019-02-26,110143930.10916004
2019-02-28,108439372.50521111
2019-03-03,107442476.41432275
2019-03-10,106940334.07509378
2019-03-13,107204404.17679684
2019-03-15,106512537.87326942
2019-03-25,109894440.77715543
2019-03-28,109645125.3327315
2019-04-12,107273428.42176305
2019-04-14,107580632.62895235
2019-04-27,103787161.46441752
2019-05-07,107656880.09053405
2019-05-14,107425806.07733375
2019-05-19,106237126.29099147
2019-05-27,87310484.27290827
2019-05-29,105997506.76047929
2019-06-08,101499901.50738764
2019-06-18,103337399.90038495
2019-06-23,102188655.60576679
2019-06-28,100758870.77960795
2019-07-03,98979790.52985062
2019-07-08,98195823.9002618
2019-07-11,82382608.43000126
2019-07-13,97076562.21259971
2019-07-16,81657069.14070588
2019-07-18,98330214.54727532
2019-07-21,77718261.05702855
2019-07-23,97344455.71944532
2019-07-26,87183148.2896974
2019-07-28,95214559.3806953
2019-07-31,89772225.74221142
2019-08-02,99460856.65924396
2019-08-05,97325973.02477182
2019-08-10,96532238.22605148
2019-08-15,94407859.45007813
2019-08-17,97638012.86094269
2019-08-20,96882712.0093608
2019-08-27,96166042.07898633
2019-08-30,93943591.76491
2019-09-01,98931026.76927283
2019-09-06,99507374.42540102
2019-09-09,95699130.61959697
2019-09-11,98543501.6960894
2019-09-19,98643238.9284656
2019-09-24,96714343.66409244
2019-09-26,98775496.51367375
2019-09-29,95678446.2793353
2019-10-01,98587567.81379719
2019-10-04,95568153.00054108
2019-10-06,97619513.05961628
2019-10-09,94375818.4211575
2019-10-16,96002658.69016193
2019-10-26,93669478.71838209
2020-02-16,87896516.6602885
2020-02-23,88670034.80356655
2020-03-14,84385206.9330909
2020-03-29,85886255.1570779
2020-05-01,89785747.86082146
2020-05-03,91685003.3040927
2020-05-06,57578002.52912823
2020-05-08,90338435.00875013
2020-05-18,89265598.29547417
2020-05-28,87710734.8633294
2020-06-22,86268907.58282173
2020-06-27,82196103.5910363
2020-07-02,85668466.10987215
2020-07-05,15953561.798926312
2020-07-07,83024295.59290746
2020-07-15,29018588.450403303
2020-07-20,61278531.97588278
2020-07-25,29448064.797983956
2020-07-27,84097902.20827127
2020-07-30,74260445.43238047
2020-08-04,77080894.97537647
2020-08-06,83674126.31637438
2020-08-09,78958817.84362574
2020-08-14,83431634.59401397
2020-08-16,83378756.04952094
2020-08-19,81560771.40975761
2020-08-21,84473668.92667055
2020-08-24,81267716.20685378
2020-08-29,82927505.164806
2020-08-31,83987480.57668586
2020-09-03,83427227.65527588
2020-09-05,84084649.25928895
2020-09-10,83176150.40782213
2020-09-23,78789886.35521047
2020-09-25,82312379.60226943
2020-09-28,81396708.0427152
2020-10-13,82479203.10609475
2020-10-15,80556116.10154593
2020-10-30,80671674.75794192
2020-11-02,80604077.66771674
2020-11-17,78389660.33336218
