date,value
2018-02-11,2538600
2018-02-13,2521100
2018-02-16,2512500
2018-02-21,2498300
2018-03-28,3879000
2018-04-17,4055700
2018-04-19,4119700
2018-04-24,4077600
2018-04-27,4132100
2018-05-19,4080000
2018-05-22,3891400
2018-06-13,3863400
2018-06-21,525700
2018-06-23,3778400
2018-06-28,3694000
2018-07-03,3692600
2018-07-08,3573000
2018-07-13,3554100
2018-07-16,424900
2018-07-18,3464800
2018-07-23,3482200
2018-07-28,3272600
2018-07-31,2443000
2018-08-02,3252800
2018-08-05,2268700
2018-08-07,3208900
2018-08-10,2857000
2018-08-17,3034200
2018-08-20,2757100
2018-08-22,2854000
2018-08-25,2810200
2018-09-01,2691500
2018-09-04,2640000
2018-09-06,2607700
2018-09-19,2225200
2018-09-21,2252100
2018-09-24,2141500
2018-09-29,2094900
2018-10-01,2108800
2018-10-04,2053600
2018-10-06,2053700
2018-10-24,3474400
2018-10-29,3558600
2019-02-06,3529900
2019-02-08,3656300
2019-02-11,4110300
2019-02-13,4120200
2019-02-26,4223100
2019-02-28,4049700
2019-03-03,4037000
2019-03-10,3990600
2019-03-13,4097700
2019-03-15,4110000
2019-03-25,4123700
2019-04-04,4163900
2019-04-12,4097500
2019-04-14,4132900
2019-05-07,4237000
2019-05-12,4214100
2019-05-14,4319300
2019-05-19,4256400
2019-05-22,2181300
2019-05-29,4223400
2019-06-01,2765900
2019-06-06,3813600
2019-06-08,4174200
2019-06-11,2497000
2019-06-18,4197300
2019-06-23,4206300
2019-06-28,4186800
2019-07-01,415400
2019-07-08,4175600
2019-07-11,3723200
2019-07-13,4193400
2019-07-16,2760500
2019-07-18,4163300
2019-07-21,3447400
2019-07-23,4105800
2019-07-26,3385200
2019-07-28,4095900
2019-07-31,3922900
2019-08-02,4115400
2019-08-05,4104400
2019-08-10,4013300
2019-08-15,3986500
2019-08-17,3947700
2019-08-20,3976600
2019-08-22,3854700
2019-08-27,3716800
2019-09-01,3832800
2019-09-06,3675900
2019-09-11,3718700
2019-09-19,3660400
2019-09-24,3695200
2019-09-26,3741000
2019-09-29,3622200
2019-10-01,3691300
2019-10-04,3658700
2019-10-06,3686100
2019-10-09,3595700
2019-10-16,3630500
2019-10-21,3641100
2019-10-26,3620200
2020-02-16,3862500
2020-02-26,3874900
2020-02-28,3851500
2020-03-14,3954700
2020-03-29,3800100
2020-05-01,4126000
2020-05-03,4065000
2020-05-08,4101400
2020-05-18,4099800
2020-05-21,4095000
2020-05-28,4156500
2020-06-17,4111500
2020-06-22,4071200
2020-06-25,295800
2020-06-27,4126000
2020-06-30,1193500
2020-07-02,4056600
2020-07-05,1842600
2020-07-07,4044700
2020-07-10,952400
2020-07-12,4040900
2020-07-15,2289100
2020-07-17,3988400
2020-07-20,2567400
2020-07-22,4013100
2020-07-25,1684800
2020-07-27,3982400
2020-07-30,3092200
2020-08-06,3853000
2020-08-09,3735700
2020-08-14,3869700
2020-08-16,3824200
2020-08-19,3792800
2020-08-21,3717200
2020-08-26,3693000
2020-08-29,3604800
2020-08-31,3594700
2020-09-03,3533200
2020-09-05,3510600
2020-09-10,3548400
2020-09-23,3432100
2020-09-25,3465400
2020-09-28,3359400
2020-10-13,3217000
2020-10-15,3234000
2020-10-18,3158300
2020-10-25,3105400
2020-10-30,3071800
2020-11-02,3018100
2020-11-17,3102400
