date,value
2018-01-04,3300000
2018-01-05,3570400
2018-01-10,3372900
2018-01-11,3241300
2018-01-16,3284900
2018-01-17,3068300
2018-01-22,3143100
2018-01-23,3070600
2018-01-28,3309400
2018-01-29,3309400
2018-02-03,3562600
2018-02-04,3477300
2018-02-09,3665200
2018-02-10,3665200
2018-02-15,3395200
2018-02-16,3109900
2018-02-21,3111700
2018-02-22,3046700
2018-02-27,3318900
2018-02-28,3113400
2018-03-05,3258100
2018-03-06,3177400
2018-03-11,3602300
2018-03-12,3533000
2018-03-17,3706500
2018-03-18,3624700
2018-03-23,4026600
2018-03-24,3988500
2018-03-29,4223600
2018-03-30,4223600
2018-04-04,4102800
2018-04-05,3998300
2018-04-10,4071500
2018-04-11,4071500
2018-04-16,4133100
2018-04-17,4065200
2018-04-22,4121000
2018-04-23,4121000
2018-04-28,4096000
2018-04-29,4056900
2018-05-04,4158700
2018-05-05,4158700
2018-05-10,4088600
2018-05-11,4028600
2018-05-16,4089700
2018-05-17,4025600
2018-05-22,4006300
2018-05-23,4044200
2018-05-28,3989500
2018-05-29,4051600
2018-06-03,4071400
2018-06-04,4034500
2018-06-09,4108300
2018-06-10,4006900
2018-06-15,3948100
2018-06-16,3835300
2018-06-21,3848800
2018-06-22,3882900
2018-06-27,3847300
2018-06-28,3800300
2018-07-03,3947300
2018-07-04,3845200
2018-07-09,3742400
2018-07-10,3640900
2018-07-15,3658100
2018-07-16,3592800
2018-07-21,3803700
2018-07-22,3660900
2018-07-27,3728300
2018-07-28,3610000
2018-08-02,3579800
2018-08-03,3390200
2018-08-08,3289700
2018-08-09,3254700
2018-08-14,3462800
2018-08-15,3330400
2018-08-20,3476600
2018-08-21,3476600
2018-08-26,3138500
2018-08-27,3052100
2018-09-01,3172900
2018-09-02,2993200
2018-09-07,3026400
2018-09-08,2931600
2018-09-13,3165600
2018-09-14,2924500
2018-09-19,2727300
2018-09-20,2550700
2018-09-25,2612200
2018-09-26,2533400
2018-10-01,2887900
2018-10-02,2770700
2018-10-07,3003700
2018-10-08,2836000
2018-10-13,2896000
2018-10-14,2634800
2018-10-19,2698000
2018-10-20,2698000
2018-10-25,3436600
2018-10-26,3351400
2018-10-31,3574400
2018-11-01,3550200
2018-11-06,3829600
2018-11-07,3780300
2018-11-12,3850900
2018-11-13,3779500
2018-11-18,3893100
2018-11-19,3883900
2018-11-24,4105600
2018-11-25,4017000
2018-11-30,4158600
2018-12-01,4107100
2018-12-06,4189800
2018-12-07,4053900
2018-12-12,4163000
2018-12-13,4116400
2018-12-18,4311600
2018-12-19,4213800
2018-12-24,4217300
2018-12-25,4139500
2018-12-30,4227600
2019-01-05,4316500
2019-01-06,4316500
2019-01-06,4169800
2019-01-11,4257500
2019-01-12,4243900
2019-01-17,4314300
2019-01-18,4298000
2019-01-23,4373000
2019-01-24,4325700
2019-01-29,4344800
2019-01-29,4256800
2019-01-30,4350800
2019-02-04,4342300
2019-02-04,4243900
2019-02-05,4280100
2019-02-10,4277800
2019-02-11,4275200
2019-02-16,4382000
2019-02-17,4302300
2019-02-22,4281200
2019-02-22,4167200
2019-02-23,4224800
2019-02-28,4240500
2019-03-01,4211300
2019-03-06,4236200
2019-03-07,4242000
2019-03-12,4275100
2019-03-12,4186900
2019-03-13,4225000
2019-03-18,4219000
2019-03-18,4155800
2019-03-19,4200100
2019-03-24,4247900
2019-03-24,4168200
2019-03-25,4200700
2019-03-30,4205400
2019-03-31,4167300
2019-04-05,4210100
2019-04-06,4204600
2019-04-11,4449000
2019-04-11,4279000
2019-04-12,4315900
2019-04-17,4404900
2019-04-17,4236000
2019-04-18,4236000
2019-04-23,4237200
2019-04-24,4237200
2019-04-24,4159100
2019-04-29,4240600
2019-04-30,4182200
2019-05-05,4209900
2019-05-06,4206300
2019-05-11,4276800
2019-05-12,4199500
2019-05-17,4198800
2019-05-17,4106200
2019-05-18,4193300
2019-05-23,4271800
2019-05-23,4161500
2019-05-24,4197700
2019-05-29,4170400
2019-05-30,4155100
2019-06-04,4205600
2019-06-05,4176000
2019-06-10,4226000
2019-06-11,4238200
2019-06-16,4273300
2019-06-17,4184000
2019-06-22,4232300
2019-06-23,4232300
2019-06-23,4008100
2019-06-28,4054100
2019-06-29,3986200
2019-07-04,4098800
