date,value
2018-01-24,2164500
2018-02-13,2059200
2018-04-14,3169300
2018-04-19,3252600
2018-05-24,3418000
2018-06-08,3286500
2018-06-23,3343100
2018-06-28,3252500
2018-07-03,3290500
2018-07-08,3273200
2018-07-13,3293600
2018-07-18,3278100
2018-07-28,3149300
2018-08-02,3235900
2018-08-07,3219400
2018-08-17,3155600
2018-08-22,3047100
2018-08-27,3026500
2018-09-01,3045000
2018-09-06,2998600
2018-09-16,2987400
2018-09-21,2989000
2018-10-06,2876900
2018-11-30,3290100
2019-02-03,3445300
2019-02-08,3377700
2019-02-13,3362600
2019-02-28,3296000
2019-03-10,3380800
2019-03-15,3374800
2019-03-25,3385200
2019-04-04,3411700
2019-04-14,3355100
2019-05-14,3412900
2019-05-19,3298000
2019-05-29,3239700
2019-06-18,3177200
2019-06-28,3220500
2019-07-08,3169400
2019-07-13,3142100
2019-07-18,3119300
2019-07-23,3060900
2019-07-28,3082500
2019-08-02,3107700
2019-08-17,2978300
2019-09-01,2859500
2019-09-06,2791600
2019-09-16,2736700
2019-09-26,2746900
2019-10-01,2685900
2019-10-06,2684000
2019-10-16,2609800
2019-10-21,2596000
2019-10-26,2599200
2019-11-30,2545900
2020-02-03,2660500
2020-03-04,2663000
2020-05-03,3092300
2020-05-08,3090000
2020-05-13,3140000
2020-05-18,3116500
2020-05-23,3160600
2020-05-28,3138000
2020-06-17,3076100
2020-06-22,3055700
2020-06-27,3083600
2020-07-02,3006200
2020-07-07,3018500
2020-07-17,2930500
2020-07-27,2924600
2020-08-06,2837700
2020-08-16,2795800
2020-08-21,2684200
2020-08-26,2718200
2020-08-31,2610100
2020-09-10,2634100
2020-09-25,2563500
2020-10-25,2374200
2020-10-30,2393400
