date,value
2018-01-05,3674100
2018-01-10,3058500
2018-01-11,2362000
2018-01-17,2345500
2018-01-22,2970500
2018-01-23,2325100
2018-01-29,4028400
2018-02-03,3052900
2018-02-04,3009300
2018-02-10,3609200
2018-02-15,2179700
2018-02-16,2046500
2018-02-22,3281100
2018-02-27,3133000
2018-02-28,2179400
2018-03-06,2836400
2018-03-11,3212400
2018-03-12,2692100
2018-03-18,3213900
2018-03-23,3567600
2018-03-24,3167300
2018-03-29,3279100
2018-03-30,3689900
2018-04-04,3199600
2018-04-05,3102000
2018-04-11,3500400
2018-04-16,3323800
2018-04-17,3199300
2018-04-23,3356400
2018-04-28,3441800
2018-04-29,3346400
2018-05-05,3378300
2018-05-10,3390200
2018-05-11,3245600
2018-05-17,3396600
2018-05-23,3240000
2018-05-29,3628200
2018-06-03,3500400
2018-06-04,3348400
2018-06-10,3687200
2018-06-15,3268000
2018-06-16,3191800
2018-06-22,3231700
2018-06-27,3538900
2018-06-28,3344800
2018-07-04,3991100
2018-07-09,3132700
2018-07-10,3226200
2018-07-16,3561000
2018-07-21,3451800
2018-07-22,3167600
2018-07-28,4014400
2018-08-02,3209300
2018-08-03,3037000
2018-08-09,3749500
2018-08-14,3377300
2018-08-15,3094200
2018-08-21,3403400
2018-08-26,3065300
2018-08-27,3081900
2018-09-02,3256800
2018-09-07,2908200
2018-09-08,3023900
2018-09-14,3024500
2018-09-19,3001300
2018-09-20,2874400
2018-09-26,3715800
2018-10-01,3431700
2018-10-02,2929000
2018-10-08,3475900
2018-10-13,3023000
2018-10-14,2834900
2018-10-20,3509000
2018-10-25,2921500
2018-10-26,2847900
2018-11-01,3370400
2018-11-06,3203700
2018-11-07,3037200
2018-11-13,3469100
2018-11-18,3090200
2018-11-19,3103600
2018-11-25,3601800
2018-11-30,3449500
2018-12-01,3279500
2018-12-06,3235800
2018-12-07,3406200
2018-12-12,3633400
2018-12-13,3433200
2018-12-19,3816000
2018-12-24,3294500
2018-12-25,3298500
2019-01-05,3318800
2019-01-06,3625100
2019-01-11,3453700
2019-01-12,3764100
2019-01-17,3520400
2019-01-18,3597900
2019-01-23,3579900
2019-01-24,3831600
2019-01-29,3725400
2019-01-30,3602200
2019-02-04,3296100
2019-02-05,3472100
2019-02-10,3533800
2019-02-11,3382200
2019-02-16,3613900
2019-02-17,3686200
2019-02-22,3353000
2019-02-23,3408400
2019-02-28,3407000
2019-03-01,3846000
2019-03-06,3529500
2019-03-07,3638900
2019-03-12,3338100
2019-03-13,3532800
2019-03-18,3485500
2019-03-19,3403600
2019-03-24,3400900
2019-03-25,3402100
2019-03-30,3451100
2019-03-31,3354200
2019-04-05,3492000
2019-04-06,3666400
2019-04-11,3408800
2019-04-12,3342200
2019-04-17,3328000
2019-04-18,3356000
2019-04-23,3479000
2019-04-24,3364100
2019-04-29,3261700
2019-04-30,3331100
2019-05-05,3466800
2019-05-06,3309900
2019-05-11,3253500
2019-05-12,3447800
2019-05-17,3647100
2019-05-18,3531300
2019-05-23,3183400
2019-05-24,3223600
2019-05-29,3380400
2019-05-30,3453700
2019-06-04,3506800
2019-06-05,3863600
