date,value
2018-01-05,88019829.47433484
2018-01-10,88019829.47433484
2018-01-10,58780000.28690584
2018-01-11,60393536.569903255
2018-01-16,63596016.9060932
2018-01-17,40769604.455145955
2018-01-22,38145727.45351985
2018-01-23,40406518.65045553
2018-01-28,59327395.61791283
2018-01-29,64217081.26471005
2018-02-03,64197938.08486134
2018-02-04,72583414.6348324
2018-02-09,74428839.27190141
2018-02-10,62035890.11084131
2018-02-15,80897366.13690642
2018-02-15,41185266.47608963
2018-02-16,41439753.32687679
2018-02-21,36036641.593908995
2018-02-22,40283077.029147655
2018-02-27,70487540.27781475
2018-02-27,54490343.23017116
2018-02-28,54862986.58965418
2018-03-05,62705007.34479089
2018-03-06,48830716.14725592
2018-03-11,49962117.57228823
2018-03-12,52188744.586161025
2018-03-17,65026217.871364534
2018-03-18,58804700.52667067
2018-03-23,61642617.627793014
2018-03-24,64223462.79703137
2018-03-29,65398465.7936987
2018-03-30,70871118.5512623
2018-04-04,66668723.06653376
2018-04-05,63465720.32756476
2018-04-10,64923668.11409961
2018-04-11,65530225.39552192
2018-04-16,66992569.70026487
2018-04-17,67602982.11841434
2018-04-22,68741598.6572478
2018-04-23,66950436.59077515
2018-04-28,67537946.63904762
2018-04-29,68951167.19424547
2018-05-04,74038187.36893947
2018-05-05,69394004.47024569
2018-05-10,70603193.41968215
2018-05-10,68362361.63199972
2018-05-11,68908579.35758132
2018-05-16,70828092.7621288
2018-05-17,68751416.87422717
2018-05-22,71354999.22554775
2018-05-23,65909986.8327254
2018-05-28,65270015.05017022
2018-05-29,67625750.04361911
2018-06-03,79155359.2567902
2018-06-04,71969895.29077931
2018-06-09,75815716.40916567
2018-06-10,71876703.77191283
2018-06-15,67089837.625748135
2018-06-16,67420941.53722069
2018-06-22,66594321.039854795
2018-06-27,65668518.38099649
2018-06-28,68006722.16240913
2018-07-03,77876142.09469202
2018-07-04,74941886.01627198
2018-07-09,92997645.24003842
2018-07-09,66798191.57996447
2018-07-10,67879642.89571543
2018-07-15,65900321.75788006
2018-07-16,66203411.54469607
2018-07-21,78178051.4001235
2018-07-21,69285657.86501808
2018-07-22,69900455.10117534
2018-07-27,73309456.98180729
2018-07-28,71926622.20702472
2018-08-02,66464999.92661081
2018-08-03,66636370.55731709
2018-08-08,64856402.60158644
2018-08-09,65289276.665150486
2018-08-14,83792039.97856659
2018-08-14,68280731.89680864
2018-08-15,68908579.35758132
2018-08-20,70722224.59368572
2018-08-21,65568807.86343174
2018-08-26,60150469.5052314
2018-08-27,61532668.3294994
2018-09-01,62977203.32889754
2018-09-02,60577637.40965975
2018-09-07,56481576.97001337
2018-09-08,58474654.82260431
2018-09-13,59805196.24731753
2018-09-14,56972091.00005949
2018-09-19,56283991.28377274
2018-09-20,56755582.65327291
2018-09-25,58536293.026364245
2018-09-26,58456168.078113854
2018-10-01,81827777.04629703
2018-10-01,66820858.18694839
2018-10-02,67342980.1219246
2018-10-07,72777208.43542793
2018-10-08,66833811.81970794
2018-10-13,60081978.154828615
2018-10-14,60359235.77096964
2018-10-19,59123061.16816599
2018-10-20,58983892.8193925
2018-10-25,56648966.20353242
2018-10-26,56908021.3464873
2018-10-31,56314372.294434
2018-11-01,58200658.23339913
2018-11-06,61957161.10557132
2018-11-07,62562754.28049752
2018-11-12,65042246.71584143
2018-11-13,63233975.31907523
2018-11-18,60555784.026570536
2018-11-19,61752640.015732594
2018-11-24,62828390.64254239
2018-11-25,65527010.57166401
2018-11-30,77937860.87199385
2018-11-30,69689815.55449934
2018-12-01,70358752.83678351
2018-12-06,66837050.37401691
2018-12-07,67089837.625748135
2018-12-12,69541851.43147324
2018-12-13,67749397.1677246
2018-12-18,81653241.32867284
2018-12-19,75195517.43024081
2018-12-24,86036742.94182223
2018-12-24,68489776.53694794
2018-12-25,69288940.1690116
2018-12-30,68879101.21185993
2019-01-05,67817764.55805843
2019-01-06,78611087.61309418
2019-01-11,71162625.85132284
2019-01-12,71116219.88325645
2019-01-17,74553604.7604644
2019-01-18,72914316.68036135
2019-01-23,74759469.09246765
2019-01-24,73557662.42716338
2019-01-29,78858936.67027755
2019-01-30,75148148.67389521
2019-02-04,74112217.67805865
2019-02-05,71215675.04775725
2019-02-10,70814856.01569523
2019-02-11,69275811.30051343
2019-02-16,72676946.23449448
2019-02-17,72073124.06424639
2019-02-22,74256992.82955459
2019-02-23,71364954.83296506
2019-02-28,70352150.7173869
2019-03-01,70464418.12431748
2019-03-06,73738982.44781013
2019-03-07,72563377.98607385
2019-03-12,72676946.23449448
2019-03-13,70781768.18104555
2019-03-18,70728839.62615363
2019-03-19,69499128.04991584
2019-03-24,70745378.21545851
2019-03-25,69568147.60334313
2019-03-30,70735454.88905518
2019-03-31,69265965.25723724
2019-04-05,70930708.78502005
2019-04-06,70738762.60691683
2019-04-11,73004659.95421843
2019-04-12,70296042.01951365
2019-04-17,68974103.16525397
2019-04-18,67837302.81502455
2019-04-23,68974103.16525397
2019-04-24,70272943.28453216
2019-04-29,69416995.18879744
2019-04-30,68408090.14864093
2019-05-05,68558421.1577269
2019-05-06,67723359.20358787
2019-05-11,68208927.78187244
2019-05-12,68006722.16240913
2019-05-17,70332345.7437056
2019-05-18,69144573.5874888
2019-05-23,70864498.56568252
2019-05-24,66151785.217905596
2019-05-29,65977657.13655202
2019-05-30,66604023.89720481
2019-06-04,71195779.87371357
2019-06-05,70424786.72066103
2019-06-10,76475264.70890543
2019-06-11,72877522.10768358
2019-06-16,71840105.12360664
2019-06-17,67200138.1351676
2019-06-22,63729594.62125107
2019-06-23,66668723.06653376
2019-06-28,62784088.80921592
2019-06-29,62651253.15601299
2019-07-04,87195967.98527795
2019-07-05,71285324.45937009
2019-07-10,66080823.5140005
2019-07-11,63659612.32306367
2019-07-16,62736635.47581809
2019-07-17,62411150.350197405
2019-07-22,62250221.325177275
2019-07-23,62083145.38526297
2019-07-28,67661533.98058602
2019-07-29,64593995.57426008
2019-08-03,65180155.50544938
2019-08-04,63322826.48622129
2019-08-09,64715549.56732353
2019-08-10,63360919.78052594
2019-08-15,65032629.23258898
2019-08-16,61005930.15766055
2019-08-21,58551706.35613645
2019-08-22,57899508.92968611
2019-08-27,63656431.989983946
2019-08-28,61928827.77994574
2019-09-02,63230802.92254231
2019-09-03,61473012.18753867
2019-09-08,60477760.20627078
2019-09-09,57467244.406442046
2019-09-14,55158163.750151865
2019-09-15,53825557.23636827
2019-09-20,53235207.91047093
2019-09-21,52685813.11386956
2019-09-26,52265557.045047656
2019-09-27,51855394.936938345
2019-10-02,57161405.63075206
2019-10-03,58446925.522315815
2019-10-08,65700695.10063757
2019-10-09,57908719.15062015
2019-10-14,56865323.16264039
2019-10-15,57792096.674356684
2019-10-20,70411578.09821276
2019-10-21,60890149.09627275
2019-10-26,52265557.045047656
2019-10-27,51767028.72915016
2019-11-01,63100785.7126888
2019-11-02,57755286.71829723
2019-11-07,71218991.11137874
2019-11-08,70210260.97160582
2019-11-13,81102621.38393643
2019-11-14,77841861.7543663
2019-11-19,77571244.74841104
2019-11-20,64491700.347552456
2019-11-25,57700088.16414088
2019-11-26,56195920.888377726
2019-12-01,66671958.639128275
2019-12-02,59370773.03718402
2019-12-07,53831532.725364104
2019-12-08,52088361.025757134
2019-12-13,55097875.60982424
2019-12-14,54280398.012222074
2019-12-19,99680518.20823021
2019-12-20,63481604.825185895
2019-12-25,52247827.35860172
2019-12-26,49735645.78656858
2020-01-01,46156086.99154354
2020-01-06,53232232.50541253
2020-01-07,49226041.90387343
2020-01-12,49880775.92004346
2020-01-13,48574535.33070607
2020-01-18,49506661.35576707
2020-01-19,50151136.63950722
2020-01-24,55883534.56937155
2020-01-25,52070653.752909124
2020-01-30,53491324.36651368
2020-01-31,53849460.67464596
2020-02-05,58576370.82729578
2020-02-06,56947680.346991114
2020-02-11,58471573.54733407
2020-02-12,56141282.34472932
2020-02-17,57054505.71579585
2020-02-18,55266744.270216316
2020-02-23,55798726.1761096
2020-02-24,54346348.26696791
2020-02-29,56025999.32984882
2020-03-01,55031587.02167446
2020-03-06,58366846.175687656
2020-03-07,54790788.25934759
2020-03-12,52466650.016341664
2020-03-13,52301023.13862262
2020-03-18,51024042.72898094
2020-03-19,52635434.73253251
2020-03-24,53753870.64115571
2020-03-25,54148587.002707705
2020-03-30,52392685.34591897
2020-03-31,52407475.17086191
2020-04-05,54535370.7534728
2020-04-06,55953234.48770533
2020-04-11,58928259.68848247
2020-04-12,59011716.7164374
2020-04-17,59817625.66614809
2020-04-18,59389366.97421704
2020-04-23,59854919.69436007
2020-04-24,60032184.52035505
2020-04-29,62042190.03976657
2020-04-30,61601770.78312517
2020-05-05,62247067.40117878
2020-05-06,61686617.814074084
2020-05-11,61865882.117351644
2020-05-12,61309852.98124746
2020-05-17,61165654.50449803
2020-05-18,60636968.5373345
2020-05-23,60050855.33137781
2020-05-24,60119333.470372856
2020-05-29,60611984.373280786
2020-05-30,60580759.561259426
2020-06-04,61652045.25473877
2020-06-05,61319261.621991284
2020-06-10,62625963.008795306
2020-06-11,61988648.23928553
2020-06-16,63755049.82934896
2020-06-17,63755049.82934896
2020-06-17,62149325.28131166
2020-06-22,57835052.66218744
2020-06-23,65745752.36997921
2020-06-28,58999349.93661182
2020-06-29,58243727.04851042
2020-07-04,57838121.40188481
2020-07-05,57828915.36472377
2020-07-10,57614262.82597645
2020-07-11,57112527.85066495
2020-07-16,56728159.863869965
2020-07-17,56502870.80736007
2020-07-22,57500923.76984961
2020-07-23,56515040.056544036
2020-07-28,56293104.94582219
2020-07-29,55825980.785052165
2020-08-03,59376970.77524627
2020-08-04,56323487.78828293
2020-08-09,56056328.40804545
2020-08-10,55327101.14005028
2020-08-15,59209716.442366846
2020-08-16,57967063.2193145
2020-08-21,61736918.05812542
2020-08-22,58801612.785337985
2020-08-27,54799811.1140786
2020-08-28,54634480.055431366
2020-09-02,54025870.56763949
2020-09-03,53762829.51954072
2020-09-08,59795874.8145295
2020-09-09,55381443.29903563
2020-09-14,55665552.79258237
2020-09-15,52709526.79804052
2020-09-20,53247110.150087625
2020-09-21,51161765.128241025
2020-09-26,55989612.50617912
2020-09-27,54965328.15935843
2020-10-02,68924958.13498709
2020-10-03,58126853.58914281
2020-10-08,56908021.3464873
2020-10-09,62701844.85840573
2020-10-14,55315027.80320388
2020-10-15,53536042.71871724
2020-10-20,58551706.35613645
2020-10-21,50302543.21517292
2020-10-26,47949159.32159295
2020-10-27,48473927.61501868
2020-11-01,54610447.40374822
2020-11-02,46752838.2645348
2020-11-07,41309729.643910944
2020-11-08,41334097.49124665
2020-11-13,42520978.54685565
2020-11-14,42452585.5966177
2020-11-19,49779168.288398355
2020-11-20,47952021.124423444
2020-11-25,55983548.89158879
2020-11-26,49165367.50031781
2020-12-01,46906019.811878085
2020-12-02,46421585.597168386
2020-12-07,51384757.5896466
2020-12-08,50244289.800564036
2020-12-13,54229456.88250793
2020-12-14,54658516.64507194
2020-12-19,45958743.929477796
2020-12-20,46744333.65129256
2020-12-25,52863762.59485585
2020-12-26,52413391.53615652
