date,value
2018-02-13,506000
2018-02-16,506000
2018-02-18,506000
2018-02-21,506000
2018-03-20,620600
2018-03-25,620600
2018-03-28,620600
2018-04-04,609100
2018-04-07,609100
2018-04-14,617400
2018-04-17,608800
2018-04-19,666700
2018-04-22,666700
2018-04-24,644900
2018-04-27,686200
2018-04-29,680500
2018-05-02,666100
2018-05-04,666100
2018-05-09,661700
2018-05-12,660800
2018-05-14,684700
2018-05-19,678400
2018-05-22,689600
2018-05-24,681800
2018-05-29,695600
2018-06-01,682900
2018-06-03,684600
2018-06-06,653800
2018-06-08,675600
2018-06-11,675600
2018-06-13,654900
2018-06-16,679800
2018-06-23,590100
2018-06-26,590100
2018-06-28,651200
2018-07-01,651200
2018-07-03,641300
2018-07-06,664100
2018-07-08,654100
2018-07-11,678800
2018-07-13,662700
2018-07-16,687000
2018-07-18,662800
2018-07-21,682500
2018-07-23,679600
2018-07-26,668600
2018-07-28,664600
2018-07-31,664600
2018-08-02,669700
2018-08-05,671400
2018-08-07,656800
2018-08-10,676400
2018-08-12,676400
2018-08-15,655500
2018-08-17,660900
2018-08-20,653600
2018-08-22,670600
2018-08-25,670600
2018-08-27,640600
2018-08-30,657100
2018-09-01,652000
2018-09-04,651700
2018-09-06,626500
2018-09-16,632600
2018-09-19,629700
2018-09-21,643800
2018-09-24,643800
2018-09-26,643800
2018-09-29,612500
2018-10-01,634700
2018-10-04,627900
2018-10-06,641700
2018-10-09,641700
2018-10-11,641700
2018-10-14,590800
2018-10-16,600900
2018-10-19,593100
2018-10-24,593100
2018-12-05,594500
2018-12-08,594500
2018-12-10,597000
2019-02-03,598100
2019-02-06,598100
2019-02-08,625500
2019-02-11,625500
2019-02-13,595700
2019-02-21,588900
2019-02-28,568200
2019-03-03,568200
2019-03-10,606100
2019-03-13,605800
2019-03-15,619700
2019-03-18,619700
2019-03-20,619700
2019-03-23,592700
2019-03-25,611400
2019-03-28,597900
2019-03-30,597900
2019-04-02,597900
2019-04-04,622000
2019-04-12,620000
2019-04-14,636000
2019-04-19,626500
2019-04-22,626500
2019-04-24,626500
2019-05-14,655700
2019-05-19,622700
2019-05-22,660900
2019-05-24,651700
2019-05-29,619700
2019-06-01,647700
2019-06-06,605700
2019-06-08,640500
2019-06-11,632600
2019-06-13,653700
2019-06-18,632400
2019-06-28,607800
2019-07-01,607800
2019-07-03,634800
2019-07-08,613400
2019-07-11,629500
2019-07-13,600900
2019-07-16,606400
2019-07-18,593400
2019-07-21,606800
2019-07-23,584600
2019-07-26,605700
2019-07-28,594800
2019-07-31,604600
2019-08-02,595600
2019-08-05,625500
2019-08-07,584800
2019-08-10,617000
2019-08-12,617000
2019-08-15,540200
2019-08-17,597000
2019-08-20,596600
2019-08-22,602300
2019-08-25,602300
2019-08-27,576600
2019-08-30,583000
2019-09-01,576500
2019-09-04,596700
2019-09-06,570100
2019-09-09,593500
2019-09-11,588000
2019-09-16,573700
2019-09-19,570900
2019-09-24,565800
2019-09-26,579900
2019-09-29,569000
2019-10-01,580800
2019-10-04,580800
2019-10-06,556900
2019-10-09,567300
2019-10-11,567300
2019-10-14,554100
2019-10-16,555000
2019-10-19,529100
2019-10-21,547000
2019-10-24,547000
2019-10-26,531100
2019-10-29,540700
2019-10-31,537900
2019-11-03,535600
2019-11-05,536500
2019-11-10,536300
2019-11-13,534800
2019-11-15,533200
2019-11-18,534200
2019-11-30,511900
2019-12-03,511900
2019-12-05,519800
2019-12-08,519800
2019-12-10,513600
2020-02-03,577500
2020-02-06,577500
2020-02-11,556900
2020-02-23,592700
2020-02-26,592700
2020-02-28,592700
2020-03-02,592700
2020-03-04,593700
2020-03-07,557100
2020-03-09,557100
2020-03-12,557100
2020-03-14,597800
2020-03-22,597300
2020-03-29,560100
2020-04-01,560100
2020-04-03,608300
2020-05-03,650100
2020-05-06,650100
2020-05-08,665900
2020-05-11,665900
2020-05-13,652800
2020-05-18,637900
2020-05-21,662600
2020-05-23,658600
2020-05-26,669100
2020-05-28,652600
2020-06-05,660500
2020-06-07,660800
2020-06-17,656100
2020-06-20,655800
2020-06-22,658300
2020-06-25,658300
2020-06-27,680900
2020-06-30,680900
2020-07-02,648500
2020-07-05,666400
2020-07-07,651700
2020-07-10,657000
2020-07-12,657000
2020-07-15,647300
2020-07-17,649600
2020-07-20,637200
2020-07-22,640900
2020-07-25,640900
2020-07-27,656100
2020-07-30,656000
2020-08-01,650100
2020-08-04,653400
2020-08-06,635900
2020-08-09,637600
2020-08-11,636300
2020-08-14,633200
2020-08-16,642400
2020-08-19,636800
2020-08-21,654800
2020-08-24,657300
2020-08-26,637100
2020-08-29,653200
2020-08-31,634400
2020-09-03,652300
2020-09-05,628700
2020-09-08,647700
2020-09-10,615300
2020-09-15,633700
2020-09-18,610400
2020-09-20,616800
2020-09-25,623000
2020-09-28,623000
2020-10-03,604500
2020-10-25,583000
2020-10-28,578200
2020-10-30,586100
2020-11-02,586100
2020-11-07,570200
2020-11-09,570200
