date,value
2018-01-05,7380820.547760144
2018-01-10,8727217.934239514
2018-01-11,7561351.9475728385
2018-01-16,8879868.504105398
2018-01-17,7414557.948895825
2018-01-22,8281670.234952331
2018-01-23,7137227.725563168
2018-01-28,8438713.524726735
2018-01-29,8438713.524726735
2018-02-03,9146731.216475276
2018-02-04,7922199.048831439
2018-02-09,8603848.73333377
2018-02-10,8603848.73333377
2018-02-15,7633975.772623894
2018-02-16,6573922.132148438
2018-02-21,7450601.698462929
2018-02-22,6664908.431727951
2018-02-27,7844069.732173707
2018-02-28,6951395.8641642975
2018-03-05,7952141.018332128
2018-03-06,7293346.68604821
2018-03-11,9995491.119495837
2018-03-12,8471654.110617848
2018-03-17,10100239.205872893
2018-03-18,8870301.694296481
2018-03-23,10708368.59781601
2018-03-24,9621955.241810722
2018-03-29,9071933.808792697
2018-03-30,9071933.808792697
2018-04-04,8389383.920506211
2018-04-05,9678541.040760167
2018-04-10,10007941.796843488
2018-04-11,9309096.54219995
2018-04-16,10690536.40499316
2018-04-17,9379672.511266483
2018-04-22,10127734.074831283
2018-04-23,9047849.859726273
2018-04-28,10467217.90492235
2018-04-29,9374799.429735303
2018-05-04,10969343.920506803
2018-05-05,9365055.830929143
2018-05-10,9168485.388177492
2018-05-10,10240475.401506603
2018-05-11,9226581.706202084
2018-05-16,10386406.420777969
2018-05-17,9270235.147648504
2018-05-22,9233852.44998264
2018-05-23,9708108.489087854
2018-05-28,9151563.969574189
2018-05-29,9811833.933593972
2018-06-03,9229005.072701009
2018-06-04,9209624.15573659
2018-06-09,10446995.222139828
2018-06-10,8975727.78091128
2018-06-15,10037844.75530243
2018-06-16,8698695.529740324
2018-06-22,8504637.97895432
2018-06-27,10060291.724546235
2018-06-28,8968526.292230995
2018-07-03,10363716.29957569
2018-07-04,9221735.617579682
2018-07-09,9076753.190831473
2018-07-10,9129823.366492394
2018-07-15,10175284.586973058
2018-07-16,8872693.070467371
2018-07-21,9943255.429896383
2018-07-22,8686820.497493234
2018-07-27,10082755.60905042
2018-07-28,8791508.442021994
2018-08-02,9841538.044197096
2018-08-03,8575463.190046951
2018-08-08,9582657.300391253
2018-08-09,8523505.315618485
2018-08-14,8689195.065948997
2018-08-15,8848789.10091692
2018-08-20,10325936.664951108
2018-08-21,8601482.062464064
2018-08-26,9491988.953670345
2018-08-27,8469299.775590027
2018-09-01,9772275.617734075
2018-09-02,8639375.151800217
2018-09-07,9460201.626138506
2018-09-08,8429309.88626456
2018-09-13,9440658.087264232
2018-09-14,8464591.76810034
2018-09-19,9737706.359330751
2018-09-20,8523505.315618485
2018-09-25,9661307.423575278
2018-09-26,8375307.683681077
2018-10-01,9863836.004770257
2018-10-02,8592017.576579249
2018-10-07,10165267.707195854
2018-10-08,8727217.934239514
2018-10-13,9804412.641810251
2018-10-14,8646486.362111012
2018-10-19,9834109.175956832
2018-10-20,9834109.175956832
2018-10-25,9799466.166858124
2018-10-26,8492853.060767988
2018-10-31,9599843.471036851
2018-11-01,8530584.203867367
2018-11-06,10067777.807180187
2018-11-07,8829681.600520805
2018-11-12,10187810.36792645
2018-11-13,8841622.154809354
2018-11-18,10070273.58564033
2018-11-19,8958927.342266321
2018-11-24,10336006.68095638
2018-11-25,9173322.016528182
2018-11-30,9212046.018350318
2018-12-01,9043035.66318395
2018-12-06,8090827.664378592
2018-12-07,9543413.6715185
2018-12-12,9779688.69327397
2018-12-13,9580202.98164809
2018-12-18,10361196.208895102
2018-12-19,9122580.37754537
2018-12-24,9137068.295146178
2018-12-25,8944535.423220435
2018-12-30,9958170.486349855
2019-01-05,7848658.337037053
2019-01-06,9955684.119698253
2019-01-11,8079239.560108303
2019-01-12,9457757.937926572
2019-01-17,9973093.08566956
2019-01-18,9683466.834902223
2019-01-23,8172101.156980276
2019-01-24,9416247.851878552
2019-01-29,9572841.298545016
2019-01-29,7910693.060427589
2019-01-30,9484650.222896596
2019-02-04,8269990.554220434
2019-02-05,9617040.031386523
2019-02-10,9752516.693264732
2019-02-11,9141899.324949944
2019-02-16,9540962.7497135
2019-02-17,9355315.652094515
2019-02-22,8162798.888593527
2019-02-23,9553219.482975919
2019-02-28,9846491.674692364
2019-03-01,9435774.334090551
2019-03-06,9752516.693264732
2019-03-07,9506672.160738872
2019-03-12,8083874.129184464
2019-03-13,9187837.065556392
2019-03-18,9311527.200535303
2019-03-18,7504777.810321175
2019-03-19,8906195.169223983
2019-03-24,9416247.851878552
2019-03-24,7317983.15601938
2019-03-25,9009360.50940486
2019-03-30,9472423.262546476
2019-03-31,8999746.82704263
2019-04-05,9590021.529499851
2019-04-06,9482204.405018369
2019-04-11,8065341.235774995
2019-04-12,9455314.462779593
2019-04-17,9671153.935636928
2019-04-17,7713675.8902345
2019-04-18,7713675.8902345
2019-04-23,8715329.76975969
2019-04-24,8715329.76975969
2019-04-29,7894594.160922127
2019-04-30,9168485.388177492
2019-05-05,7608984.9124027705
2019-05-06,9105687.616118275
2019-05-11,9970605.462128619
2019-05-12,9343145.239648862
2019-05-17,8144205.08165598
2019-05-18,9316389.159628363
2019-05-23,8093145.95778106
2019-05-24,9243549.781167984
2019-05-29,9357750.376117589
2019-05-30,9055072.775661012
2019-06-04,9590021.529499851
2019-06-05,8836845.27961468
2019-06-10,9100863.053951304
2019-06-11,8903800.74931497
2019-06-16,7329190.816926239
2019-06-17,8627527.523396678
2019-06-22,6022261.268183511
2019-06-23,8525864.72467005
2019-06-28,6237568.3453776
2019-06-29,6237568.3453776
2019-07-04,7561351.9475728385
2019-07-05,7561351.9475728385
2019-07-05,6931583.608766195
2019-07-10,9173322.016528182
2019-07-11,8424609.394085398
2019-07-16,8509353.490217783
2019-07-16,7110579.124264776
2019-07-17,8347179.152728437
2019-07-22,9045442.6533679
2019-07-23,8436362.283398313
2019-07-28,7075100.026318286
2019-07-29,8349521.9770409055
2019-08-03,8942137.529310316
2019-08-03,7030835.457706448
2019-08-04,8190716.416971361
2019-08-09,8330785.596700324
2019-08-10,8002898.805207952
2019-08-15,6610699.068359032
2019-08-16,7871614.940716083
2019-08-21,6371821.826220474
2019-08-22,7926803.02420594
2019-08-27,8580191.915284807
2019-08-27,7059596.763917
2019-08-28,8223327.498073937
2019-09-02,7083964.185126103
2019-09-03,8193044.329369184
2019-09-08,6887624.756419026
2019-09-09,8088509.595131084
2019-09-14,7039680.8696081955
2019-09-15,8139558.866270754
2019-09-20,8495209.603186032
2019-09-21,8044508.896674785
2019-09-26,6386798.352546658
2019-09-27,7773062.278854635
2019-10-02,6684460.3497108165
2019-10-03,7841775.769365869
2019-10-08,8629896.610107929
2019-10-09,8262985.416395862
2019-10-14,6969022.771834153
2019-10-15,8146528.524873522
2019-10-20,7006529.9360313
2019-10-21,8148852.191746701
2019-10-26,8822519.88232414
2019-10-27,7949836.436804415
2019-11-01,6786878.268308753
2019-11-02,8037568.825212011
2019-11-07,7117238.120362331
2019-11-08,8330785.596700324
2019-11-13,6958004.189019848
2019-11-14,8342494.169804999
2019-11-19,6962410.916058417
2019-11-20,8026006.53245447
2019-11-25,6960207.434841799
2019-11-26,8190716.416971361
2019-12-01,8853568.15364264
2019-12-02,8244314.845914125
2019-12-07,8542386.757318815
2019-12-08,7972892.39335576
2019-12-13,8230321.274655456
2019-12-14,6384658.122377411
2019-12-19,7595365.194570456
2019-12-20,6964614.632645489
2019-12-25,7057382.949203654
2019-12-26,7989044.96523271
2020-01-01,7412307.173730032
2020-01-06,8351865.023226884
2020-01-07,7103922.232051461
2020-01-12,6433944.612296235
2020-01-13,7672652.366990649
2020-01-18,8104740.786387439
2020-01-19,7841775.769365869
2020-01-24,8417560.31508273
2020-01-24,6878844.317204649
2020-01-25,8197700.823870525
2020-01-30,7268738.269266456
2020-01-31,8827294.143218916
2020-02-05,9538512.040367706
2020-02-06,8896618.793381521
2020-02-11,9328547.80397723
2020-02-11,7468645.682329146
2020-02-12,8822519.88232414
2020-02-17,9350446.845528027
2020-02-18,8808202.330691846
2020-02-23,7190625.7511700755
2020-02-24,8580191.915284807
