date,value
2018-02-13,11323938.724219665
2018-04-14,16353943.728933971
2018-04-19,17280756.231055032
2018-05-09,19903673.02699917
2018-05-24,20636257.162937522
2018-06-08,19647901.381425764
2018-06-23,16693166.08346356
2018-06-28,18360904.16868628
2018-07-03,18969673.513834827
2018-07-08,19355646.41743266
2018-07-13,19768719.51321179
2018-07-18,19400237.57637545
2018-07-28,19129855.995565277
2018-08-02,18932257.12868686
2018-08-07,19027553.422934953
2018-08-17,18471952.802202877
2018-08-22,18803214.26508119
2018-08-27,17972552.317253042
2018-09-01,19123029.41190003
2018-09-06,17643587.568483718
2018-09-21,18681269.32057955
2018-10-06,17534440.78876494
2018-11-05,18223285.491297778
2019-02-08,14151040.662165178
2019-02-13,13573404.513048252
2019-02-28,13256749.23241308
2019-03-10,14346611.7927724
2019-03-15,14178481.874121487
2019-03-25,14267039.373474658
2019-04-04,14567832.866862465
2019-04-14,13304366.13699319
2019-05-14,14032359.775983373
2019-05-19,12836968.528558383
2019-05-29,12185156.160066146
2019-06-08,13414725.755762236
2019-06-18,12934070.138181292
2019-06-28,13167640.585414488
2019-07-08,12769454.384674564
2019-07-13,12910505.107488792
2019-07-18,13173574.133848982
2019-07-23,12655279.93966599
2019-07-28,13349065.229052106
2019-08-02,13762933.306787059
2019-08-17,13170607.234063335
2019-08-22,12375880.53680279
2019-09-01,13075799.117946288
2019-09-11,12869305.175363738
2019-09-16,13366960.637312122
2019-09-26,13046224.393382384
2019-10-01,12567715.915238235
2019-10-06,12798791.92077871
2019-10-16,11986955.055367045
2019-10-21,12211098.452570857
2019-10-26,11721751.95991793
2020-03-04,13579406.113057213
2020-03-14,14604826.618044326
2020-03-29,13158742.146429293
2020-05-03,15886626.741059912
2020-05-08,16495775.440579033
2020-05-13,17061149.985351346
2020-05-18,16508692.045244439
2020-05-23,17979221.584689233
2020-05-28,17719809.99136813
2020-06-17,17465116.34531386
2020-06-22,17666772.624892704
2020-06-27,17849338.689508814
2020-07-02,17274185.545283046
2020-07-07,17021929.052458886
2020-07-17,17557571.86407815
2020-07-27,17442031.1375313
2020-08-01,15829365.380534604
2020-08-06,17070960.51804251
2020-08-16,17152797.34102382
2020-08-21,17136418.211588923
2020-08-31,16995800.613302037
2020-09-05,15715075.934874104
2020-09-10,16924025.21151333
2020-09-25,16946850.456611507
2020-10-15,15692889.143120587
2020-10-25,15421271.352864867
2020-10-30,14864768.552605132
