date,value
2018-01-05,10614949.64186531
2018-01-10,12772386.999690292
2018-01-11,11855500.657784985
2018-01-17,9726680.8581817
2018-01-22,11594229.799055217
2018-01-23,10705373.76407581
2018-01-29,13735797.32274433
2018-02-03,11687694.805971365
2018-02-04,12202448.718090912
2018-02-10,9901996.242268067
2018-02-15,9840767.915176826
2018-02-16,9309183.966149077
2018-02-22,9771725.28242212
2018-02-27,10763066.342989296
2018-02-28,10326451.43944112
2018-03-06,11557487.725552712
2018-03-11,15286131.732485764
2018-03-12,11995547.079811381
2018-03-18,13829350.399147118
2018-03-23,16476407.658152573
2018-03-24,16001382.389011532
2018-03-29,14920694.368710687
2018-03-30,13771983.106619254
2018-04-04,14846144.156662825
2018-04-05,13582407.28692413
2018-04-11,15380368.054314613
2018-04-16,14743866.922185736
2018-04-17,14248700.134048915
2018-04-23,13705669.840057801
2018-04-28,15392949.33628933
2018-04-29,15629563.242441576
2018-05-05,14450918.772656666
2018-05-10,15462215.462392919
2018-05-11,15129555.388608547
2018-05-17,15107683.070308978
2018-05-23,15743619.115007518
2018-05-29,16347507.77291947
2018-06-03,17455221.27981665
2018-06-04,16244662.018211713
2018-06-10,14248700.134048915
2018-06-15,15411828.50686658
2018-06-16,15509509.342459107
2018-06-22,14577077.999044074
2018-06-27,16907728.54391374
2018-06-28,16573332.037458785
2018-07-04,15762658.713429628
2018-07-09,13588410.382314432
2018-07-10,16544232.293981882
2018-07-16,14926913.219078157
2018-07-21,16058876.537698552
2018-07-22,15727759.389677493
2018-07-28,15138932.879058724
2018-08-02,15680216.26581722
2018-08-03,14337421.87334137
2018-08-09,14759346.390497344
2018-08-14,16576566.52845027
2018-08-15,16071663.536554966
2018-08-21,14328234.166979162
2018-08-26,14818224.018476479
2018-08-27,15138932.879058724
2018-09-02,15217163.509530144
2018-09-07,13474522.144928629
2018-09-08,15832544.52852653
2018-09-14,15323800.142375145
2018-09-19,15427567.79097603
2018-09-20,15070215.340032684
2018-09-26,14740771.761057112
2018-10-01,16758076.243544811
2018-10-02,15835723.916429754
2018-10-08,15364646.888937885
2018-10-13,15759484.8465181
2018-10-14,15383513.012372335
2018-10-20,15245363.616327606
2018-10-25,14864768.552605132
2018-10-26,15014079.326385623
2018-11-01,15163950.193574117
2018-11-06,16602450.994255561
2018-11-07,15982234.897526838
2018-11-13,15370934.630057087
2018-11-18,15877077.7856581
2018-11-19,16849109.408352636
2018-11-30,15547383.513660606
2018-12-01,14524718.068327619
2018-12-06,11391286.76422484
2018-12-07,10807100.76119799
2018-12-12,14297624.4669066
2018-12-13,13280549.664903654
2018-12-19,12981248.628097406
2018-12-24,11798516.622875117
2018-12-25,12433895.34170898
2019-01-05,12428089.273700058
2019-01-06,12329542.14154551
2019-01-11,13956480.006433433
2019-01-12,12966498.416104704
2019-01-17,14147992.871924164
2019-01-18,13699647.32706265
2019-01-23,14855455.257813362
2019-01-24,13702658.459221093
2019-01-29,14867873.471619189
2019-01-30,14435561.70606114
2019-02-04,12199565.985135302
2019-02-05,12372982.473594645
2019-02-10,13200287.530758113
2019-02-11,13135024.029327385
2019-02-16,14697465.152854908
2019-02-17,13669549.685770946
2019-02-22,12901672.384926455
2019-02-23,12477473.324708665
2019-02-28,13025537.063249279
2019-03-01,12751864.009638656
2019-03-06,13525427.616261218
2019-03-07,13375911.719535647
2019-03-12,12813470.174596557
2019-03-13,12050016.93799477
2019-03-18,13606425.648752535
2019-03-19,12617307.478860268
2019-03-24,13129097.01282664
2019-03-25,12831092.423324464
2019-03-30,12886956.229390338
2019-03-31,11707556.953573572
2019-04-05,14530874.384826401
2019-04-06,13337139.962664818
2019-04-11,13639476.927256802
2019-04-12,12004141.417572133
2019-04-17,12693295.265507707
2019-04-23,14005025.248687614
2019-04-24,12978298.081558146
2019-04-29,11262334.950258756
2019-04-30,11659342.300275942
2019-05-05,13459563.67891776
2019-05-06,12390374.678293755
2019-05-11,11044941.01517311
2019-05-12,12544404.112149572
2019-05-17,14420210.776470372
2019-05-18,11978365.344650922
2019-05-23,10953446.725243531
2019-05-24,11351982.168419302
2019-05-29,12107453.759837003
2019-05-30,11841244.977259796
2019-06-04,12693295.265507707
2019-06-05,10840170.894323088
2019-06-10,12990101.77990961
2019-06-11,11884031.35086862
2019-06-16,10683426.301244935
2019-06-17,9806223.76436161
2019-06-22,10432249.543674568
2019-06-23,10595805.84162725
2019-06-28,9460680.620331155
2019-07-04,11699043.052740537
2019-07-05,11382860.053459415
2019-07-10,11360400.283724796
2019-07-11,10097273.18316819
2019-07-16,10774068.612979494
2019-07-17,11111661.805931555
2019-07-22,10604008.737296777
2019-07-23,10658755.643250585
2019-07-28,11872615.981187234
2019-07-29,11147865.252245182
2019-08-03,10142954.118718198
2019-08-04,9814191.439476324
2019-08-09,12038541.893552294
2019-08-10,11069943.61446301
2019-08-15,9371760.76041842
2019-08-16,9963367.17638922
2019-08-21,11044941.01517311
2019-08-22,10664236.15928829
2019-08-27,11721751.95991793
2019-08-28,10560287.534719046
2019-09-02,10631368.947246118
2019-09-03,10636844.168104652
2019-09-08,11203649.229464566
2019-09-09,10161786.43039144
2019-09-14,11484135.139963552
2019-09-15,11103313.450431192
2019-09-20,11019959.667157445
2019-09-21,11394096.188548042
2019-09-26,10459442.499921715
2019-09-27,10172553.644425957
2019-10-02,12439702.428732516
2019-10-03,11239964.900193006
2019-10-08,11512326.901485702
2019-10-09,11103313.450431192
2019-10-14,12474566.343565254
2019-10-15,11753003.720343558
2019-10-20,12784119.990204053
2019-10-21,11419392.720879132
2019-10-26,10563018.120836651
2019-10-27,10823631.08145025
2019-11-01,13066924.05826022
2019-11-02,11481317.392627373
2019-11-07,12681593.67858488
2019-11-08,11915444.869193332
2019-11-13,13286502.279492635
2019-11-14,13185444.24407856
2019-11-19,11515147.506105894
2019-11-20,10884323.442988155
2019-11-25,12819343.24622849
2019-11-26,12492012.04811622
2019-12-01,12352703.17377874
2019-12-02,11484135.139963552
2019-12-07,10554827.15840771
2019-12-08,11399715.81820083
2019-12-13,12500738.335783118
2019-12-19,12193801.287120776
2019-12-20,12886956.229390338
2019-12-25,10494833.097825509
2019-12-26,10242644.919227337
2020-01-01,11253944.22283511
2020-01-06,11453154.21352421
2020-01-07,10666976.814301843
2020-01-12,11058828.725262316
2020-01-13,10895372.115527287
2020-01-18,12093084.93303537
2020-01-19,12558972.083099103
2020-01-24,13889833.78418642
2020-01-25,14297624.4669066
2020-01-30,15775356.582706576
2020-01-31,15226561.365004234
2020-02-05,13877729.172811378
2020-02-06,13723743.346561614
2020-02-11,14475502.840134501
2020-02-12,13322239.012753053
2020-02-17,13799145.916459193
2020-02-18,13135024.029327385
2020-02-23,13666541.289970057
2020-02-24,12795857.028746687
2020-02-29,14577077.999044074
2020-03-01,13501463.114800455
2020-03-06,14175431.864081316
2020-03-07,13055094.168236475
2020-03-12,12349807.151503408
2020-03-13,12860483.058050964
2020-03-19,13630459.953879306
2020-03-24,13681585.757116016
2020-03-25,12975347.787075005
2020-03-30,13206226.602502985
2020-03-31,13447601.402183596
2020-04-05,14651118.370421367
2020-04-06,14349675.590981593
2020-04-11,13675567.223842377
2020-04-12,14325172.09004574
2020-04-17,13657517.595669989
2020-04-18,13808204.65530489
2020-04-23,14706741.109148294
2020-04-24,14099261.789655814
2020-04-29,15104559.424191855
2020-04-30,14187633.383659862
2020-05-05,14905151.503785495
2020-05-06,14023246.041481694
2020-05-11,14858559.445689572
2020-05-12,14169332.583788957
2020-05-17,14438632.62847175
2020-05-18,13585408.710014427
2020-05-23,14242589.024308437
2020-05-24,14976699.070002597
2020-05-29,13705669.840057801
2020-05-30,14349675.590981593
2020-06-04,15905731.12366163
2020-06-05,15085822.645320747
2020-06-10,15408681.374561068
2020-06-11,14790323.635373319
2020-06-16,15670714.132923301
2020-06-22,13408751.614882233
2020-06-23,14160185.513018157
2020-06-28,13711693.347711716
2020-06-29,13738811.438146606
2020-07-04,13663533.14301053
2020-07-05,13337139.962664818
2020-07-10,13259723.409064598
2020-07-11,14138850.981515862
2020-07-16,13944353.595614364
2020-07-17,13802165.247847244
2020-07-22,14537031.681641983
2020-07-23,14414072.123358738
2020-07-28,13892860.556667581
2020-07-29,13120208.373114346
2020-08-03,14291505.479270319
2020-08-04,13886807.259546798
2020-08-09,12866364.216988947
2020-08-10,13714705.474501781
2020-08-15,14346611.7927724
2020-08-16,13528424.301765094
2020-08-21,14147992.871924164
2020-08-22,13817265.627992941
2020-08-27,12474566.343565254
2020-08-28,14257868.645696852
2020-09-02,14074919.949635299
2020-09-03,13805184.827466972
