date,value
2018-01-04,2600200
2018-01-05,2655300
2018-01-09,2655300
2018-01-10,2669700
2018-01-11,2586200
2018-01-15,2649600
2018-01-16,2691800
2018-01-17,2602100
2018-01-21,2567000
2018-01-22,2680600
2018-01-23,2619200
2018-01-27,2666700
2018-01-28,2721900
2018-01-29,2693400
2018-02-02,2700700
2018-02-03,2809400
2018-02-04,2691800
2018-02-08,2783700
2018-02-09,2685600
2018-02-10,2592700
2018-02-14,2558800
2018-02-15,2670800
2018-02-16,2595400
2018-02-20,2656500
2018-02-21,2687800
2018-02-22,2603400
2018-02-26,2573700
2018-02-27,2674400
2018-02-28,2599500
2018-03-04,2643700
2018-03-05,2806200
2018-03-06,2777100
2018-03-10,2928600
2018-03-11,3201500
2018-03-12,3137800
2018-03-16,3222300
2018-03-17,3324000
2018-03-18,3301500
2018-03-22,3366500
2018-03-23,3619800
2018-03-24,3558400
2018-03-28,3642900
2018-03-29,3676300
2018-03-30,3608300
2018-04-03,3588900
2018-04-04,3689200
2018-04-05,3623300
2018-04-09,3666700
2018-04-10,3671600
2018-04-11,3607100
2018-04-15,3578600
2018-04-16,3682800
2018-04-17,3633500
2018-04-21,3687900
2018-04-22,3720100
2018-04-23,3659500
2018-04-27,3646600
2018-04-28,3700700
2018-04-29,3633200
2018-05-03,3661100
2018-05-04,3684000
2018-05-05,3619900
2018-05-09,3598700
2018-05-10,3671400
2018-05-11,3617000
2018-05-15,3654100
2018-05-16,3679900
2018-05-17,3622000
2018-05-21,3613300
2018-05-22,3633400
2018-05-23,3676600
2018-05-27,3633100
2018-05-28,3649200
2018-05-29,3668400
2018-06-02,3620700
2018-06-03,3642900
2018-06-04,3573800
2018-06-08,3602900
2018-06-09,3634200
2018-06-10,3573700
2018-06-14,3575200
2018-06-15,3685900
2018-06-16,3628800
2018-06-20,3664400
2018-06-21,3657600
2018-06-22,3677500
2018-06-26,3677500
2018-06-27,3635000
2018-06-28,3571700
2018-07-02,3592000
2018-07-03,3611600
2018-07-04,3537000
2018-07-08,3509200
2018-07-09,3579800
2018-07-10,3504900
2018-07-14,3536400
2018-07-15,3536200
2018-07-16,3464800
2018-07-20,3418200
2018-07-21,3510200
2018-07-22,3446000
2018-07-26,3495500
2018-07-27,3497300
2018-07-28,3427000
2018-08-01,3388500
2018-08-02,3459100
2018-08-03,3391000
2018-08-07,3436300
2018-08-08,3449900
2018-08-09,3366500
2018-08-13,3329000
2018-08-14,3403100
2018-08-15,3338700
2018-08-19,3394800
2018-08-20,3418600
2018-08-21,3345300
2018-08-25,3327800
2018-08-26,3405500
2018-08-27,3310000
2018-08-31,3349400
2018-09-01,3349800
2018-09-02,3274400
2018-09-06,3218700
2018-09-07,3365700
2018-09-08,3293200
2018-09-12,3347600
2018-09-13,3360900
2018-09-14,3276900
2018-09-18,3226900
2018-09-19,3326500
2018-09-20,3269600
2018-09-24,3318300
2018-09-25,3363600
2018-09-26,3289200
2018-09-30,3250500
2018-10-01,3343600
2018-10-02,3263700
2018-10-06,3293600
2018-10-07,3330800
2018-10-08,3258700
2018-10-12,3226300
2018-10-13,3321200
2018-10-14,3250000
2018-10-18,3290300
2018-10-19,3353200
2018-10-20,3268800
2018-10-24,3248600
2018-10-25,3350200
2018-10-26,3283700
2018-10-30,3303800
2018-10-31,3347900
2018-11-01,3296600
2018-11-05,3288100
2018-11-06,3381300
2018-11-07,3314200
2018-11-11,3347600
2018-11-12,3375500
2018-11-13,3300800
2018-11-17,3258000
2018-11-18,3364300
2018-11-19,3288200
2018-11-23,3320900
2018-11-24,3392800
2018-11-25,3340600
2018-11-29,3344100
2018-11-30,3473600
2018-12-01,3402600
2018-12-05,3449200
2018-12-06,3472600
2018-12-07,3375700
2018-12-11,3313000
2018-12-12,3440700
2018-12-13,3353500
2018-12-17,3403000
2018-12-18,3458100
2018-12-19,3386700
2018-12-23,3363000
2018-12-24,3455000
2018-12-25,3389100
2018-12-29,3420000
2018-12-30,3420800
2019-01-05,3565600
2019-01-06,3399800
2019-01-10,3399800
2019-01-11,3470200
