date,value
2018-01-27,35974403.67476789
2018-02-01,36001549.45505374
2018-02-06,35752202.779059045
2018-02-11,36412722.213862404
2018-02-13,37480186.53516479
2018-02-16,36369041.26155177
2018-02-18,36257231.06324942
2018-02-21,36358125.20813608
2018-02-26,35390607.39683291
2018-03-20,74538714.06681187
2018-03-25,74814605.39187007
2018-03-28,76070517.42703141
2018-04-02,76496848.30952747
2018-04-04,76864386.33406794
2018-04-07,76948407.02932508
2018-04-14,77630300.81621744
2018-04-17,77795217.51969407
2018-04-19,77140630.4058185
2018-04-22,77140630.4058185
2018-04-24,77618240.75912341
2018-04-27,77048492.80248472
2018-04-29,77698659.21823883
2018-05-02,78258742.73230839
2018-05-04,77184716.09953493
2018-05-07,78057037.20349234
2018-05-09,77988517.89423071
2018-05-12,78331421.81546351
2018-05-14,78598206.63371125
2018-05-19,79437946.5862594
2018-05-22,79413542.14580405
2018-05-29,74121926.86267646
2018-06-01,69274220.11252788
2018-06-03,78537533.03441906
2018-06-06,78537533.03441906
2018-06-08,78537533.03441906
2018-06-11,78537533.03441906
2018-06-13,78230487.95112938
2018-06-16,76684499.87193845
2018-06-21,7806761.739958731
2018-06-23,8631276.722661695
2018-06-26,61528381.66746498
2018-06-28,61528381.66746498
2018-07-01,59939605.44681192
2018-07-03,67829285.54340057
2018-07-06,62806033.55358711
2018-07-08,71103232.87568958
2018-07-11,70976444.7909759
2018-07-13,70815245.30422302
2018-07-16,69680676.99137667
2018-07-18,69905317.61449201
2018-07-21,68551694.48369347
2018-07-23,70164683.60561278
2018-07-26,68910582.18973051
2018-07-28,68619620.75796658
2018-07-31,67473289.1828619
2018-08-02,67177978.79697496
2018-08-05,66177389.853384376
2018-08-07,65992252.023048595
2018-08-10,65133003.28735946
2018-08-12,64791647.3971031
2018-08-15,64210161.06436709
2018-08-17,64758661.57919299
2018-08-22,67975708.4781515
2018-08-25,65022788.37477157
2018-08-27,65015444.10396035
2018-08-30,66600494.8093247
2018-09-01,66600494.8093247
2018-09-04,62582556.525490016
2018-09-06,62629380.897859424
2018-09-09,62629380.897859424
2018-09-11,62694244.17681325
2018-09-16,62233739.35844031
2018-09-21,62111709.252229765
2018-09-24,62172709.01222846
2018-09-26,62172709.01222846
2018-09-29,61771391.25058346
2018-10-01,61771391.25058346
2018-10-29,56558653.348737784
2018-11-03,56565493.05099361
2018-11-05,56551814.06895598
2019-02-03,60172332.84245694
2019-02-06,62075841.327881895
2019-02-08,61821483.37456511
2019-02-11,62928758.230182186
2019-02-13,62928758.230182186
2019-02-16,62370270.732841074
2019-02-21,61225307.718615204
