date,value
2018-01-03,2123300
2018-01-04,2163000
2018-01-09,2339300
2018-01-10,2474700
2018-01-15,2322300
2018-01-16,2314800
2018-01-21,2054000
2018-01-22,2325000
2018-01-27,2159800
2018-01-28,2222100
2018-02-02,2003100
2018-02-03,2247600
2018-02-08,2011600
2018-02-09,1954100
2018-02-14,1822500
2018-02-15,2077900
2018-02-20,1953100
2018-02-21,2090400
2018-02-26,1997900
2018-02-27,2288000
2018-03-04,2523600
2018-03-05,2670700
2018-03-10,2761100
2018-03-11,3032000
2018-03-16,3038900
2018-03-17,3152000
2018-03-22,3131800
2018-03-23,3542700
2018-03-28,3413400
2018-03-29,3570100
2018-04-03,3323800
2018-04-04,3636800
2018-04-09,3556600
2018-04-10,3533500
2018-04-15,3691700
2018-04-16,3818900
2018-04-21,3783800
2018-04-22,3789800
2018-04-27,3671000
2018-04-28,3901000
2018-05-03,3727000
2018-05-04,3830400
2018-05-09,3597600
2018-05-10,3952600
2018-05-15,3757000
2018-05-16,3695900
2018-05-21,3696100
2018-05-22,3731000
2018-05-27,3763100
2018-05-28,3854000
2018-06-02,3718500
2018-06-03,3796800
2018-06-08,3808700
2018-06-09,3798800
2018-06-14,3652600
2018-06-15,3892900
2018-06-20,3456000
2018-06-21,3866900
2018-06-26,3526600
2018-06-27,3773500
2018-07-02,3433600
2018-07-03,3603700
2018-07-08,3545100
2018-07-09,3816800
2018-07-14,2825100
2018-07-15,3333100
2018-07-20,2275900
2018-07-21,3758700
2018-07-26,3595200
2018-07-27,3039200
2018-08-01,3159900
2018-08-02,3623700
2018-08-07,3596500
2018-08-08,3633600
2018-08-13,3214800
2018-08-14,3645900
2018-08-19,2997600
2018-08-20,3462700
2018-08-25,3439200
2018-08-26,3554100
2018-08-31,3012500
2018-09-01,3222300
2018-09-06,3131200
2018-09-07,3560500
2018-09-12,3387800
2018-09-13,2992700
2018-09-18,3357400
2018-09-19,3505200
2018-09-24,3236600
2018-09-25,3457000
2018-09-30,3372700
2018-10-01,3455200
2018-10-06,3352000
2018-10-07,3377400
2018-10-12,3326600
2018-10-13,3422900
2018-10-18,3410700
2018-10-19,3443600
2018-10-24,3377500
2018-10-25,3487600
2018-10-30,3527200
2018-10-31,3546000
2018-11-05,3458400
2018-11-06,3627300
2018-11-11,3504100
2018-11-12,3649200
2018-11-17,3067900
2018-11-18,3616800
2018-11-23,3594500
2018-11-24,3740100
2018-11-29,3530700
2018-11-30,3805400
2018-12-05,3653900
2018-12-06,3716200
2018-12-11,3565800
2018-12-12,3732900
2018-12-17,3631400
2018-12-18,3683600
2018-12-23,3548300
2018-12-24,3763500
2018-12-29,2911100
2018-12-30,3164300
2019-01-04,3141800
2019-01-05,3704600
2019-01-10,3497400
2019-01-11,3577300
2019-01-16,3470000
2019-01-17,3616500
2019-01-22,3407400
2019-01-23,3553200
2019-01-28,3032200
2019-01-29,3579300
2019-02-03,3582200
2019-02-04,3753800
2019-02-09,3473100
2019-02-10,3730500
2019-02-15,3071300
2019-02-16,3617400
2019-02-21,3244600
2019-02-22,3753700
2019-02-27,3481100
2019-02-28,3667400
2019-03-05,3472500
2019-03-06,3722500
2019-03-11,3487100
2019-03-12,3647100
2019-03-17,3253000
2019-03-18,3528000
2019-03-23,1526600
2019-03-24,3421800
2019-03-29,2527400
2019-03-30,3612600
2019-04-04,3234200
2019-04-05,3691800
2019-04-10,3237000
2019-04-11,3641300
2019-04-16,3258700
2019-04-17,3498100
2019-04-22,3148000
2019-04-23,3601500
2019-04-28,2880200
2019-04-29,3511400
2019-05-04,3369100
2019-05-05,3483700
2019-05-10,3306000
2019-05-11,3545000
2019-05-16,3303900
2019-05-17,3541800
2019-05-22,3315300
2019-05-23,3578500
2019-05-28,3396300
2019-05-29,3349900
2019-06-03,3395200
2019-06-04,3412800
2019-06-09,2645300
2019-06-10,3370400
2019-06-15,3197800
2019-06-16,3545000
2019-06-21,3192200
2019-06-22,3359800
2019-06-27,3337600
2019-06-28,3362700
2019-07-03,2998800
2019-07-04,3443000
2019-07-09,2972000
2019-07-10,3263900
2019-07-15,2678300
2019-07-16,3304700
2019-07-21,2796000
2019-07-22,3130800
2019-07-27,2279800
2019-07-28,3306500
