date,value
2018-03-20,51968249.292541094
2018-03-25,51968249.292541094
2018-03-28,55101139.72363836
2018-04-02,54240269.472383544
2018-04-04,54611337.820254475
2018-04-07,54611337.820254475
2018-04-14,53821608.3962309
2018-04-17,55533624.018262915
2018-04-19,56209636.1106393
2018-04-22,56953575.79129244
2018-04-24,56363060.00127704
2018-04-27,56705157.408392385
2018-04-29,57018236.329510964
2018-05-02,55868750.325595334
2018-05-04,55563161.254299864
2018-05-07,55918102.210126035
2018-05-09,55701085.471774824
2018-05-12,53962638.512651004
2018-05-14,55032461.24315676
2018-05-19,55032461.24315676
2018-05-22,51580658.63111703
2018-05-24,56824343.54693027
2018-05-29,18638697.28940197
2018-06-01,19900619.842275925
2018-06-03,55415538.460086845
2018-06-06,19531134.565931335
2018-06-08,19308857.95065615
2018-06-11,17853389.821580213
2018-06-13,44202850.94292936
2018-06-16,12379155.187573565
2018-06-21,3216478.664270857
2018-06-23,52525354.49716695
2018-06-26,4753051.722001059
2018-06-28,4802443.938905378
2018-07-01,5048742.853016711
2018-07-03,49354853.3816184
2018-07-06,5299988.512697133
2018-07-08,51480363.35501416
2018-07-11,20073348.45840776
2018-07-13,52525354.49716695
2018-07-16,21285871.563711815
2018-07-18,52059335.08969605
2018-07-21,34896521.84071082
2018-07-23,53123528.62019254
2018-07-26,46699710.393681906
2018-07-28,52136088.833313085
2018-07-31,51580658.63111703
2018-08-02,52587938.008320436
2018-08-05,52054539.49581795
2018-08-07,51389687.895323314
2018-08-10,51953873.20866704
2018-08-12,51137092.131989546
2018-08-15,51184713.26557735
2018-08-17,50240420.22729125
2018-08-20,49754455.538589865
2018-08-22,49008023.94571852
2018-08-25,48713528.49614168
2018-08-27,46722662.5755336
2018-08-30,47992028.539119355
2018-09-01,47053678.346562214
2018-09-04,47496498.3171223
2018-09-06,45639741.001472615
2018-09-16,41963673.41549231
2018-09-21,42342428.23714069
2018-09-24,42196929.72383077
2018-09-26,42196929.72383077
2018-09-29,41336927.36602862
2018-10-01,41638868.15905881
2018-10-04,40414782.02316899
2018-10-06,40826969.41977387
2018-10-09,40818274.40432003
2018-10-11,40410452.18771152
2018-10-14,40557771.58292471
2018-10-16,42218961.96189196
2018-10-29,44418550.64968935
2018-10-31,44369082.04770821
2018-11-03,45453440.885516465
2018-11-05,46763987.96997981
2018-11-08,46763987.96997981
2019-02-26,48368528.539863
2019-02-28,49491042.08985104
2019-03-03,47718535.56934646
2019-03-10,47284104.898931876
2019-03-13,47371786.05290608
2019-03-15,47159618.14558458
2019-03-18,47159618.14558458
2019-03-20,47159618.14558458
2019-03-23,49218816.14364385
2019-03-25,47459532.74219938
2019-04-04,48084881.110831186
2019-04-12,50136461.89719739
2019-04-14,49101664.29686142
2019-04-19,51256178.498667136
2019-04-22,51256178.498667136
2019-04-24,49655609.37778231
2019-04-29,48210346.93206184
2019-05-02,48210346.93206184
2019-05-07,49914660.30509084
2019-05-09,47081305.54706603
2019-05-12,49125085.653568976
2019-05-14,50652378.88792684
2019-05-19,49895801.90006726
2019-05-22,51767130.20378243
2019-05-24,50714052.466143414
2019-05-29,48191751.07885725
2019-06-01,46970836.01130144
2019-06-06,47155010.06841305
2019-06-08,44693280.04300455
2019-06-11,16783071.199362483
2019-06-13,16783071.199362483
2019-06-18,41954881.5080654
2019-06-21,1725450.3205466538
2019-06-23,2213453.9893149324
2019-06-26,9244354.257539287
2019-06-28,8384961.209902798
2019-07-01,8474675.930383729
2019-07-03,24964942.968300812
2019-07-08,39380999.04427499
2019-07-11,39132791.89126813
2019-07-13,39948242.1837765
2019-07-16,42536740.49089799
2019-07-18,39479601.301988564
2019-07-21,40957484.309149414
2019-07-23,38298716.031724885
2019-07-26,38129388.22906182
2019-07-28,36773186.59616138
2019-07-31,37497108.663680665
2019-08-02,36935885.54902397
2019-08-05,37396340.11683188
2019-08-07,38137847.42782944
2019-08-10,37669507.961959966
2019-08-12,35774231.91071296
2019-08-15,35256384.163905
2019-08-17,33556326.896113165
2019-08-20,35162185.459549114
2019-08-22,34420378.398548044
2019-08-25,33516167.62970575
2019-08-27,31509542.616634756
2019-08-30,33035771.489839043
2019-09-01,29347421.65454799
2019-09-04,29339811.18128474
2019-09-06,29465485.811175197
2019-09-09,29127041.44946767
2019-09-11,28285973.799676348
2019-09-16,26582602.445708778
2019-09-19,25971180.382025138
2019-09-24,25862602.59933059
2019-09-26,25372688.595126484
2019-09-29,25404992.495244037
2019-10-01,25570360.217710633
2019-10-04,24432504.324404847
2019-10-06,24591749.46035483
2019-10-09,23018159.114638876
2019-10-11,24231393.543327842
2019-10-14,22753119.06781974
2019-10-16,22023034.816100847
2019-10-19,22111223.50305654
2019-10-21,22585102.64389511
2019-10-24,21362814.202484135
2019-10-26,21863977.91584352
2019-10-29,21189016.670955073
2019-10-31,21189016.670955073
2019-11-03,21275843.82752817
2019-11-05,21302588.694109734
2019-11-08,20859718.47587961
2020-02-26,47136579.57675143
2020-02-28,48522257.63446385
