date,value
2018-01-04,36777354.74325418
2018-01-05,41867003.32411066
2018-01-10,38192850.67463713
2018-01-11,36510977.814918965
2018-01-16,37977252.16602902
2018-01-17,34197463.11914697
2018-01-22,35113078.68616017
2018-01-23,33536244.8372759
2018-01-28,35955784.82725156
2018-01-29,35955784.82725156
2018-02-03,37884400.98404319
2018-02-04,36785691.60931543
2018-02-09,38974783.83343686
2018-02-10,38974783.83343686
2018-02-15,34266301.797030196
2018-02-16,31313979.630172994
2018-02-21,31921822.385418855
2018-02-22,30916556.091943957
2018-02-27,35362992.075932376
2018-02-28,33283626.73846882
2018-03-05,38923593.387193866
2018-03-06,38226714.72344721
2018-03-11,51189476.362644665
2018-03-12,50160081.16026225
2018-03-17,53729290.11698648
2018-03-18,52044948.84286244
2018-03-23,54245145.32147576
2018-03-24,53292862.43118554
2018-03-29,58056826.42894985
2018-03-30,58056826.42894985
2018-04-04,56958548.62773998
2018-04-05,53549695.99282109
2018-04-10,55135491.92391044
2018-04-11,55135491.92391044
2018-04-16,55799687.230687656
2018-04-17,53719576.12379025
2018-04-22,54870713.03734023
2018-04-23,54870713.03734023
2018-04-28,54035643.54980297
2018-04-29,53292862.43118554
2018-05-04,56898886.15411288
2018-05-05,56898886.15411288
2018-05-10,54298791.33314081
2018-05-11,52713195.226868354
2018-05-16,54860916.290865235
2018-05-17,53258978.27374467
2018-05-22,53075187.47827342
2018-05-23,55086419.99683085
2018-05-28,52669823.35182113
2018-05-29,55066796.16304062
2018-06-03,55410620.42978723
2018-06-04,54542906.430015124
2018-06-09,56595992.17227027
2018-06-10,53802167.65467752
2018-06-15,53637035.79965777
2018-06-16,51752776.597601
2018-06-21,52462801.060638286
2018-06-22,53889673.307633825
2018-06-27,52583122.824497
2018-06-28,51728857.48999326
2018-07-03,54167152.96049661
2018-07-04,52679460.30132223
2018-07-09,52006593.36218069
2018-07-10,50789999.97422552
2018-07-15,51886806.04019949
2018-07-16,50249875.292860754
2018-07-21,51762345.489927985
2018-07-22,50136461.89719739
2018-07-27,51108528.037803374
2018-07-28,49415884.76585515
2018-08-02,49966535.74482315
2018-08-03,47514985.45940138
2018-08-08,47344090.186337955
2018-08-09,46141088.46239573
2018-08-14,47788007.88452613
2018-08-15,46323944.26292871
2018-08-20,47829710.84743067
2018-08-21,47829710.84743067
2018-08-26,44346603.673121884
2018-08-27,43277506.717988014
2018-09-01,45104391.70638425
2018-09-02,42585374.634855464
2018-09-07,42647305.06456819
2018-09-08,41153571.67967563
2018-09-13,43050737.46615129
2018-09-14,40774810.53747071
2018-09-19,41044587.59548154
2018-09-20,39737292.67220889
2018-09-25,40549099.74871049
2018-09-26,39132791.89126813
2018-10-01,41253940.006074436
2018-10-02,40241734.6532634
2018-10-07,41862611.366798826
2018-10-08,40410452.18771152
2018-10-13,41419982.00751408
2018-10-14,39338159.53556679
2018-10-19,41603815.09539342
2018-10-20,41603815.09539342
2018-10-25,43179625.72955012
2018-10-26,41472472.224610284
2018-10-31,43428953.188097805
2018-11-01,42922004.72057979
2018-11-06,49603864.47717563
2018-11-07,48512935.116739795
2018-11-12,51189476.362644665
2018-11-13,49134455.45816212
2018-11-18,50287702.73422839
2018-11-19,49293852.4355168
2018-11-24,52064130.86183679
2018-11-25,49763873.59517224
2018-11-30,51681032.66131588
2018-12-01,50391787.41401577
2018-12-06,52708375.41826381
2018-12-07,49458155.089442015
2018-12-12,52217689.67407422
2018-12-13,50481748.60053543
2018-12-18,55179671.73190557
2018-12-19,52886826.74958372
2018-12-24,53104190.03243532
2018-12-25,51523337.39951732
2018-12-30,52482045.06824797
2019-01-05,55676446.02809589
2019-01-06,55676446.02809589
2019-01-06,50756767.29657319
2019-01-11,53933447.65020571
2019-01-12,52530167.54575946
2019-01-17,53607916.14923156
2019-01-18,53326755.284112155
2019-01-23,54591782.46162654
2019-01-24,53879947.623729356
2019-01-29,54425676.03997675
2019-01-29,52270517.65543514
2019-01-30,54650457.01526475
2019-02-04,54958915.51595268
2019-02-04,51676251.160221055
2019-02-05,52867522.98135488
2019-02-10,51695378.23566997
2019-02-11,52385853.51178126
2019-02-16,54518475.03901951
2019-02-17,53821608.3962309
2019-02-22,55218954.65887168
2019-02-22,51824560.688724376
2019-02-23,53041359.24589128
2019-02-28,51901174.63337797
2019-03-01,51199003.093305804
2019-03-06,50861242.407270685
2019-03-07,51891595.39288633
2019-03-12,54269527.21967673
2019-03-12,50989580.30951553
2019-03-13,52198484.84355903
2019-03-18,51337221.06206267
2019-03-18,49326695.31610916
2019-03-19,51137092.131989546
2019-03-24,51958665.05829687
2019-03-24,49763873.59517224
2019-03-25,51060935.526332796
2019-03-30,51294309.739782006
2019-03-31,50842240.485236816
2019-04-05,51461268.42438356
2019-04-06,51609328.89061996
2019-04-11,56259109.249976516
2019-04-11,52510916.41914009
2019-04-12,53612768.98117776
2019-04-17,55582856.26575136
2019-04-17,51089488.886260554
2019-04-18,51089488.886260554
2019-04-23,52381045.803249225
2019-04-24,52381045.803249225
2019-04-24,49167255.45234619
2019-04-29,51638005.57833909
2019-04-30,49726205.684801996
2019-05-05,50585995.05875805
2019-05-06,50032590.475132525
2019-05-11,50747273.85799502
2019-05-12,49040789.86393697
2019-05-17,49200064.278276235
2019-05-17,45931165.217004344
2019-05-18,48033803.234390244
2019-05-23,48937841.02345926
2019-05-23,45912929.27919919
2019-05-24,47201099.016018905
2019-05-29,46036078.55707157
2019-05-30,46173067.15934195
2019-06-04,46906443.81417923
2019-06-05,46388012.72281323
2019-06-10,45567001.93425615
2019-06-11,45753489.49811816
2019-06-16,45617005.013974756
2019-06-17,43330934.03601636
2019-06-22,42788996.664822206
2019-06-23,42788996.664822206
2019-06-23,37665299.30494113
2019-06-28,38898008.345425844
2019-06-29,36237095.55624763
2019-07-04,38011038.968392655
2019-07-05,38011038.968392655
2019-07-05,36714852.554991
2019-07-10,39974103.70085913
2019-07-11,38247885.90341119
2019-07-16,37471906.26934166
2019-07-16,34916928.63376126
2019-07-17,36565022.38268504
2019-07-22,36906661.83326156
2019-07-23,35342480.46813342
2019-07-28,35877341.484106354
2019-07-29,35992966.32600022
2019-08-03,36515133.94411469
2019-08-03,32308565.63535366
2019-08-04,33870234.73109166
2019-08-09,31392145.86729969
2019-08-10,32896183.493358165
2019-08-15,35297371.83619789
2019-08-16,31540878.274369437
2019-08-21,28218519.129735604
2019-08-22,28038957.880897503
2019-08-27,31251503.26958352
2019-08-27,28729784.339185588
2019-08-28,29870632.78835141
2019-09-02,30741873.854359295
2019-09-03,28537625.848617904
2019-09-08,28334731.47027457
2019-09-08,25689260.150232315
2019-09-09,26472999.088030174
2019-09-14,26853738.043654058
2019-09-15,25333228.577055953
2019-09-20,26776681.342561632
2019-09-21,24865202.98104593
2019-09-26,24836735.44030133
2019-09-27,24048509.563708797
2019-10-02,25114854.88375099
2019-10-02,23506697.237469506
2019-10-03,25606366.994660422
2019-10-08,28270978.25706597
2019-10-09,26014662.877021063
2019-10-14,26370867.544953734
2019-10-15,26414618.69989888
2019-10-20,30970983.1081376
2019-10-21,27878493.91815189
2019-10-26,26272534.478902947
2019-10-27,23284436.35491008
2019-11-01,22976772.721843176
2019-11-01,20595141.35371297
2019-11-02,23691401.45669928
2019-11-07,29009527.041922923
2019-11-07,25272293.668376736
2019-11-08,27792816.961248465
2019-11-13,30648873.360797025
2019-11-14,29698363.739097856
2019-11-19,30486396.20493367
2019-11-20,27085443.904917657
2019-11-25,24623648.567602552
2019-11-25,21376206.964673962
2019-11-26,24277201.862698484
2019-12-01,27990406.33121147
2019-12-02,25211417.987224873
2019-12-07,24858084.8622496
2019-12-08,23496259.73056673
2019-12-13,25660415.48725811
2019-12-14,22900975.744789753
2019-12-19,26338073.386644185
2019-12-20,23510176.82209265
2019-12-25,25397812.417502504
2019-12-26,25265128.748909585
2020-01-01,31792015.750793267
2020-01-06,36940061.127468474
2020-01-07,32597870.05029898
2020-01-12,32645526.49739416
2020-01-13,31717375.440943483
2020-01-18,32848379.668036763
2020-01-19,32732969.59763343
2020-01-24,34656085.39802561
2020-01-24,31925759.251066618
2020-01-25,34831252.45696615
2020-01-30,39342442.639753744
2020-01-31,42016440.4691419
2020-02-05,45890138.46631026
2020-02-06,46182205.57189564
2020-02-11,47284104.898931876
2020-02-11,45448900.82209917
2020-02-12,46984638.976402946
2020-02-17,47113545.55073649
2020-02-18,46924837.94750974
2020-02-23,48545567.090958275
2020-02-23,46150224.320690244
2020-02-24,47390253.59476248
2020-02-29,50353928.392104134
2020-02-29,46475019.91689422
2020-03-01,48956552.501004525
2020-03-06,51118048.6869749
2020-03-06,47834345.416028656
2020-03-07,48690186.526069164
2020-03-12,48503613.32184091
2020-03-12,45077238.68106636
2020-03-13,47316400.85588524
2020-03-18,47899248.400668524
2020-03-19,46378857.89816544
2020-03-24,49167255.45234619
2020-03-25,49167255.45234619
2020-03-25,47806540.72253208
2020-03-30,50056189.98331987
2020-03-31,49406493.34123682
2020-04-05,51695378.23566997
2020-04-06,50405987.50719281
2020-04-11,51987419.90087913
2020-04-11,50188430.200912744
2020-04-12,52044948.84286244
2020-04-17,53041359.24589128
2020-04-17,51094248.40578819
2020-04-18,52366623.74597089
2020-04-23,53234780.62850202
2020-04-24,52506104.08239189
2020-04-29,55410620.42978723
2020-04-30,53748720.229512036
2020-05-05,55878619.2957991
2020-05-06,54152534.43415582
2020-05-11,55878619.2957991
2020-05-11,52559049.5742219
2020-05-12,53972370.21641927
2020-05-17,54201269.04673688
2020-05-18,52616832.847375885
2020-05-23,52419512.45666472
2020-05-24,52896479.700036615
2020-05-29,54738516.525953986
2020-05-29,52780691.21845461
2020-05-30,54303669.30427159
2020-06-04,56506738.30760139
2020-06-05,54934409.09343757
2020-06-10,55356533.72169673
2020-06-11,55390950.0699131
2020-06-16,55425375.04906227
2020-06-17,55706013.88837804
2020-06-22,55449969.603554465
2020-06-23,55449969.603554465
2020-06-23,50851741.08811005
2020-06-28,53472108.83246334
2020-06-29,51399229.64288893
2020-07-04,51657126.94104275
2020-07-05,50889750.66221874
2020-07-10,51222823.04954692
2020-07-11,50410721.230342194
2020-07-16,51241882.23333301
2020-07-16,48788253.13281089
2020-07-17,50056189.98331987
2020-07-22,52097706.2579104
2020-07-23,50160081.16026225
2020-07-28,51189476.362644665
2020-07-29,48914455.735607915
2020-08-03,48308022.649090014
2020-08-03,46805328.10571485
2020-08-04,48401121.2920846
2020-08-09,49476946.580969006
2020-08-10,47053678.346562214
2020-08-15,47459532.74219938
2020-08-15,44688770.77257683
2020-08-16,46846682.98022532
2020-08-21,49542739.48263145
2020-08-21,46681351.92489138
2020-08-22,47815808.2288597
2020-08-27,45903812.40610696
2020-08-27,43050737.46615129
2020-08-28,45485226.453022376
2020-09-02,43853243.17527927
2020-09-03,43273055.642161
2020-09-08,45430742.39842281
2020-09-09,43795084.15867502
2020-09-14,43759309.47609259
2020-09-15,42713699.389400825
2020-09-20,42025237.57931782
2020-09-21,41568773.94495094
2020-09-26,43898002.070931226
2020-09-26,40536093.40041467
2020-09-27,42324781.29128185
2020-10-02,43295312.86858662
2020-10-02,41796754.31980824
2020-10-03,44148992.23350621
2020-10-08,45489767.980278745
2020-10-09,42139667.6254885
2020-10-14,41524989.26281896
2020-10-14,38082876.17188384
2020-10-15,40267672.65576411
2020-10-20,41867003.32411066
2020-10-21,40445096.11243524
2020-10-26,39750194.99489537
2020-10-26,37530722.49121778
2020-10-27,39621247.83984985
2020-11-01,39836253.66571717
2020-11-01,36075647.38644871
2020-11-02,36915010.5139112
2020-11-07,34513770.74907793
2020-11-08,35371198.063604854
2020-11-13,38311427.81975613
2020-11-13,35650658.53697651
2020-11-14,36104603.84064619
2020-11-19,36998539.22255197
2020-11-19,34684576.67902891
2020-11-20,36589976.90776756
2020-11-25,37631636.88017107
2020-11-26,37270533.3509843
2020-12-01,37627429.93105878
2020-12-01,34974093.26115741
2020-12-02,37757933.58459975
2020-12-07,41101244.76583076
2020-12-08,38366531.90259909
2020-12-13,39612657.3746743
