date,value
2018-01-02,6258000
2018-01-03,6295800
2018-01-04,6295800
2018-01-07,6295800
2018-01-08,6267400
2018-01-09,6267400
2018-01-10,6300800
2018-01-13,6169000
2018-01-14,6348700
2018-01-15,6394900
2018-01-16,6394900
2018-01-19,6309200
2018-01-20,6418700
2018-01-21,6429700
2018-01-22,6429700
2018-01-25,6341200
2018-01-26,6476200
2018-01-27,6443300
2018-01-28,6443300
2018-01-31,6332200
2018-02-01,6471400
2018-02-02,6482500
2018-02-03,6482500
2018-02-06,6378600
2018-02-07,6557000
2018-02-08,6486800
2018-02-09,6514300
2018-02-12,6413200
2018-02-13,6508100
2018-02-14,6520900
2018-02-15,6520900
2018-02-18,6441500
2018-02-19,6574300
2018-02-20,6520000
2018-02-21,6520000
2018-02-24,6392300
2018-02-25,6538100
2018-02-26,6513400
2018-02-27,6513400
2018-03-02,6406300
2018-03-03,6548200
2018-03-04,6556800
2018-03-05,6556800
2018-03-08,6513000
2018-03-09,6593000
2018-03-10,6577700
2018-03-11,6585700
2018-03-14,6519400
2018-03-15,6627000
2018-03-16,6591700
2018-03-17,6591700
2018-03-20,6524800
2018-03-21,6577600
2018-03-22,6584100
2018-03-23,6584100
2018-03-26,6486700
2018-03-27,6546100
2018-03-28,6552200
2018-03-29,6552200
2018-04-01,6348900
2018-04-02,6566700
2018-04-03,6577600
2018-04-04,6577600
2018-04-07,6481900
2018-04-08,6636300
2018-04-09,6595400
2018-04-10,6595400
2018-04-13,6523600
2018-04-14,6581200
2018-04-15,6586800
2018-04-16,6586800
2018-04-19,6517000
2018-04-20,6576500
2018-04-21,6576500
2018-04-22,6581800
2018-04-25,6513400
2018-04-26,6563900
2018-04-27,6565700
2018-04-28,6565700
2018-05-01,6480100
2018-05-02,6555400
2018-05-03,6572000
2018-05-04,6572000
2018-05-07,6421700
2018-05-08,6559500
2018-05-09,6571400
2018-05-10,6571400
2018-05-13,6462200
2018-05-14,6558300
2018-05-15,6576600
2018-05-16,6576600
2018-05-19,6525800
2018-05-20,6641500
2018-05-21,6586300
2018-05-22,6586300
2018-05-25,6517800
2018-05-26,6557100
2018-05-27,6575600
2018-05-28,6575600
2018-05-31,6509400
2018-06-01,6547900
2018-06-02,6559400
2018-06-03,6559400
2018-06-06,6508000
2018-06-07,6531900
2018-06-08,6546600
2018-06-09,6546600
2018-06-12,6500700
2018-06-13,6575500
2018-06-14,6554100
2018-06-15,6564300
2018-06-18,6504500
2018-06-19,6562100
2018-06-20,6565100
2018-06-25,6570000
2018-06-26,6578600
2018-06-27,6578600
2018-06-30,6578600
2018-07-01,6534100
2018-07-02,6545300
2018-07-03,6545300
2018-07-06,6430700
2018-07-07,6555500
2018-07-08,6539000
2018-07-09,6539000
2018-07-12,6340000
2018-07-13,6500500
2018-07-14,6500500
2018-07-15,6500500
2018-07-18,6511500
2018-07-19,6564500
2018-07-20,6510300
2018-07-21,6510300
2018-07-24,6556100
2018-07-25,6522400
2018-07-26,6528700
2018-07-27,6528700
2018-07-30,6431000
2018-07-31,6491500
2018-08-01,6505600
2018-08-02,6505600
2018-08-05,6372800
2018-08-06,6498100
2018-08-07,6519400
2018-08-08,6519400
2018-08-11,6424200
2018-08-12,6542500
2018-08-13,6543800
2018-08-14,6543800
2018-08-17,6402000
2018-08-18,6517900
2018-08-19,6522000
2018-08-20,6522000
2018-08-23,5754600
2018-08-24,6517600
2018-08-25,6536400
2018-08-26,6536400
2018-08-30,6537100
2018-08-31,6540000
2018-09-01,6540000
2018-09-04,6393900
2018-09-05,6500700
2018-09-06,6504600
2018-09-07,6504600
2018-09-10,6214000
2018-09-11,6487900
2018-09-12,6493700
2018-09-13,6493700
2018-09-16,6287500
2018-09-17,6478800
2018-09-18,6482600
2018-09-19,6482600
2018-09-22,6308000
2018-09-23,6468600
2018-09-24,6468600
2018-09-25,6468600
2018-09-28,6524800
2018-09-29,6563200
2018-09-30,6474200
2018-10-01,6474200
2018-10-04,6519600
2018-10-05,6475100
2018-10-06,6489500
2018-10-07,6489500
2018-10-10,6286400
2018-10-11,6524000
2018-10-12,6514300
2018-10-13,6514300
2018-10-16,6409200
2018-10-17,6524700
2018-10-18,6533600
2018-10-19,6533600
2018-10-22,6464400
2018-10-23,6550500
2018-10-24,6546100
2018-10-25,6546100
2018-10-28,6456200
2018-10-29,6558700
2018-10-30,6580100
2018-10-31,6580100
2018-11-03,6491100
2018-11-04,6572200
2018-11-05,6586300
2018-11-06,6586300
2018-11-09,6530000
2018-11-10,6560000
2018-11-11,6581300
2018-11-12,6581300
2018-11-15,6533400
2018-11-16,6570000
2018-11-17,6583500
2018-11-18,6583500
2018-11-21,6544700
2018-11-22,6580900
2018-11-23,6588600
2018-11-24,6588600
2018-11-27,6540700
2018-11-28,6608300
2018-11-29,6584900
2018-11-30,6584900
2018-12-03,6525600
2018-12-04,6585200
2018-12-05,6591400
2018-12-06,6591400
2018-12-09,6517600
2018-12-11,6626400
2018-12-12,6626400
2018-12-15,6401300
2018-12-16,6580400
2018-12-17,6595300
2018-12-18,6595300
2018-12-21,6595300
2018-12-22,6570400
2018-12-23,6575700
2018-12-24,6575700
2018-12-27,6522200
2018-12-28,6545000
2018-12-29,6553600
2018-12-30,6553600
2019-01-03,6600800
2019-01-04,6618300
2019-01-05,6618300
2019-01-08,6618300
2019-01-09,6570100
2019-01-10,6573200
2019-01-11,6573200
2019-01-14,6463300
2019-01-15,6523600
2019-01-16,6544700
2019-01-17,6544700
2019-01-20,6449700
2019-01-21,6540200
2019-01-22,6552200
2019-01-23,6552200
2019-01-26,6456600
2019-01-27,6563900
2019-01-28,6563900
2019-01-29,6574300
2019-02-02,6577200
2019-02-03,6582700
2019-02-04,6582700
2019-02-08,6572200
2019-02-09,6575000
2019-02-10,6575000
2019-02-13,6454200
2019-02-14,6569800
2019-02-15,6573000
2019-02-16,6573000
2019-02-19,6430800
2019-02-20,6556600
2019-02-21,6560900
2019-02-25,6467000
2019-02-26,6555700
2019-02-27,6558800
2019-02-28,6558800
2019-03-03,6468300
2019-03-04,6553900
2019-03-05,6556200
2019-03-06,6556200
2019-03-09,6396200
2019-03-10,6538500
2019-03-11,6548300
2019-03-12,6548300
2019-03-15,6358900
2019-03-16,6570500
2019-03-17,6546600
2019-03-18,6546600
2019-03-21,6368300
2019-03-22,6547800
2019-03-23,6548600
2019-03-24,6548600
2019-03-27,6047800
2019-03-28,6534800
2019-03-29,6540000
2019-03-30,6540000
2019-04-02,6031700
2019-04-03,6530400
2019-04-04,6538400
2019-04-05,6538400
2019-04-08,6399000
2019-04-09,6538500
2019-04-10,6538500
2019-04-11,6539700
2019-04-14,6329100
2019-04-15,6545200
2019-04-16,6548300
2019-04-17,6548300
2019-04-20,6310100
2019-04-21,6595200
2019-04-22,6559200
2019-04-23,6559200
2019-04-26,6421600
2019-04-27,6551400
2019-04-28,6555100
2019-04-29,6555100
2019-05-02,6376600
2019-05-03,6605800
2019-05-04,6553700
2019-05-05,6553700
2019-05-08,6352600
2019-05-09,6531600
2019-05-10,6537000
2019-05-11,6537000
2019-05-14,6360100
2019-05-15,6538300
2019-05-16,6549700
2019-05-17,6549700
2019-05-20,6354900
2019-05-21,6567100
2019-05-22,6569100
2019-05-23,6569100
2019-05-26,6342700
2019-05-27,6548800
2019-05-28,6558000
2019-05-29,6558000
2019-06-01,6368200
2019-06-02,6524500
2019-06-03,6534000
2019-06-04,6534000
2019-06-08,6533600
2019-06-09,6525500
2019-06-10,6525500
2019-06-13,6389500
2019-06-14,6540500
2019-06-15,6543400
2019-06-16,6543400
2019-06-19,6321000
2019-06-20,6577500
2019-06-21,6546300
2019-06-22,6546300
2019-06-25,6288400
2019-06-26,6493500
2019-06-27,6494600
2019-06-28,6494600
2019-07-01,6294300
2019-07-02,6478500
2019-07-03,6467800
2019-07-04,6467800
2019-07-07,6245100
2019-07-08,6467300
2019-07-09,6467300
2019-07-10,6473600
2019-07-13,6303300
2019-07-14,6487500
2019-07-15,6475600
2019-07-16,6475600
2019-07-19,6281400
2019-07-21,6526200
2019-07-22,6224800
2019-07-25,6231300
2019-07-26,6519600
2019-07-27,6519600
2019-07-28,6356200
2019-07-31,6356200
2019-08-01,6505300
2019-08-02,6505300
2019-08-03,6505800
2019-08-06,6263600
2019-08-07,6517400
2019-08-08,6448600
2019-08-09,6448600
2019-08-12,6123100
2019-08-13,6450400
2019-08-14,6457900
2019-08-15,6457900
2019-08-18,6240400
2019-08-19,6487700
2019-08-20,6492100
2019-08-21,6492100
2019-08-24,6181800
2019-08-25,6438200
2019-08-26,6440900
2019-08-27,6440900
2019-08-30,6203200
2019-08-31,6461300
2019-09-01,6444800
2019-09-02,6444800
2019-09-05,6263600
2019-09-06,6466000
2019-09-07,6468800
2019-09-08,6468800
2019-09-11,6229100
2019-09-12,6484400
2019-09-13,6488200
2019-09-14,6488200
2019-09-17,6224000
2019-09-18,6434300
2019-09-19,6436700
2019-09-20,6436700
2019-09-23,6211200
2019-09-24,6424400
