date,value
2018-03-19,7580049.92635524
2018-04-18,7682559.875780829
2018-06-22,7676163.417215715
2018-06-27,7608387.64303063
2018-07-07,7489877.231842356
2018-07-12,7518023.354498604
2018-07-17,7486198.992155085
2018-07-27,7415461.94138461
2018-08-06,7272803.652485156
2018-08-11,7458120.581718671
2018-08-16,7313958.286313268
2018-08-26,7275129.642737882
2018-09-20,6977039.759324005
2018-10-25,7543590.770615484
2018-10-30,7483834.950785651
2019-02-22,7533832.441257211
2019-02-27,7534887.050299619
2019-03-24,7580049.92635524
2019-03-29,7730362.168114628
2019-04-13,7550980.216223451
2019-05-13,7635988.350429104
2019-06-02,7671368.05685069
2019-06-17,7535414.386226823
2019-06-22,7596992.378471071
2019-06-27,7561279.499081367
2019-07-12,7525925.542798076
2019-07-22,7564185.86507654
2019-08-16,7401099.239465812
2019-08-31,7034722.605776771
2019-09-05,7345365.531359591
2019-10-25,7597787.082497716
2019-10-30,7764916.201595654
2020-03-08,7635722.689002785
2020-03-13,7803053.54936425
2020-03-18,7425655.976443539
2020-05-17,7520920.276681992
2020-05-22,7443972.893233263
2020-06-16,7418859.070294569
2020-06-21,7515653.616390281
2020-07-16,7412326.913549218
2020-07-26,7407625.781939203
2020-07-31,7396923.965036504
2020-08-05,7345105.654426262
2020-08-15,7336272.942286971
2020-08-25,7283144.61705477
2020-09-04,7200907.159412996
2020-09-14,7050708.813206988
2020-10-24,6874740.04854016
