date,value
2018-01-01,4300
2018-01-03,84300
2018-01-11,81400
2018-01-18,305400
2018-01-21,305400
2018-01-23,426800
2018-01-28,267300
2018-01-31,183300
2018-02-02,183300
2018-02-07,19900
2018-02-10,100
2018-02-12,13500
2018-03-19,8400
2018-03-27,419600
2018-04-11,486800
2018-04-18,421600
2018-04-21,421300
2018-04-26,719400
2018-05-11,1306200
2018-05-18,1306200
2018-05-21,1306200
2018-06-17,9600
2018-06-20,1424100
2018-06-25,1870500
2018-06-27,1138900
2018-06-30,1787600
2018-07-02,1691900
2018-07-05,1701800
2018-07-07,443400
2018-07-10,1693400
2018-07-12,1100300
2018-07-15,1599500
2018-07-17,1462600
2018-07-20,1473200
2018-07-25,1526000
2018-07-27,245600
2018-07-30,309800
2018-08-01,281600
2018-08-04,308300
2018-08-06,247500
2018-08-11,309500
2018-08-19,1867200
2018-08-21,1269300
2018-08-24,1870200
2018-08-26,1854900
2018-08-29,1828300
2018-08-31,1034200
2018-09-03,158700
2018-09-05,25700
2018-09-08,3600
2018-09-10,700
2018-09-13,42500
2018-09-18,759000
2018-09-20,963700
2018-09-23,363500
2018-09-25,530000
2018-09-28,530000
2018-09-30,518900
2018-10-03,36600
2018-10-05,1610200
2018-10-13,10200
2018-10-20,4400
2018-10-23,2300
2018-10-25,364700
2018-10-30,364700
2018-11-04,1534000
2018-11-12,1532700
2018-11-14,1092300
2018-11-17,911300
2018-11-22,1189300
2018-11-24,1707200
2018-11-27,1673100
2018-12-02,1634000
2018-12-04,65800
2018-12-09,7900
2018-12-14,1158300
2018-12-17,521700
2018-12-19,913900
2018-12-27,22900
2018-12-29,920100
2019-01-01,1687900
2019-01-03,1687900
2019-01-06,1398700
2019-01-11,1400300
2019-01-16,1029900
2019-01-18,1274000
2019-01-26,1255700
2019-01-31,1700
2019-02-15,3300
2019-02-17,3900
2019-02-20,3400
2019-02-22,4700
2019-02-25,3700
2019-02-27,5300
2019-03-02,9700
2019-03-07,51500
2019-03-09,68400
2019-03-14,999900
2019-03-17,999900
2019-03-19,999900
2019-03-22,999700
2019-03-24,1031200
2019-03-27,1031600
2019-03-29,1037700
2019-04-01,1037600
2019-04-28,1304700
2019-05-01,1332200
2019-05-06,1321100
2019-05-13,1433700
2019-05-16,1433700
2019-05-23,1537900
2019-05-28,1623200
2019-05-31,1618500
2019-06-02,1644700
2019-06-07,1656000
2019-06-12,1697800
2019-06-17,1749900
2019-06-27,1754700
2019-06-30,1757600
2019-07-02,1760200
2019-07-05,1757600
2019-07-07,1772700
2019-07-10,1787900
2019-07-12,1777900
2019-07-15,1781500
2019-07-17,1790600
2019-07-20,1799300
2019-07-22,1773700
2019-07-25,1769400
2019-08-01,1768100
2019-08-04,1769700
2019-08-06,1771900
2019-08-09,1773500
2019-08-11,1773500
2019-08-14,1772000
2019-08-16,1769100
2019-08-21,1745800
2019-08-24,1745300
2019-08-26,1660800
2019-08-29,500
2019-08-31,525300
2019-09-03,1671400
2019-09-05,1669200
2019-09-08,1669200
2019-09-13,1672500
2019-09-15,1640600
2019-09-18,1636300
2019-09-20,1643900
2019-09-28,1557600
2019-09-30,1524800
2019-10-03,1555800
2019-10-05,1555800
2019-10-08,1531100
2019-10-10,1554700
2019-10-13,1523900
2019-10-15,1528400
2019-10-25,1578200
2019-10-30,1578400
2019-11-02,1576700
2019-11-04,1577000
2019-11-19,1618000
2019-11-24,1936200
2019-11-27,1617900
2019-11-29,1737100
2019-12-02,1749900
2019-12-07,1749900
2019-12-09,1630900
2019-12-14,1936400
2019-12-17,1904500
2019-12-24,1390900
2019-12-27,1610200
2019-12-29,1624000
2020-01-01,59800
2020-01-06,447900
2020-01-08,423100
2020-01-11,434600
2020-01-16,660800
2020-01-28,272200
2020-01-31,342700
2020-02-02,366600
2020-02-05,78700
2020-02-07,78700
2020-02-10,200700
2020-02-15,550100
2020-02-20,631400
2020-02-22,20000
2020-02-27,40300
2020-03-01,27100
2020-03-08,109500
2020-03-11,18100
2020-03-13,18500
2020-03-18,16300
2020-03-21,18400
2020-03-28,427600
2020-03-31,7900
2020-04-05,1228400
2020-04-07,1228400
2020-04-10,1232200
2020-04-15,1197500
2020-04-25,1036700
2020-05-07,67200
2020-05-17,1769200
2020-05-20,1887800
2020-05-22,1844400
2020-05-25,1852300
2020-05-27,1757200
2020-05-30,1687200
2020-06-06,321900
2020-06-21,1025100
2020-06-24,1808300
2020-06-26,1808300
2020-07-01,1206000
2020-07-04,1777600
2020-07-06,764100
2020-07-09,842300
2020-07-11,567500
2020-07-14,953900
2020-07-16,143200
2020-07-19,857500
2020-07-21,794500
2020-07-24,1388000
2020-07-26,868300
2020-07-29,868000
2020-07-31,665200
2020-08-03,575800
2020-08-05,983200
2020-08-08,1350700
2020-08-10,1439100
2020-08-13,1269500
2020-08-15,1172700
2020-08-20,638100
2020-08-23,1758500
2020-08-25,1825100
2020-08-30,1824900
2020-09-02,1820000
2020-09-04,1794800
2020-09-07,1306500
2020-09-12,1809400
2020-09-14,1820700
2020-09-17,1218000
2020-09-19,1821900
2020-09-24,1819100
2020-09-27,186600
2020-09-29,1850400
2020-10-04,1850400
2020-10-17,1351000
2020-10-24,1871500
2020-11-01,1894700
2020-11-08,1882100
2020-11-11,1416700
2020-11-16,1422700
2020-11-18,1418000
2020-11-21,185300
2020-11-23,1828400
2020-12-03,1836800
