date,value
2018-01-01,815900
2018-01-02,1468800
2018-01-07,1723200
2018-01-08,1857900
2018-01-13,999200
2018-01-14,1097600
2018-01-19,1088700
2018-01-20,1073300
2018-01-25,1211100
2018-01-26,1578000
2018-01-31,1023300
2018-02-01,1001300
2018-02-06,1253000
2018-02-07,1138400
2018-02-12,1194900
2018-02-13,217100
2018-02-18,560200
2018-02-19,805600
2018-02-24,25700
2018-02-25,159800
2018-03-02,1808300
2018-03-03,646600
2018-03-08,36500
2018-03-09,183500
2018-03-14,676300
2018-03-15,914900
2018-03-20,600400
2018-03-21,95400
2018-03-26,1009200
2018-03-27,756500
2018-04-01,670600
2018-04-02,501500
2018-04-07,668700
2018-04-08,766300
2018-04-13,787900
2018-04-14,646900
2018-04-19,735800
2018-04-20,782900
2018-04-25,962500
2018-04-26,1298900
2018-05-01,1343900
2018-05-02,1304200
2018-05-07,1252700
2018-05-08,1281600
2018-05-13,1790300
2018-05-14,1644000
2018-05-19,1653400
2018-05-25,1679900
2018-05-26,1729400
2018-05-31,1842900
2018-06-01,1826000
2018-06-06,1886100
2018-06-07,1890400
2018-06-12,1894500
2018-06-18,1781200
2018-06-19,1892900
2018-06-24,1875200
2018-06-30,1889800
2018-07-01,1872600
2018-07-06,1892600
2018-07-12,1880800
2018-07-13,1876900
2018-07-18,1870500
2018-07-24,1890600
2018-07-25,1889400
2018-07-30,1910000
2018-08-05,1889000
2018-08-11,1888400
2018-08-17,1882100
2018-08-18,1876900
2018-08-23,1880600
2018-08-30,1873900
2018-09-04,1869100
2018-09-10,1878300
2018-09-11,1879500
2018-09-16,1866600
2018-09-22,1867700
2018-09-23,1863600
2018-09-28,1856700
2018-10-04,1851200
2018-10-05,1836500
2018-10-10,1865400
2018-10-16,1882800
2018-10-17,1868900
2018-10-22,1879900
2018-10-28,1835000
2018-10-29,1841800
2018-11-03,1817700
2018-11-09,1761900
2018-11-10,1746600
2018-11-15,1794500
2018-11-21,1792200
2018-11-22,1790700
2018-11-27,1800800
2018-11-28,1697600
2018-12-03,1683600
2018-12-04,1704200
2018-12-09,1655100
2018-12-15,1693000
2018-12-16,1620100
2018-12-21,1561300
2018-12-22,1599400
2018-12-27,1504000
2018-12-28,1588200
2019-01-02,66600
2019-01-03,1690900
2019-01-08,2800
2019-01-09,473300
2019-01-14,17600
2019-01-15,1567400
2019-01-20,1444400
2019-01-21,1597200
2019-01-26,1617500
2019-02-02,1806500
2019-02-13,206600
2019-02-14,495500
2019-02-19,103500
2019-02-20,28800
2019-02-25,314800
2019-02-26,345000
2019-03-03,700000
2019-03-09,1130300
2019-03-10,1139500
2019-03-15,631100
2019-03-21,1042400
2019-03-22,1045600
2019-03-27,1111500
2019-03-28,1071700
2019-04-02,1117400
2019-04-03,1082200
2019-04-08,1137700
2019-04-14,1111600
2019-04-15,1156800
2019-04-20,1229200
2019-04-26,1441000
2019-04-27,1457200
2019-05-02,1529000
2019-05-03,1547800
2019-05-08,1410800
2019-05-09,1504800
2019-05-14,1575900
2019-05-20,400400
2019-05-21,1678000
2019-05-26,710400
2019-05-27,118700
2019-06-01,1667900
2019-06-02,1661400
2019-06-13,1750100
2019-06-14,1753400
2019-06-19,1837300
2019-06-25,1788600
2019-06-26,1781100
2019-07-01,1795400
2019-07-07,1814600
2019-07-08,1792300
2019-07-13,1798700
2019-07-19,1798100
2019-07-20,1774000
2019-07-25,1798000
2019-07-26,1769700
2019-07-31,1818300
2019-08-01,1764400
2019-08-06,1773100
2019-08-12,1656800
2019-08-13,1787200
2019-08-18,1768100
2019-08-24,1727300
2019-08-25,1701500
2019-08-30,1712000
2019-09-05,1558100
2019-09-06,1822000
2019-09-11,1768700
2019-09-12,1743400
2019-09-17,1628800
2019-09-18,1645900
2019-09-23,1805600
2019-09-24,1454200
2019-09-29,1586400
2019-09-30,1660600
2019-10-05,1737800
2019-10-06,1634600
2019-10-11,1551300
2019-10-12,1558700
2019-10-17,1560100
2019-10-18,1544300
2019-10-23,1737600
2019-10-24,1631100
2019-10-29,1657800
2019-10-30,1649800
2019-11-04,1677700
2019-11-05,1605000
2019-11-10,1701400
2019-11-11,1739000
2019-11-16,1724700
2019-11-17,1720500
2019-11-22,1568800
2019-11-23,1625800
2019-11-28,1621800
2019-11-29,1652000
2019-12-04,1666200
2019-12-05,1624000
2019-12-10,1717000
2019-12-11,1481100
2019-12-16,1708100
2019-12-17,1745500
2019-12-22,97300
2019-12-23,861100
2019-12-28,1767100
2019-12-29,1666800
2020-01-03,1662200
2020-01-04,1734000
2020-01-09,1663600
2020-01-10,1716600
2020-01-15,1639900
2020-01-16,1534800
2020-01-21,1496300
2020-01-22,1921000
2020-01-27,1472600
2020-01-28,1747500
2020-02-02,1547700
2020-02-03,1717700
2020-02-08,1443000
2020-02-09,1433800
2020-02-14,1531800
2020-02-15,1453800
2020-02-20,1388000
2020-02-21,1449400
2020-02-26,413900
2020-02-27,1530100
2020-03-03,1426500
2020-03-04,1463800
2020-03-09,1506600
2020-03-10,1499800
2020-03-15,1290800
2020-03-16,1531700
2020-03-21,1312200
2020-03-22,1219600
2020-03-27,1552200
2020-03-28,1324900
2020-04-02,1310100
2020-04-03,1549800
2020-04-08,1260100
2020-04-09,1256100
2020-04-14,1389800
2020-04-15,1367400
2020-04-20,1500700
2020-04-21,1488100
2020-04-26,1629400
2020-04-27,1656700
2020-05-02,1798500
2020-05-03,1803900
2020-05-08,1866200
2020-05-09,1885500
2020-05-14,1883800
2020-05-15,1894400
2020-05-20,1902200
2020-05-21,1863800
2020-05-26,1907500
2020-05-27,1890400
2020-06-01,1902300
2020-06-02,1894900
2020-06-07,1913500
2020-06-08,1906900
2020-06-13,1908200
2020-06-14,1901400
2020-06-19,1904000
2020-06-20,1894700
2020-06-25,1889000
2020-06-26,1872500
2020-07-01,1888500
2020-07-02,1888200
2020-07-07,1884500
2020-07-08,1894400
2020-07-13,1894900
2020-07-14,1894600
2020-07-19,1753500
2020-07-20,1860400
2020-07-25,1904100
2020-07-26,1895700
2020-07-31,1898100
2020-08-01,1899100
2020-08-06,1885300
2020-08-07,1882000
2020-08-12,1883800
2020-08-13,1883000
2020-08-18,1887900
2020-08-19,1873200
2020-08-24,1883600
2020-08-25,1876300
2020-08-30,1896300
2020-08-31,1893100
2020-09-05,1880700
2020-09-06,1884200
2020-09-11,1868900
2020-09-12,1874800
2020-09-17,1860800
2020-09-18,1876200
2020-09-23,1860100
2020-09-24,1870300
2020-09-29,1888600
2020-09-30,1882700
2020-10-05,1898900
2020-10-06,1886400
2020-10-11,1888900
2020-10-12,1890000
2020-10-17,1913500
2020-10-18,1866600
2020-10-23,1901700
2020-10-24,1911000
2020-10-29,1915300
2020-10-30,1905100
2020-11-04,1903800
2020-11-05,1900800
2020-11-10,1911900
2020-11-11,1915900
2020-11-16,1908100
2020-11-17,1919500
2020-11-22,1894000
2020-11-23,1898800
2020-11-28,1884400
2020-11-29,1892200
2020-12-04,1890400
2020-12-05,1875800
2020-12-10,1827600
2020-12-11,1827400
2020-12-16,1779000
2020-12-17,1810000
2020-12-22,1741800
2020-12-23,1708700
2020-12-28,1676500
2020-12-29,1665000
