date,value
2018-01-18,2000700
2018-01-23,2010300
2018-01-28,1992600
2018-02-07,2033500
2018-03-14,2012500
2018-04-18,2035900
2018-05-18,2032500
2018-05-23,2047100
2018-07-07,2045700
2018-07-12,2057300
2018-07-17,2038800
2018-07-27,2025100
2018-08-01,2047900
2018-08-11,2045700
2018-08-16,2016200
2018-08-21,1980200
2018-08-31,1994400
2018-09-20,2016100
2018-10-05,1975200
2018-10-25,2019100
2018-11-24,2068000
2018-12-19,2070700
2018-12-29,2062400
2019-01-03,2045900
2019-02-07,2066200
2019-02-12,2057300
2019-02-17,2065000
2019-02-22,2061300
2019-02-27,2081500
2019-03-24,2091700
2019-03-29,2082400
2019-04-13,2065900
2019-04-28,2104500
2019-05-13,2044700
2019-05-23,2064500
2019-06-02,2088700
2019-06-17,2086900
2019-06-22,2060800
2019-06-27,2058100
2019-07-02,2063700
2019-07-12,2054200
2019-08-01,2046000
2019-08-11,2046100
2019-08-16,2045800
2019-08-31,2020400
2019-09-05,2053800
2019-09-20,2043300
2019-09-30,2056300
2019-10-10,2049800
2019-10-15,2043300
2019-10-25,2058100
2019-10-30,2051800
2019-11-29,2141000
2019-12-09,2047300
2019-12-24,2031500
2020-01-08,2083800
2020-01-28,2058700
2020-02-22,2089000
2020-03-08,2070700
2020-04-07,2062000
2020-05-07,2047800
2020-05-17,2053200
2020-05-22,2044000
2020-06-21,2054900
2020-07-06,2043400
2020-07-11,2054800
2020-07-26,2029600
2020-08-05,2026900
2020-08-10,2048800
2020-08-15,2038900
2020-08-20,1943300
2020-08-25,2027500
2020-08-30,2055200
2020-09-04,2018300
2020-09-14,2026200
2020-10-24,2022300
2020-11-08,2026400
2020-11-18,2040400
2020-11-23,2009400
2020-12-03,2061300
2020-12-13,2061200
2020-12-28,2027400
