date,value
2018-01-03,538784.9492966706
2018-01-28,1470.6326698352336
2018-01-31,2419.723856433632
2018-02-22,183.24597572366218
2018-03-02,6.2678293908090295
2018-03-19,92.90592687903995
2018-04-01,1850056.6095345062
2018-04-18,115920.64070888174
2018-04-21,1892312.663506411
2018-05-11,2514905.313577292
2018-06-17,77879.28013567596
2018-06-30,2756453.318413474
2018-07-10,4982282.138867254
2018-07-15,3892234.1687303553
2018-07-17,1870291.5118194239
2018-07-25,5035068.809777922
2018-07-27,1156466.0062127903
2018-08-01,4575377.343719599
2018-08-11,4777083.373979386
2018-08-21,4670292.154277452
2018-08-24,4511332.850520684
2018-08-26,3789470.6408931413
2018-08-31,2372801.7388219
2018-09-03,2739678.878089592
2018-09-20,3883155.611956319
2018-09-23,94232.31070715367
2018-09-25,3333935.0676374896
2018-10-05,4183730.701939807
2018-10-25,380384.78733474197
2018-11-04,960481.0715802915
2018-11-24,1932383.3304164975
2018-12-04,2208690.687575518
2018-12-07,6.2678293908090295
2018-12-09,2610839.254481591
2018-12-27,3026.3202705667304
2018-12-29,1967614.4649069223
2019-01-01,3891098.8818534967
2019-01-03,2686669.5182669326
2019-01-06,637853.2066653032
2019-01-11,26325.793180492063
2019-01-16,2569410.295607171
2019-01-26,35012.547879540936
2019-02-15,2419.723856433632
2019-02-17,11123.265187945128
2019-02-20,1286.0864041028915
2019-02-22,5003.249929449343
2019-02-25,296.7111789736685
2019-02-27,28325.531974690435
2019-03-22,1706835.8783025937
2019-03-24,1506622.3887993654
2019-03-27,1269995.557241124
2019-03-29,1474237.38128618
2019-04-01,1542416.4001367516
2019-04-28,3133761.2195629324
2019-05-01,3142088.668938171
2019-05-13,3693374.61745705
2019-05-16,4832701.497316146
2019-05-23,4563265.633315289
2019-05-31,5252293.813246682
2019-06-02,5173106.70362126
2019-06-12,5343570.422593091
2019-06-17,5329387.497569347
2019-06-22,2558855.12626079
2019-06-27,5256137.7392902365
2019-07-05,5259982.79873471
2019-07-10,5375860.819860348
2019-07-12,5229254.067414266
2019-07-15,5233091.189672885
2019-07-22,5230532.982116411
2019-07-25,5166741.78633642
2019-08-01,5267676.317183798
2019-08-09,5072910.747355867
2019-08-14,4354599.706708231
2019-08-16,4432088.857187916
2019-08-24,4114995.6245212303
2019-08-26,3397107.490293677
2019-08-31,3174441.606017958
2019-09-03,3348881.869781973
2019-09-05,294501.46107897756
2019-09-08,12.362553724733006
2019-09-15,3859365.075294977
2019-09-20,4296549.507247099
2019-09-28,4486057.46754565
2019-09-30,4697204.87031731
2019-10-03,4768454.99964137
2019-10-05,4176719.7402625163
2019-10-08,4960979.893721712
2019-10-13,1973655.1579828416
2019-10-25,5295924.646091679
2019-11-09,5441976.128052919
2019-11-19,5037588.05181904
2019-12-07,5501888.636527466
2019-12-17,4594782.985730533
2019-12-24,5032550.0756845195
2019-12-27,5299781.407954012
2019-12-29,5275374.367309646
2020-01-01,20.017399434312335
2020-01-06,654922.5058683802
2020-01-08,703221.9922972331
2020-01-11,521.3507962525283
2020-01-16,4782016.696088839
2020-02-05,106176.35582846742
2020-02-15,4831462.720849296
2020-02-22,3951452.8536422737
2020-03-08,1.9625768772415506
2020-03-21,12.362553724733006
2020-04-05,3895640.8302464033
2020-04-10,3465089.446842376
2020-04-15,3870686.5527817346
2020-05-07,16477.53986835733
2020-05-17,4297731.065117249
2020-05-20,3932053.2517734533
2020-05-22,3173395.878456553
2020-05-25,185695.54997799237
2020-06-21,1209149.4423769682
2020-06-24,4289462.910275946
2020-07-01,1454331.883394666
2020-07-04,5207531.809339314
2020-07-19,5257419.299846229
2020-07-26,5197322.184495311
2020-07-29,9263.726481756543
2020-07-31,4654418.495093133
2020-08-05,4651978.327376571
2020-08-08,4571742.471953154
2020-08-10,4641003.956445365
2020-08-20,3374567.616367941
2020-08-23,3723437.1259387
2020-08-25,3015041.009581723
2020-09-04,2124416.887151382
2020-09-12,2264083.9542561807
2020-09-14,2196055.599048845
2020-09-29,3586184.371766956
2020-10-17,4748756.618061167
2020-10-24,5183297.139749553
2020-11-01,5239488.914173035
2020-11-08,5109599.768563173
2020-11-18,4732775.892092507
2020-11-23,4457241.4444005145
