date,value
2018-01-01,3092257.7109684027
2018-01-02,4822794.870140892
2018-01-03,4822794.870140892
2018-01-07,4627605.027921794
2018-01-08,5071647.509878491
2018-01-09,5071647.509878491
2018-01-13,4857503.898388124
2018-01-14,5075437.602712661
2018-01-15,5075437.602712661
2018-01-19,4572953.966498253
2018-01-20,4677625.803951956
2018-01-21,4677625.803951956
2018-01-25,4432088.857187916
2018-01-26,4765990.9047351135
2018-01-27,4765990.9047351135
2018-01-31,4734004.407763771
2018-02-01,4879869.793690832
2018-02-02,4879869.793690832
2018-02-06,4867439.183537855
2018-02-07,4886089.890165193
2018-02-08,4886089.890165193
2018-02-12,4405800.0975674745
2018-02-13,4421326.7457541535
2018-02-14,4421326.7457541535
2018-02-18,1926393.9201708906
2018-02-19,2888101.7273983564
2018-02-20,2888101.7273983564
2018-02-24,1580916.5296966208
2018-02-25,1919558.059395675
2018-02-26,1919558.059395675
2018-03-02,1309273.924668342
2018-03-03,1455095.4618575152
2018-03-04,1455095.4618575152
2018-03-08,324781.92904223094
2018-03-09,436651.1317936856
2018-03-10,436651.1317936856
2018-03-14,145972.39311259263
2018-03-15,928403.8629385671
2018-03-16,928403.8629385671
2018-03-20,972785.3367383282
2018-03-21,985805.3078915108
2018-03-22,985805.3078915108
2018-03-26,1080240.5595577173
2018-03-27,1396773.8466269518
2018-03-28,1396773.8466269518
2018-04-01,1853422.9306588331
2018-04-02,2277789.8655089564
2018-04-03,2277789.8655089564
2018-04-07,2293363.5120232385
2018-04-08,3354226.5427515157
2018-04-09,3354226.5427515157
2018-04-13,3356365.3737421595
2018-04-14,3358504.754232528
2018-04-15,3358504.754232528
2018-04-19,2568450.0111552062
2018-04-20,2579982.9710544446
2018-04-21,2579982.9710544446
2018-04-25,2081012.2138562056
2018-04-26,2266822.4688820387
2018-04-27,2266822.4688820387
2018-05-01,2566529.876328688
2018-05-02,2801055.215653891
2018-05-03,2801055.215653891
2018-05-07,2719014.529019197
2018-05-08,2730815.007045537
2018-05-09,2730815.007045537
2018-05-13,2562691.3432790875
2018-05-14,3272300.0759289963
2018-05-15,3272300.0759289963
2018-05-19,3359574.650518895
2018-05-21,3359574.650518895
2018-05-25,3772638.1166653614
2018-05-26,3721206.905608792
2018-05-27,3721206.905608792
2018-05-31,3927494.2335647033
2018-06-01,4374812.886823137
2018-06-02,4374812.886823137
2018-06-06,4401027.0974260215
2018-06-07,4426108.604408612
2018-06-08,4426108.604408612
2018-06-12,4197766.8397892965
2018-06-14,4197766.8397892965
2018-06-18,4512537.86759944
2018-06-19,4493273.164505423
2018-06-20,4493273.164505423
2018-06-24,5002364.904442123
2018-06-26,5002364.904442123
2018-06-30,5166741.78633642
2018-07-01,5119739.624779562
2018-07-02,5119739.624779562
2018-07-06,5174380.066070756
2018-07-08,5174380.066070756
2018-07-12,5224139.669252415
2018-07-13,5137503.8641503975
2018-07-18,5136234.167514158
2018-07-20,5136234.167514158
2018-07-24,5190945.270548367
2018-07-25,5151478.874291765
2018-07-26,5151478.874291765
2018-07-30,5159108.05530872
2018-08-01,5159108.05530872
2018-08-05,5248451.020764816
2018-08-06,5185846.011648209
2018-08-07,5185846.011648209
2018-08-11,5162924.3521527685
2018-08-13,5162924.3521527685
2018-08-17,5174380.066070756
2018-08-18,5009904.334628363
2018-08-19,5009904.334628363
2018-08-23,4869924.283184583
2018-08-25,4869924.283184583
2018-08-30,4571742.471953154
2018-08-31,4571742.471953154
2018-09-04,3849187.177170257
2018-09-06,3849187.177170257
2018-09-10,3938895.7756206156
2018-09-11,3858233.6628017793
2018-09-12,3858233.6628017793
2018-09-16,3918382.593759587
2018-09-18,3918382.593759587
2018-09-22,4396256.182789825
2018-09-23,4309553.844678622
2018-09-28,4454843.488464139
2018-09-30,4454843.488464139
2018-10-04,4917238.254991156
2018-10-05,4894803.389651243
2018-10-06,4894803.389651243
2018-10-10,5014933.16370853
2018-10-12,5014933.16370853
2018-10-16,5188395.388597187
2018-10-17,5137503.8641503975
2018-10-18,5137503.8641503975
2018-10-22,5173106.70362126
2018-10-24,5173106.70362126
2018-10-28,5356477.171788007
2018-10-29,5164196.70385097
2018-10-30,5164196.70385097
2018-11-03,5023738.507157498
2018-11-05,5023738.507157498
2018-11-09,4855021.355713215
2018-11-10,4656859.178558123
2018-11-11,4656859.178558123
2018-11-15,4599639.567688214
2018-11-17,4599639.567688214
2018-11-21,4634911.598724222
2018-11-22,3999546.110618218
2018-11-23,3999546.110618218
2018-11-27,3508533.974294233
2018-11-28,3508533.974294233
2018-11-29,3508533.974294233
2018-12-03,2448615.3558088224
2018-12-04,2782188.1091851965
2018-12-05,2782188.1091851965
2018-12-09,3017089.899777039
2018-12-15,3654551.034314377
2018-12-16,3018114.5552433464
2018-12-17,3018114.5552433464
2018-12-21,2669092.5973503753
2018-12-22,2729830.847250244
2018-12-23,2729830.847250244
2018-12-27,2172668.0176117304
2018-12-28,2598286.057642105
2018-12-29,2598286.057642105
2019-01-02,136429.52336255537
2019-01-03,4676403.206936025
2019-01-04,4676403.206936025
2019-01-08,139977.61140296224
2019-01-09,610706.3263332418
2019-01-10,610706.3263332418
2019-01-14,321.9812468275116
2019-01-15,307449.1021891186
2019-01-16,307449.1021891186
2019-01-20,3250098.3843233692
2019-01-21,3879753.356473651
2019-01-22,3879753.356473651
2019-01-26,3849187.177170257
2019-01-28,3849187.177170257
2019-02-02,4992319.451349729
2019-02-03,4992319.451349729
2019-02-09,4705781.074464566
2019-02-13,71421.44111677821
2019-02-14,696399.5167430412
2019-02-15,696399.5167430412
2019-02-19,229183.33508606223
2019-02-20,321866.5497885745
2019-02-21,321866.5497885745
2019-02-25,207849.50971647876
2019-02-26,461852.23455650214
2019-02-27,461852.23455650214
2019-03-03,719245.1734282561
2019-03-05,719245.1734282561
2019-03-09,2478830.7706929236
2019-03-10,2319107.3757454916
2019-03-11,2319107.3757454916
2019-03-15,2167285.2239790703
2019-03-17,2167285.2239790703
2019-03-21,1868601.8823242667
2019-03-22,1668732.8292513967
2019-03-23,1668732.8292513967
2019-03-27,1815694.2147611093
2019-03-28,1928104.415501685
2019-03-29,1928104.415501685
2019-04-02,1706021.5675400465
2019-04-03,1791546.1249259608
2019-04-04,1791546.1249259608
2019-04-08,1606265.6022353761
2019-04-10,1606265.6022353761
2019-04-14,1805686.0976485573
2019-04-15,1748573.085268773
2019-04-16,1748573.085268773
2019-04-20,1899109.2918198912
2019-04-22,1899109.2918198912
2019-04-26,3026316.8466032436
2019-04-27,2854957.7228460945
2019-04-28,2854957.7228460945
2019-05-02,2979276.316220852
2019-05-03,3229010.5911157196
2019-05-04,3229010.5911157196
2019-05-08,3190144.1785392775
2019-05-09,3337135.6849733824
2019-05-10,3337135.6849733824
2019-05-14,3399257.2984203845
2019-05-16,3399257.2984203845
2019-05-20,4187237.959878936
2019-05-21,4155715.3027197164
2019-05-22,4155715.3027197164
2019-05-26,2450499.4418678167
2019-05-27,2463704.392947683
2019-05-28,2463704.392947683
2019-06-01,2383040.9786450053
2019-06-02,5053975.502911873
2019-06-03,5053975.502911873
2019-06-09,5199873.833575502
2019-06-13,5247170.341867926
2019-06-14,5329387.497569347
2019-06-15,5329387.497569347
2019-06-19,5263828.991419425
2019-06-21,5263828.991419425
2019-06-25,5308784.919299876
2019-06-26,5261264.737055297
2019-06-27,5261264.737055297
2019-07-01,5253574.99598451
2019-07-03,5253574.99598451
2019-07-07,5244609.3620055
2019-07-08,5202425.987441576
2019-07-09,5202425.987441576
2019-07-13,5198597.945934169
2019-07-15,5198597.945934169
2019-07-19,5304925.517320054
2019-07-20,5220305.194477529
2019-07-21,5220305.194477529
2019-07-25,5226696.616192036
2019-07-26,5236929.446298439
2019-07-27,5236929.446298439
2019-07-31,5224139.669252415
2019-08-01,5227975.278770815
2019-08-02,5227975.278770815
2019-08-06,5146395.282042236
2019-08-08,5146395.282042236
2019-08-12,4924725.730377997
2019-08-13,4572953.966498253
2019-08-14,4572953.966498253
2019-08-18,4493273.164505423
2019-08-20,4493273.164505423
2019-08-24,4507718.57763136
2019-08-25,4103391.1292428174
2019-08-26,4103391.1292428174
2019-08-30,3950310.6354669044
2019-09-01,3950310.6354669044
2019-09-05,3568625.9136190927
2019-09-06,3443449.067220241
2019-09-07,3443449.067220241
2019-09-11,3874085.6021519327
2019-09-12,4076750.943728637
2019-09-13,4076750.943728637
2019-09-17,3951452.8536422737
2019-09-18,4053642.447754861
2019-09-19,4053642.447754861
2019-09-23,3978906.001437841
2019-09-24,4483653.27404489
2019-09-25,4483653.27404489
2019-09-29,4589928.471930755
2019-09-30,4742607.615492076
2019-10-01,4742607.615492076
2019-10-05,4780783.173151231
2019-10-06,4892313.179852924
2019-10-07,4892313.179852924
2019-10-11,4967241.440738199
2019-10-12,5071647.509878491
2019-10-13,5071647.509878491
2019-10-17,5112133.972984853
2019-10-18,5196046.549264933
2019-10-19,5196046.549264933
2019-10-23,5229254.067414266
2019-10-24,5261264.737055297
2019-10-25,5261264.737055297
2019-10-29,5263828.991419425
2019-10-30,5272807.847160606
2019-10-31,5272807.847160606
2019-11-04,5236929.446298439
2019-11-05,5256137.7392902365
2019-11-06,5256137.7392902365
2019-11-10,5189670.2664505085
2019-11-11,5279225.091350417
2019-11-12,5279225.091350417
2019-11-16,5100734.042116085
2019-11-17,5108332.856287817
2019-11-18,5108332.856287817
2019-11-22,4547539.760941955
2019-11-23,4547539.760941955
2019-11-24,4547539.760941955
2019-11-28,3592777.746415511
2019-11-29,3657872.2887485963
2019-11-30,3657872.2887485963
2019-12-04,3569722.2994613177
2019-12-05,3597176.0411012624
2019-12-06,3597176.0411012624
2019-12-10,3493303.5745377806
2019-12-11,3684486.079581499
2019-12-12,3684486.079581499
2019-12-16,4060569.4367869133
2019-12-17,4630040.035266353
2019-12-18,4630040.035266353
2019-12-22,4602068.634093897
2019-12-23,4669070.330275681
