date,value
2018-01-01,174600
2018-01-02,306200
2018-01-03,306200
2018-01-07,268400
2018-01-08,338100
2018-01-09,338100
2018-01-13,358500
2018-01-14,412600
2018-01-15,412600
2018-01-19,430100
2018-01-20,527600
2018-01-21,527600
2018-01-25,565800
2018-01-26,614700
2018-01-27,614700
2018-01-31,615200
2018-02-01,643300
2018-02-02,643300
2018-02-06,643200
2018-02-07,713200
2018-02-08,713200
2018-02-12,738100
2018-02-13,769100
2018-02-14,769100
2018-02-18,763800
2018-02-19,819800
2018-02-20,819800
2018-02-24,822600
2018-02-25,856700
2018-02-26,856700
2018-03-02,855800
2018-03-03,884500
2018-03-04,884500
2018-03-08,884300
2018-03-09,917600
2018-03-10,917600
2018-03-14,920900
2018-03-15,960200
2018-03-16,960200
2018-03-20,937300
2018-03-21,956700
2018-03-22,956700
2018-03-26,832900
2018-03-27,1027000
2018-03-28,1027000
2018-04-01,1074300
2018-04-02,1117900
2018-04-03,1117900
2018-04-07,1136600
2018-04-08,1180300
2018-04-09,1180300
2018-04-13,1183600
2018-04-14,1194900
2018-04-15,1194900
2018-04-19,1185000
2018-04-20,1210500
2018-04-21,1210500
2018-04-25,1212600
2018-04-26,1235400
2018-04-27,1235400
2018-05-01,1239000
2018-05-02,1256300
2018-05-03,1256300
2018-05-07,1251100
2018-05-08,1256400
2018-05-09,1256400
2018-05-13,1235400
2018-05-14,1250200
2018-05-15,1250200
2018-05-19,1243000
2018-05-21,1243000
2018-05-25,1270800
2018-05-26,1254400
2018-05-27,1254400
2018-05-31,1254600
2018-06-01,1260700
2018-06-02,1260700
2018-06-06,1253400
2018-06-07,1263900
2018-06-08,1263900
2018-06-12,1258400
2018-06-14,1258400
2018-06-18,1263100
2018-06-19,1246300
2018-06-20,1246300
2018-06-24,1180800
2018-06-26,1180800
2018-06-30,1257000
2018-07-01,1236400
2018-07-02,1236400
2018-07-06,1245500
2018-07-08,1245500
2018-07-12,1258300
2018-07-13,1231500
2018-07-18,1231900
2018-07-20,1231900
2018-07-24,1248900
2018-07-25,1233900
2018-07-26,1233900
2018-07-30,1232100
2018-08-01,1232100
2018-08-05,1248500
2018-08-06,1201000
2018-08-07,1201000
2018-08-11,1197600
2018-08-13,1197600
2018-08-17,1222800
2018-08-18,1191800
2018-08-19,1191800
2018-08-23,1169100
2018-08-25,1169100
2018-08-30,1122700
2018-08-31,1122700
2018-09-04,1061200
2018-09-06,1061200
2018-09-10,920000
2018-09-11,825100
2018-09-12,825100
2018-09-16,784100
2018-09-18,784100
2018-09-22,723300
2018-09-23,643600
2018-09-28,600300
2018-09-30,600300
2018-10-04,443900
2018-10-05,417900
2018-10-06,417900
2018-10-10,494700
2018-10-12,494700
2018-10-16,599200
2018-10-17,481700
2018-10-18,481700
2018-10-22,391000
2018-10-24,391000
2018-10-28,441600
2018-10-29,420200
2018-10-30,420200
2018-11-03,397400
2018-11-05,397400
2018-11-09,355400
2018-11-10,301600
2018-11-11,301600
2018-11-15,331200
2018-11-17,331200
2018-11-21,400800
2018-11-22,334300
2018-11-23,334300
2018-11-27,326000
2018-11-28,327400
2018-11-29,327400
2018-12-03,244500
2018-12-04,319400
2018-12-05,319400
2018-12-09,294700
2018-12-15,405200
2018-12-16,302700
2018-12-17,302700
2018-12-21,277500
2018-12-22,312300
2018-12-23,312300
2018-12-27,229100
2018-12-28,316100
2018-12-29,316100
2019-01-02,45400
2019-01-03,778800
2019-01-04,313900
2019-01-08,317500
2019-01-09,193500
2019-01-10,370100
2019-01-14,185500
2019-01-15,278400
2019-01-16,441100
2019-01-20,504300
2019-01-21,551800
2019-01-22,564500
2019-01-26,569100
2019-01-28,576600
2019-02-02,629500
2019-02-03,681700
2019-02-09,680000
2019-02-13,695400
2019-02-14,741500
2019-02-15,749200
2019-02-19,739700
2019-02-20,752000
2019-02-21,766600
2019-02-25,762500
2019-02-26,779100
2019-02-27,794200
2019-03-03,800600
2019-03-05,817200
2019-03-09,882900
2019-03-10,904400
2019-03-11,874100
2019-03-15,833500
2019-03-17,813400
2019-03-21,795900
2019-03-22,882700
2019-03-23,796400
